rush_rk,player,rush_age,rush_g,rush_gs,rush_att,rush_yds,rush_td,rush_1d,rush_succ%,rush_lng,rush_y/a,rush_y/g,rush_a/g,rush_fmb,rush_awards,rec_rk,rec_age,rec_g,rec_gs,rec_tgt,rec_rec,rec_yds,rec_y/r,rec_td,rec_1d,rec_succ%,rec_lng,rec_r/g,rec_y/g,rec_ctch%,rec_y/tgt,rec_fmb,rec_awards
346.0,AJ Barner,22.0,17.0,6.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,159.0,22.0,17.0,6.0,38.0,30.0,245.0,8.2,4.0,18.0,63.2,20.0,1.8,14.4,78.9,6.4,0.0,
562.0,Adam Trautman,27.0,17.0,14.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,244.0,27.0,17.0,14.0,22.0,13.0,188.0,14.5,2.0,8.0,40.9,37.0,0.8,11.1,59.1,8.5,0.0,
500.0,Andrew Ogletree,26.0,17.0,6.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,290.0,26.0,17.0,6.0,14.0,9.0,109.0,12.1,1.0,6.0,42.9,22.0,0.5,6.4,64.3,7.8,0.0,
436.0,Austin Hooper,30.0,17.0,8.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,,96.0,30.0,17.0,8.0,59.0,45.0,476.0,10.6,3.0,25.0,62.7,38.0,2.6,28.0,76.3,8.1,2.0,
385.0,Baylor Cupp,24.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,490.0,24.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
537.0,Ben Sims,24.0,17.0,5.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,358.0,24.0,17.0,5.0,5.0,4.0,42.0,10.5,0.0,1.0,60.0,28.0,0.2,2.5,80.0,8.4,0.0,
538.0,Ben Sinnott,22.0,17.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,346.0,22.0,17.0,2.0,5.0,5.0,28.0,5.6,1.0,2.0,40.0,12.0,0.3,1.6,100.0,5.6,0.0,
577.0,Blake Whiteheart,24.0,11.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,333.0,24.0,11.0,2.0,9.0,6.0,51.0,8.5,1.0,2.0,55.6,29.0,0.5,4.6,66.7,5.7,0.0,
584.0,Brayden Willis,25.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,587.0,25.0,10.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
348.0,Brenden Bates,25.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,476.0,25.0,2.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
548.0,Brenton Strange,24.0,17.0,10.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,114.0,24.0,17.0,10.0,53.0,40.0,411.0,10.3,2.0,21.0,66.0,30.0,2.4,24.2,75.5,7.8,1.0,
458.0,Brevin Jordan,24.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,398.0,24.0,2.0,1.0,3.0,2.0,7.0,3.5,0.0,1.0,33.3,4.0,1.0,3.5,66.7,2.3,0.0,
545.0,Brevyn Spann-Ford,25.0,17.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,292.0,25.0,17.0,0.0,14.0,9.0,88.0,9.8,0.0,6.0,57.1,18.0,0.5,5.2,64.3,6.3,0.0,
202.0,Brock Bowers,22.0,17.0,16.0,5.0,13.0,0.0,2.0,60.0,12.0,2.6,0.8,0.3,0.0,"PB,AP-1,AP ORoY-2",3.0,22.0,17.0,16.0,153.0,112.0,1194.0,10.7,5.0,61.0,60.8,57.0,6.6,70.2,73.2,7.8,0.0,"PB,AP-1,AP ORoY-2"
591.0,Brock Wright,26.0,17.0,8.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,245.0,26.0,17.0,8.0,16.0,13.0,100.0,7.7,2.0,7.0,68.8,16.0,0.8,5.9,81.3,6.3,0.0,
317.0,Cade Otton,25.0,14.0,14.0,1.0,-4.0,0.0,0.0,0.0,-4.0,-4.0,-0.3,0.1,2.0,,55.0,25.0,14.0,14.0,87.0,59.0,600.0,10.2,4.0,31.0,51.7,44.0,4.2,42.9,67.8,6.9,2.0,
547.0,Cade Stover,24.0,15.0,9.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,233.0,24.0,15.0,9.0,22.0,15.0,133.0,8.9,1.0,5.0,40.9,27.0,1.0,8.9,68.2,6.0,0.0,
420.0,Cam Grandy,24.0,8.0,6.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,338.0,24.0,8.0,6.0,5.0,5.0,28.0,5.6,0.0,1.0,60.0,9.0,0.6,3.5,100.0,5.6,0.0,
307.0,Charlie Kolar,25.0,13.0,3.0,1.0,2.0,0.0,1.0,100.0,2.0,2.0,0.2,0.1,0.0,,287.0,25.0,13.0,3.0,11.0,9.0,131.0,14.6,1.0,4.0,72.7,55.0,0.7,10.1,81.8,11.9,0.0,
588.0,Charlie Woerner,27.0,16.0,5.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,317.0,27.0,16.0,5.0,12.0,7.0,46.0,6.6,0.0,3.0,33.3,13.0,0.4,2.9,58.3,3.8,0.0,
314.0,Chigoziem Okonkwo,25.0,17.0,11.0,1.0,17.0,0.0,1.0,100.0,17.0,17.0,1.0,0.1,2.0,,69.0,25.0,17.0,11.0,70.0,52.0,479.0,9.2,2.0,19.0,55.7,70.0,3.1,28.2,74.3,6.8,2.0,
477.0,Chris Manhertz,32.0,17.0,11.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,378.0,32.0,17.0,11.0,4.0,3.0,30.0,10.0,1.0,2.0,75.0,16.0,0.2,1.8,75.0,7.5,0.0,
506.0,Colby Parkinson,25.0,17.0,9.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,161.0,25.0,17.0,9.0,49.0,30.0,294.0,9.8,1.0,15.0,53.1,23.0,1.8,17.3,61.2,6.0,0.0,
465.0,Cole Kmet,25.0,17.0,16.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,89.0,25.0,17.0,16.0,55.0,47.0,474.0,10.1,4.0,25.0,70.9,31.0,2.8,27.9,85.5,8.6,0.0,
426.0,Connor Heyward,25.0,17.0,5.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,327.0,25.0,17.0,5.0,8.0,6.0,40.0,6.7,1.0,3.0,62.5,16.0,0.4,2.4,75.0,5.0,0.0,
417.0,Dallas Goedert,29.0,10.0,10.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,,104.0,29.0,10.0,10.0,52.0,42.0,496.0,11.8,2.0,20.0,55.8,61.0,4.2,49.6,80.8,9.5,2.0,
434.0,Dallin Holker,24.0,12.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,374.0,24.0,12.0,2.0,4.0,3.0,21.0,7.0,0.0,1.0,25.0,10.0,0.3,1.8,75.0,5.3,0.0,
461.0,Dalton Kincaid,25.0,13.0,9.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,98.0,25.0,13.0,9.0,75.0,44.0,448.0,10.2,2.0,23.0,53.3,29.0,3.4,34.5,58.7,6.0,1.0,
531.0,Dalton Schultz,28.0,17.0,13.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,67.0,28.0,17.0,13.0,85.0,53.0,532.0,10.0,2.0,26.0,49.4,32.0,3.1,31.3,62.4,6.3,0.0,
355.0,Daniel Bellinger,24.0,17.0,8.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,236.0,24.0,17.0,8.0,17.0,14.0,125.0,8.9,0.0,8.0,64.7,17.0,0.8,7.4,82.4,7.4,0.0,
571.0,Darnell Washington,23.0,17.0,9.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,214.0,23.0,17.0,9.0,25.0,19.0,200.0,10.5,1.0,9.0,68.0,29.0,1.1,11.8,76.0,8.0,0.0,
480.0,David Martin-Robinson,25.0,5.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,445.0,25.0,5.0,2.0,2.0,1.0,6.0,6.0,0.0,1.0,50.0,6.0,0.2,1.2,50.0,3.0,0.0,
499.0,David Njoku,28.0,11.0,11.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,46.0,28.0,11.0,11.0,97.0,64.0,505.0,7.9,5.0,23.0,39.2,29.0,5.8,45.9,66.0,5.2,0.0,
341.0,Davis Allen,23.0,15.0,5.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,319.0,23.0,15.0,5.0,13.0,6.0,39.0,6.5,0.0,2.0,38.5,13.0,0.4,2.6,46.2,3.0,0.0,
466.0,Dawson Knox,28.0,16.0,13.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,190.0,28.0,16.0,13.0,33.0,22.0,311.0,14.1,1.0,12.0,63.6,39.0,1.4,19.4,66.7,9.4,0.0,
384.0,Devin Culp,24.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,335.0,24.0,5.0,0.0,6.0,5.0,88.0,17.6,0.0,4.0,66.7,26.0,1.0,17.6,83.3,14.7,0.0,
322.0,Drew Sample,28.0,17.0,15.0,1.0,-4.0,0.0,0.0,0.0,,-4.0,-0.2,0.1,1.0,,201.0,28.0,17.0,15.0,22.0,20.0,109.0,5.5,1.0,8.0,63.6,12.0,1.2,6.4,90.9,5.0,1.0,
544.0,Durham Smythe,29.0,17.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,291.0,29.0,17.0,4.0,17.0,9.0,53.0,5.9,0.0,1.0,35.3,8.0,0.5,3.1,52.9,3.1,0.0,
