Player,Age,Pos,G,GS,Rush Atts,Rush Yards,Rush TDs,Rush Fmb,Targets,Receptions,Rec Yards,Rec TDs,Rec Fmb
Mark Andrews,26.0,TE,17.0,9.0,1.0,0.0,0.0,1.0,153.0,107.0,1361.0,9.0,1.0
Travis Kelce,32.0,TE,16.0,16.0,2.0,3.0,1.0,1.0,134.0,92.0,1125.0,9.0,1.0
Kyle Pitts,21.0,TE,17.0,15.0,0.0,0.0,0.0,0.0,110.0,68.0,1026.0,1.0,0.0
George Kittle,28.0,TE,14.0,14.0,3.0,20.0,0.0,2.0,94.0,71.0,910.0,6.0,2.0
Dallas Goedert,26.0,TE,15.0,14.0,0.0,0.0,0.0,1.0,76.0,56.0,830.0,4.0,1.0
Dalton Schultz,25.0,TE,17.0,15.0,0.0,0.0,0.0,0.0,104.0,78.0,808.0,8.0,0.0
Rob Gronkowski,32.0,TE,12.0,12.0,0.0,0.0,0.0,0.0,89.0,55.0,802.0,6.0,0.0
Mike Gesicki,26.0,TE,17.0,9.0,0.0,0.0,0.0,0.0,112.0,73.0,780.0,2.0,0.0
Zach Ertz,31.0,TE,17.0,14.0,1.0,4.0,0.0,0.0,112.0,74.0,763.0,5.0,0.0
Zach Ertz,31.0,TE,17.0,14.0,1.0,4.0,0.0,0.0,112.0,74.0,763.0,5.0,0.0
Zach Ertz,31.0,TE,17.0,14.0,0.0,0.0,0.0,0.0,112.0,74.0,763.0,5.0,0.0
Noah Fant,24.0,TE,16.0,16.0,0.0,0.0,0.0,0.0,90.0,68.0,670.0,4.0,0.0
Darren Waller,29.0,TE,11.0,11.0,0.0,0.0,0.0,0.0,93.0,55.0,665.0,2.0,0.0
Cole Kmet,22.0,TE,17.0,17.0,1.0,0.0,0.0,0.0,93.0,60.0,612.0,0.0,0.0
Hunter Henry,27.0,TE,17.0,10.0,0.0,0.0,0.0,0.0,75.0,50.0,603.0,9.0,0.0
Tyler Conklin,26.0,TE,17.0,15.0,0.0,0.0,0.0,1.0,87.0,61.0,593.0,3.0,1.0
Dawson Knox,25.0,TE,15.0,14.0,0.0,4.0,0.0,0.0,71.0,49.0,587.0,9.0,0.0
T.J. Hockenson,24.0,TE,12.0,12.0,0.0,0.0,0.0,0.0,84.0,61.0,583.0,4.0,0.0
Zach Ertz,31.0,TE,11.0,11.0,1.0,4.0,0.0,0.0,81.0,56.0,574.0,3.0,0.0
Zach Ertz,31.0,TE,11.0,11.0,1.0,4.0,0.0,0.0,81.0,56.0,574.0,3.0,0.0
Zach Ertz,31.0,TE,11.0,11.0,0.0,0.0,0.0,0.0,81.0,56.0,574.0,3.0,0.0
Jared Cook,34.0,TE,16.0,10.0,0.0,0.0,0.0,0.0,83.0,48.0,564.0,4.0,0.0
Tyler Higbee,28.0,TE,15.0,15.0,0.0,0.0,0.0,1.0,85.0,61.0,560.0,5.0,1.0
Gerald Everett,27.0,TE,15.0,12.0,3.0,20.0,0.0,2.0,63.0,48.0,478.0,4.0,2.0
Pat Freiermuth,23.0,TE,16.0,9.0,0.0,0.0,0.0,1.0,79.0,60.0,497.0,7.0,1.0
C.J. Uzomah,28.0,TE,16.0,16.0,0.0,0.0,0.0,0.0,63.0,49.0,493.0,5.0,0.0
David Njoku,25.0,TE,16.0,11.0,1.0,1.0,0.0,0.0,53.0,36.0,475.0,4.0,0.0
Evan Engram,27.0,TE,15.0,12.0,1.0,-3.0,0.0,1.0,73.0,46.0,408.0,3.0,1.0
Foster Moreau,24.0,TE,17.0,11.0,0.0,0.0,0.0,1.0,44.0,30.0,373.0,3.0,1.0
Durham Smythe,26.0,TE,17.0,12.0,2.0,3.0,0.0,0.0,41.0,34.0,357.0,0.0,0.0
