Player,Tm,Age,Pos,Games,Games Started,Completions,Pass Atts,Pass Yards,Pass TDs,Interceptions,Passer Rating,Rush Atts,Rush Yards,Rush TDs
Tua Tagovailoa,,25.0,QB,17.0,17.0,388.0,560.0,4624.0,29.0,14.0,101.1,35.0,74.0,0.0
Jared Goff,,29.0,QB,17.0,17.0,407.0,605.0,4575.0,30.0,12.0,97.9,32.0,21.0,2.0
Dak Prescott,,30.0,QB,17.0,17.0,410.0,590.0,4516.0,36.0,9.0,105.9,55.0,242.0,2.0
Josh Allen,,27.0,QB,17.0,17.0,385.0,579.0,4306.0,29.0,18.0,92.2,111.0,524.0,15.0
Brock Purdy,,24.0,QB,16.0,16.0,308.0,444.0,4280.0,31.0,11.0,113.0,39.0,144.0,2.0
Patrick Mahomes,,28.0,QB,16.0,16.0,401.0,597.0,4183.0,27.0,14.0,92.6,75.0,389.0,0.0
Jordan Love,,25.0,QB,17.0,17.0,372.0,579.0,4159.0,32.0,11.0,96.1,50.0,247.0,4.0
C.J. Stroud,,22.0,QB,15.0,15.0,319.0,499.0,4108.0,23.0,5.0,100.8,39.0,167.0,3.0
Baker Mayfield,,28.0,QB,17.0,17.0,364.0,566.0,4044.0,28.0,10.0,94.6,62.0,163.0,1.0
Trevor Lawrence,,24.0,QB,16.0,16.0,370.0,564.0,4016.0,21.0,14.0,88.5,70.0,339.0,4.0
Matthew Stafford,,35.0,QB,15.0,15.0,326.0,521.0,3965.0,24.0,11.0,92.5,21.0,65.0,0.0
Sam Howell,,23.0,QB,17.0,17.0,388.0,612.0,3946.0,21.0,21.0,78.9,48.0,263.0,5.0
Derek Carr,,32.0,QB,17.0,17.0,375.0,548.0,3878.0,25.0,8.0,97.7,32.0,40.0,0.0
Jalen Hurts,,25.0,QB,17.0,17.0,352.0,538.0,3858.0,23.0,15.0,89.1,157.0,605.0,15.0
Lamar Jackson,,26.0,QB,16.0,16.0,307.0,457.0,3678.0,24.0,7.0,102.7,148.0,821.0,5.0
Geno Smith,,33.0,QB,15.0,15.0,323.0,499.0,3624.0,20.0,9.0,92.1,37.0,155.0,1.0
Gardner Minshew II,,27.0,QB,17.0,13.0,305.0,490.0,3305.0,15.0,9.0,84.6,34.0,100.0,3.0
