Player,Games Missed,Touches Per Game
Patrick Mahomes,0.0,42.0
Justin Herbert,0.0,44.0
Tom Brady,0.0,45.0
Kirk Cousins,0.0,40.0
Joe Burrow,1.0,43.0
Jared Goff,0.0,36.0
Josh Allen,1.0,43.0
Geno Smith,0.0,38.0
Trevor Lawrence,0.0,38.0
Jalen Hurts,2.0,42.0
Aaron Rodgers,0.0,34.0
Tua Tagovailoa,4.0,33.0
Russell Wilson,2.0,36.0
Derek Carr,2.0,35.0
Daniel Jones,1.0,37.0
Davis Mills,2.0,34.0
Matt Ryan,5.0,41.0
Mac Jones,3.0,35.0
Andy Dalton,3.0,29.0
Dak Prescott,5.0,37.0
Jacoby Brissett,1.0,26.0
Ryan Tannehill,5.0,30.0
Jimmy Garoppolo,6.0,30.0
Kenny Pickett,4.0,34.0
Kyler Murray,6.0,42.0
Lamar Jackson,5.0,36.0
Justin Fields,2.0,32.0
Marcus Mariota,4.0,30.0
Baker Mayfield,5.0,30.0
Baker Mayfield,5.0,29.0
Baker Mayfield,5.0,29.0
Matthew Stafford,8.0,35.0
Taylor Heinicke,8.0,32.0
Carson Wentz,9.0,37.0
Zach Wilson,8.0,30.0
Brock Purdy,8.0,21.0
Baker Mayfield,10.0,32.0
Baker Mayfield,10.0,34.0
Baker Mayfield,10.0,32.0
Mitchell Trubisky,10.0,28.0
Mike White,13.0,45.0
Sam Darnold,11.0,28.0
Deshaun Watson,11.0,34.0
Cooper Rush,8.0,19.0
Joe Flacco,12.0,39.0
Jameis Winston,14.0,40.0
Baker Mayfield,12.0,29.0
Baker Mayfield,12.0,29.0
Baker Mayfield,12.0,32.0
Bailey Zappe,13.0,26.0
