Player,Age,Pos,G,GS,Rush Atts,Rush Yards,Rush TDs,Rush Fmb,Targets,Receptions,Rec Yards,Rec TDs,Rec Fmb
Stefon Diggs,27.0,WR,16.0,15.0,1.0,1.0,0.0,0.0,166.0,127.0,1535.0,8.0,0.0
DeAndre Hopkins,28.0,WR,16.0,16.0,1.0,1.0,0.0,3.0,160.0,115.0,1407.0,6.0,3.0
Justin Jefferson,21.0,WR,16.0,14.0,1.0,2.0,0.0,1.0,125.0,88.0,1400.0,7.0,1.0
Tyreek Hill,26.0,WR,15.0,15.0,13.0,123.0,2.0,1.0,135.0,87.0,1276.0,15.0,1.0
Calvin Ridley,26.0,WR,15.0,15.0,5.0,1.0,0.0,1.0,143.0,90.0,1374.0,9.0,1.0
Davante Adams,28.0,WR,14.0,14.0,0.0,0.0,0.0,1.0,149.0,115.0,1374.0,18.0,1.0
D.K. Metcalf,23.0,WR,16.0,16.0,0.0,0.0,0.0,1.0,129.0,83.0,1303.0,10.0,1.0
Allen Robinson,27.0,WR,16.0,16.0,1.0,-1.0,0.0,0.0,151.0,102.0,1250.0,6.0,0.0
D.J. Moore,23.0,WR,15.0,14.0,2.0,22.0,0.0,0.0,118.0,66.0,1193.0,4.0,0.0
Brandin Cooks,27.0,WR,15.0,15.0,0.0,0.0,0.0,0.0,119.0,81.0,1150.0,6.0,0.0
Terry McLaurin,25.0,WR,15.0,15.0,2.0,30.0,0.0,1.0,134.0,87.0,1118.0,4.0,1.0
Amari Cooper,26.0,WR,16.0,15.0,6.0,14.0,0.0,0.0,130.0,92.0,1114.0,5.0,0.0
Robbie Chosen,27.0,WR,16.0,16.0,4.0,15.0,0.0,1.0,136.0,95.0,1096.0,3.0,1.0
Robert Woods,28.0,WR,16.0,16.0,24.0,155.0,2.0,2.0,129.0,90.0,936.0,6.0,2.0
A.J. Brown,23.0,WR,14.0,12.0,0.0,0.0,0.0,2.0,106.0,70.0,1075.0,11.0,2.0
Tyler Lockett,28.0,WR,16.0,16.0,0.0,0.0,0.0,1.0,132.0,100.0,1054.0,10.0,1.0
Curtis Samuel,24.0,WR,15.0,5.0,41.0,200.0,2.0,1.0,97.0,77.0,851.0,3.0,1.0
CeeDee Lamb,21.0,WR,16.0,14.0,10.0,82.0,1.0,2.0,111.0,74.0,935.0,5.0,2.0
Cooper Kupp,27.0,WR,15.0,12.0,4.0,33.0,0.0,1.0,124.0,92.0,974.0,3.0,1.0
Mike Evans,27.0,WR,16.0,16.0,0.0,0.0,0.0,0.0,109.0,70.0,1006.0,13.0,0.0
Keenan Allen,28.0,WR,14.0,13.0,1.0,-1.0,0.0,3.0,147.0,100.0,992.0,8.0,3.0
Corey Davis,25.0,WR,14.0,12.0,0.0,0.0,0.0,1.0,92.0,65.0,984.0,5.0,1.0
Marvin Jones,30.0,WR,16.0,16.0,0.0,0.0,0.0,0.0,115.0,76.0,978.0,9.0,0.0
Cole Beasley,31.0,WR,15.0,10.0,0.0,0.0,0.0,0.0,107.0,82.0,967.0,4.0,0.0
Adam Thielen,30.0,WR,15.0,15.0,3.0,15.0,0.0,0.0,108.0,74.0,925.0,14.0,0.0
Diontae Johnson,24.0,WR,15.0,13.0,3.0,15.0,0.0,2.0,144.0,88.0,923.0,7.0,2.0
Tee Higgins,21.0,WR,16.0,14.0,5.0,28.0,0.0,1.0,108.0,67.0,908.0,6.0,1.0
Nelson Agholor,27.0,WR,16.0,13.0,0.0,0.0,0.0,0.0,82.0,48.0,896.0,8.0,0.0
Tyler Boyd,26.0,WR,15.0,8.0,5.0,49.0,0.0,1.0,110.0,79.0,841.0,4.0,1.0
Chase Claypool,22.0,WR,16.0,6.0,10.0,16.0,2.0,3.0,109.0,62.0,873.0,9.0,3.0
Will Fuller,26.0,WR,11.0,11.0,1.0,0.0,0.0,0.0,75.0,53.0,879.0,8.0,0.0
Jerry Jeudy,21.0,WR,16.0,14.0,0.0,0.0,0.0,2.0,113.0,52.0,856.0,3.0,2.0
Jarvis Landry,28.0,WR,15.0,14.0,4.0,10.0,1.0,2.0,101.0,72.0,840.0,3.0,2.0
Michael Gallup,24.0,WR,16.0,15.0,0.0,0.0,0.0,0.0,105.0,59.0,843.0,5.0,0.0
Chris Godwin,24.0,WR,12.0,12.0,0.0,0.0,0.0,1.0,84.0,65.0,840.0,7.0,1.0
JuJu Smith-Schuster,24.0,WR,16.0,14.0,0.0,0.0,0.0,3.0,128.0,97.0,831.0,9.0,3.0
Brandon Aiyuk,22.0,WR,12.0,11.0,6.0,77.0,2.0,0.0,96.0,60.0,748.0,5.0,0.0
Russell Gage,24.0,WR,16.0,8.0,2.0,9.0,0.0,0.0,109.0,72.0,786.0,4.0,0.0
DeVante Parker,27.0,WR,14.0,11.0,0.0,0.0,0.0,1.0,103.0,63.0,793.0,4.0,1.0
Julio Jones,31.0,WR,9.0,9.0,0.0,0.0,0.0,0.0,68.0,51.0,771.0,3.0,0.0
Marquise Brown,23.0,WR,16.0,14.0,1.0,1.0,0.0,0.0,100.0,58.0,769.0,8.0,0.0
T.Y. Hilton,31.0,WR,15.0,15.0,0.0,0.0,0.0,0.0,93.0,56.0,762.0,5.0,0.0
Mike Williams,26.0,WR,15.0,11.0,1.0,1.0,0.0,0.0,85.0,48.0,756.0,5.0,0.0
Darius Slayton,23.0,WR,16.0,15.0,2.0,-1.0,0.0,1.0,96.0,50.0,751.0,3.0,1.0
Tim Patrick,27.0,WR,15.0,15.0,0.0,0.0,0.0,0.0,79.0,51.0,742.0,6.0,0.0
Jakobi Meyers,24.0,WR,14.0,9.0,2.0,9.0,0.0,1.0,81.0,59.0,729.0,0.0,1.0
Emmanuel Sanders,33.0,WR,14.0,5.0,1.0,12.0,0.0,1.0,82.0,61.0,726.0,5.0,1.0
Jamison Crowder,27.0,WR,12.0,7.0,1.0,14.0,0.0,0.0,89.0,59.0,699.0,6.0,0.0
DJ Chark,24.0,WR,13.0,12.0,0.0,0.0,0.0,0.0,93.0,53.0,706.0,5.0,0.0
Sterling Shepard,27.0,WR,12.0,12.0,6.0,49.0,1.0,0.0,90.0,66.0,656.0,3.0,0.0
Marquez Valdes-Scantling,26.0,WR,16.0,12.0,4.0,13.0,0.0,1.0,63.0,33.0,690.0,6.0,1.0
Laviska Shenault Jr.,22.0,WR,14.0,12.0,18.0,91.0,0.0,0.0,79.0,58.0,600.0,5.0,0.0
Kendrick Bourne,25.0,WR,15.0,5.0,0.0,0.0,0.0,0.0,74.0,49.0,667.0,2.0,0.0
Hunter Renfrow,25.0,WR,16.0,6.0,0.0,0.0,0.0,2.0,77.0,56.0,656.0,2.0,2.0
Darnell Mooney,23.0,WR,16.0,9.0,4.0,20.0,0.0,1.0,98.0,61.0,631.0,4.0,1.0
Keelan Cole,27.0,WR,16.0,5.0,1.0,2.0,0.0,0.0,88.0,55.0,642.0,5.0,0.0
Zach Pascal,26.0,WR,16.0,14.0,0.0,0.0,0.0,0.0,71.0,44.0,629.0,5.0,0.0
Christian Kirk,24.0,WR,14.0,10.0,2.0,3.0,0.0,1.0,79.0,48.0,621.0,6.0,1.0
Josh Reynolds,25.0,WR,16.0,13.0,1.0,5.0,0.0,2.0,81.0,52.0,618.0,2.0,2.0
Damiere Byrd,27.0,WR,16.0,14.0,2.0,15.0,0.0,3.0,77.0,47.0,604.0,1.0,3.0
Danny Amendola,35.0,WR,14.0,5.0,1.0,2.0,0.0,0.0,69.0,46.0,602.0,0.0,0.0
Rashard Higgins,26.0,WR,13.0,6.0,0.0,0.0,0.0,3.0,52.0,37.0,599.0,4.0,3.0
Gabriel Davis,21.0,WR,16.0,11.0,1.0,0.0,0.0,1.0,62.0,35.0,599.0,7.0,1.0
Mecole Hardman,22.0,WR,16.0,8.0,4.0,31.0,0.0,2.0,62.0,41.0,560.0,4.0,2.0
Travis Fulgham,25.0,WR,13.0,8.0,0.0,0.0,0.0,0.0,67.0,38.0,539.0,4.0,0.0
Michael Pittman Jr.,23.0,WR,13.0,8.0,3.0,26.0,0.0,0.0,61.0,40.0,503.0,1.0,0.0
A.J. Green,32.0,WR,16.0,14.0,0.0,0.0,0.0,0.0,104.0,47.0,523.0,2.0,0.0
Scott Miller,23.0,WR,16.0,5.0,3.0,14.0,0.0,0.0,53.0,33.0,501.0,3.0,0.0
Jalen Guyton,23.0,WR,16.0,9.0,2.0,0.0,0.0,0.0,55.0,28.0,511.0,3.0,0.0
Breshad Perriman,27.0,WR,12.0,12.0,1.0,6.0,0.0,0.0,60.0,30.0,505.0,3.0,0.0
Henry Ruggs III,21.0,WR,13.0,12.0,9.0,49.0,0.0,2.0,43.0,26.0,452.0,2.0,2.0
Anthony Miller,26.0,WR,16.0,6.0,2.0,12.0,0.0,2.0,76.0,49.0,485.0,2.0,2.0
Cam Sims,24.0,WR,16.0,10.0,1.0,5.0,0.0,1.0,48.0,32.0,477.0,1.0,1.0
Antonio Brown,32.0,WR,8.0,4.0,2.0,-2.0,0.0,0.0,62.0,45.0,483.0,4.0,0.0
David Moore,25.0,WR,16.0,6.0,8.0,61.0,0.0,1.0,47.0,35.0,417.0,6.0,1.0
