Player,Age,Pos,G,GS,Rush Atts,Rush Yards,Rush TDs,Rush Fmb,Targets,Receptions,Rec Yards,Rec TDs,Rec Fmb
Josh Jacobs,24.0,RB,17.0,17.0,340.0,1653.0,12.0,3.0,64.0,53.0,400.0,0.0,3.0
Derrick Henry,28.0,RB,16.0,16.0,349.0,1538.0,13.0,6.0,41.0,33.0,398.0,0.0,6.0
Christian McCaffrey,26.0,RB,17.0,16.0,244.0,1139.0,8.0,1.0,108.0,85.0,741.0,5.0,1.0
Nick Chubb,27.0,RB,17.0,17.0,302.0,1525.0,12.0,1.0,37.0,27.0,239.0,1.0,1.0
Saquon Barkley,25.0,RB,16.0,16.0,295.0,1312.0,10.0,1.0,76.0,57.0,338.0,0.0,1.0
Austin Ekeler,27.0,RB,17.0,17.0,204.0,915.0,13.0,5.0,127.0,107.0,722.0,5.0,5.0
Christian McCaffrey,26.0,RB,11.0,10.0,244.0,1139.0,8.0,1.0,65.0,52.0,464.0,4.0,1.0
Aaron Jones,28.0,RB,17.0,17.0,213.0,1121.0,2.0,5.0,72.0,59.0,395.0,5.0,5.0
Christian McCaffrey,26.0,RB,17.0,16.0,159.0,746.0,6.0,1.0,108.0,85.0,741.0,5.0,1.0
Dalvin Cook,27.0,RB,17.0,17.0,264.0,1173.0,8.0,4.0,56.0,39.0,295.0,2.0,4.0
Rhamondre Stevenson,24.0,RB,17.0,7.0,210.0,1040.0,5.0,4.0,88.0,69.0,421.0,1.0,4.0
Travis Etienne,23.0,RB,17.0,12.0,220.0,1125.0,5.0,5.0,45.0,35.0,316.0,0.0,5.0
Christian McCaffrey,26.0,RB,6.0,6.0,244.0,1139.0,8.0,1.0,43.0,33.0,277.0,1.0,0.0
Alvin Kamara,27.0,RB,15.0,13.0,223.0,897.0,2.0,4.0,77.0,57.0,490.0,2.0,4.0
Tony Pollard,25.0,RB,16.0,4.0,193.0,1007.0,9.0,0.0,55.0,39.0,371.0,3.0,0.0
Miles Sanders,25.0,RB,17.0,15.0,259.0,1269.0,11.0,2.0,26.0,20.0,78.0,0.0,2.0
Najee Harris,24.0,RB,17.0,17.0,272.0,1034.0,7.0,3.0,53.0,41.0,229.0,3.0,3.0
Joe Mixon,26.0,RB,14.0,14.0,210.0,814.0,7.0,0.0,75.0,60.0,441.0,2.0,0.0
Kenneth Walker III,22.0,RB,15.0,11.0,228.0,1050.0,9.0,0.0,35.0,27.0,165.0,0.0,0.0
Christian McCaffrey,26.0,RB,11.0,10.0,159.0,746.0,6.0,1.0,65.0,52.0,464.0,4.0,1.0
Leonard Fournette,27.0,RB,16.0,9.0,189.0,668.0,3.0,0.0,83.0,73.0,523.0,3.0,0.0
Tyler Allgeier,22.0,RB,16.0,7.0,210.0,1035.0,3.0,0.0,17.0,16.0,139.0,1.0,0.0
Jamaal Williams,27.0,RB,17.0,9.0,262.0,1066.0,17.0,3.0,16.0,12.0,73.0,0.0,3.0
Christian McCaffrey,26.0,RB,17.0,16.0,85.0,393.0,2.0,0.0,108.0,85.0,741.0,5.0,1.0
David Montgomery,25.0,RB,16.0,16.0,201.0,801.0,5.0,2.0,40.0,34.0,316.0,1.0,2.0
Dameon Pierce,22.0,RB,13.0,13.0,220.0,939.0,4.0,4.0,39.0,30.0,165.0,1.0,4.0
Devin Singletary,25.0,RB,16.0,16.0,177.0,819.0,5.0,3.0,52.0,38.0,280.0,1.0,3.0
Raheem Mostert,30.0,RB,16.0,14.0,181.0,891.0,3.0,1.0,42.0,31.0,202.0,2.0,1.0
James Conner,27.0,RB,13.0,13.0,183.0,782.0,7.0,3.0,58.0,46.0,300.0,1.0,3.0
Jeff Wilson,27.0,RB,16.0,7.0,176.0,860.0,5.0,3.0,37.0,22.0,185.0,1.0,3.0
Christian McCaffrey,26.0,RB,6.0,6.0,159.0,746.0,6.0,1.0,43.0,33.0,277.0,1.0,0.0
Jonathan Taylor,23.0,RB,11.0,11.0,192.0,861.0,4.0,3.0,40.0,28.0,143.0,0.0,3.0
AJ Dillon,24.0,RB,17.0,3.0,186.0,770.0,7.0,1.0,43.0,28.0,206.0,0.0,1.0
Ezekiel Elliott,27.0,RB,15.0,14.0,231.0,876.0,12.0,0.0,23.0,17.0,92.0,0.0,0.0
Isiah Pacheco,23.0,RB,17.0,11.0,170.0,830.0,5.0,4.0,14.0,13.0,130.0,0.0,4.0
Jeff Wilson,27.0,RB,8.0,1.0,176.0,860.0,5.0,3.0,24.0,12.0,94.0,1.0,1.0
Jeff Wilson,27.0,RB,8.0,6.0,176.0,860.0,5.0,3.0,13.0,10.0,91.0,0.0,2.0
D'Onta Foreman,26.0,RB,17.0,9.0,203.0,914.0,5.0,1.0,9.0,5.0,26.0,0.0,1.0
D'Andre Swift,23.0,RB,14.0,8.0,99.0,542.0,5.0,1.0,70.0,48.0,389.0,3.0,1.0
Cam Akers,23.0,RB,15.0,9.0,188.0,786.0,7.0,2.0,18.0,13.0,117.0,0.0,2.0
Antonio Gibson,24.0,RB,15.0,6.0,149.0,546.0,3.0,1.0,58.0,46.0,353.0,2.0,1.0
Latavius Murray,32.0,RB,13.0,7.0,171.0,760.0,6.0,1.0,35.0,27.0,132.0,0.0,1.0
Latavius Murray,32.0,RB,12.0,7.0,171.0,760.0,6.0,1.0,34.0,26.0,124.0,0.0,1.0
Brian Robinson Jr.,23.0,RB,12.0,9.0,205.0,797.0,2.0,2.0,12.0,9.0,60.0,1.0,2.0
Christian McCaffrey,26.0,RB,11.0,10.0,85.0,393.0,2.0,0.0,65.0,52.0,464.0,4.0,1.0
Latavius Murray,32.0,RB,13.0,7.0,160.0,703.0,5.0,1.0,35.0,27.0,132.0,0.0,1.0
Latavius Murray,32.0,RB,12.0,7.0,160.0,703.0,5.0,1.0,34.0,26.0,124.0,0.0,1.0
Cordarrelle Patterson,31.0,RB,13.0,11.0,144.0,695.0,8.0,1.0,31.0,21.0,122.0,0.0,1.0
Jerick McKinnon,30.0,RB,17.0,0.0,72.0,291.0,1.0,1.0,71.0,56.0,512.0,9.0,1.0
Khalil Herbert,24.0,RB,13.0,1.0,129.0,731.0,4.0,0.0,12.0,9.0,57.0,1.0,0.0
