Player,Age,Pos,G,GS,Rush Atts,Rush Yards,Rush TDs,Rush Fmb,Targets,Receptions,Rec Yards,Rec TDs,Rec Fmb
Cooper Kupp,28.0,WR,17.0,17.0,4.0,18.0,0.0,0.0,191.0,145.0,1947.0,16.0,0.0
Deebo Samuel,25.0,WR,16.0,15.0,59.0,365.0,8.0,4.0,121.0,77.0,1405.0,6.0,4.0
Justin Jefferson,22.0,WR,17.0,17.0,6.0,14.0,0.0,1.0,167.0,108.0,1616.0,10.0,1.0
Davante Adams,29.0,WR,16.0,16.0,0.0,0.0,0.0,0.0,169.0,123.0,1553.0,11.0,0.0
Ja'Marr Chase,21.0,WR,17.0,17.0,7.0,21.0,0.0,2.0,128.0,81.0,1455.0,13.0,2.0
Tyreek Hill,27.0,WR,17.0,16.0,9.0,96.0,0.0,2.0,159.0,111.0,1239.0,9.0,2.0
Stefon Diggs,28.0,WR,17.0,17.0,0.0,0.0,0.0,1.0,164.0,103.0,1225.0,10.0,1.0
Diontae Johnson,25.0,WR,16.0,14.0,5.0,53.0,0.0,2.0,169.0,107.0,1161.0,8.0,2.0
D.J. Moore,24.0,WR,17.0,17.0,8.0,48.0,0.0,1.0,163.0,93.0,1157.0,4.0,1.0
Tyler Lockett,29.0,WR,16.0,16.0,2.0,9.0,0.0,0.0,107.0,73.0,1175.0,8.0,0.0
CeeDee Lamb,22.0,WR,16.0,13.0,9.0,76.0,0.0,0.0,120.0,79.0,1102.0,6.0,0.0
Mike Williams,27.0,WR,16.0,14.0,0.0,0.0,0.0,0.0,129.0,76.0,1146.0,9.0,0.0
Keenan Allen,29.0,WR,16.0,16.0,0.0,0.0,0.0,1.0,157.0,106.0,1138.0,6.0,1.0
Michael Pittman Jr.,24.0,WR,17.0,17.0,5.0,44.0,0.0,1.0,129.0,88.0,1082.0,6.0,1.0
Chris Godwin,25.0,WR,14.0,14.0,4.0,21.0,1.0,2.0,127.0,98.0,1103.0,5.0,2.0
Tee Higgins,22.0,WR,14.0,14.0,0.0,0.0,0.0,1.0,110.0,74.0,1091.0,6.0,1.0
Darnell Mooney,24.0,WR,17.0,14.0,6.0,32.0,1.0,0.0,140.0,81.0,1055.0,4.0,0.0
Terry McLaurin,26.0,WR,17.0,17.0,1.0,12.0,0.0,0.0,130.0,77.0,1053.0,5.0,0.0
Brandin Cooks,28.0,WR,16.0,16.0,2.0,21.0,0.0,0.0,134.0,90.0,1037.0,6.0,0.0
Mike Evans,28.0,WR,16.0,16.0,1.0,10.0,0.0,0.0,114.0,74.0,1035.0,14.0,0.0
Hunter Renfrow,26.0,WR,17.0,9.0,3.0,3.0,0.0,5.0,128.0,103.0,1038.0,9.0,5.0
Jaylen Waddle,23.0,WR,16.0,16.0,2.0,3.0,1.0,2.0,140.0,104.0,1015.0,6.0,2.0
Marquise Brown,24.0,WR,16.0,16.0,1.0,5.0,0.0,3.0,146.0,91.0,1008.0,6.0,3.0
Christian Kirk,25.0,WR,17.0,11.0,1.0,11.0,0.0,0.0,103.0,77.0,982.0,5.0,0.0
Amon-Ra St. Brown,22.0,WR,17.0,9.0,7.0,61.0,1.0,0.0,119.0,90.0,912.0,5.0,0.0
D.K. Metcalf,24.0,WR,17.0,17.0,1.0,6.0,0.0,1.0,129.0,75.0,967.0,12.0,1.0
Chase Claypool,23.0,WR,15.0,13.0,14.0,96.0,0.0,0.0,105.0,59.0,860.0,2.0,0.0
Kendrick Bourne,26.0,WR,17.0,5.0,12.0,125.0,0.0,1.0,70.0,55.0,800.0,5.0,1.0
DeVonta Smith,23.0,WR,17.0,16.0,0.0,0.0,0.0,1.0,104.0,64.0,916.0,5.0,1.0
A.J. Brown,24.0,WR,13.0,13.0,2.0,10.0,0.0,0.0,105.0,63.0,869.0,5.0,0.0
Jakobi Meyers,25.0,WR,17.0,16.0,1.0,9.0,0.0,1.0,126.0,83.0,866.0,2.0,1.0
Amari Cooper,27.0,WR,15.0,14.0,0.0,0.0,0.0,1.0,104.0,68.0,865.0,8.0,1.0
Tyler Boyd,27.0,WR,16.0,10.0,2.0,22.0,0.0,1.0,94.0,67.0,828.0,5.0,1.0
A.J. Green,33.0,WR,16.0,9.0,0.0,0.0,0.0,0.0,92.0,54.0,848.0,3.0,0.0
