Player,Age,Pos,G,GS,Rush Atts,Rush Yards,Rush TDs,Rush Fmb,Targets,Receptions,Rec Yards,Rec TDs,Rec Fmb
George Kittle,30.0,TE,16.0,16.0,1.0,2.0,0.0,0.0,90.0,65.0,1020.0,6.0,0.0
Travis Kelce,34.0,TE,15.0,15.0,0.0,0.0,0.0,1.0,121.0,93.0,984.0,5.0,1.0
Evan Engram,29.0,TE,17.0,15.0,0.0,0.0,0.0,3.0,143.0,114.0,963.0,4.0,3.0
T.J. Hockenson,26.0,TE,15.0,11.0,0.0,0.0,0.0,1.0,127.0,95.0,960.0,5.0,1.0
Sam LaPorta,22.0,TE,17.0,14.0,1.0,4.0,0.0,0.0,120.0,86.0,889.0,10.0,0.0
David Njoku,27.0,TE,16.0,16.0,0.0,0.0,0.0,2.0,123.0,81.0,882.0,6.0,2.0
Trey McBride,24.0,TE,17.0,12.0,0.0,0.0,0.0,1.0,106.0,81.0,825.0,3.0,1.0
Jake Ferguson,24.0,TE,17.0,16.0,0.0,0.0,0.0,0.0,102.0,71.0,761.0,5.0,0.0
Cole Kmet,24.0,TE,17.0,17.0,3.0,2.0,0.0,1.0,90.0,73.0,719.0,6.0,1.0
Dalton Kincaid,24.0,TE,16.0,11.0,0.0,0.0,0.0,1.0,91.0,73.0,673.0,2.0,1.0
Kyle Pitts,23.0,TE,17.0,15.0,1.0,-4.0,0.0,0.0,90.0,53.0,667.0,3.0,0.0
Dalton Schultz,27.0,TE,15.0,8.0,0.0,0.0,0.0,1.0,88.0,59.0,635.0,5.0,1.0
Tyler Conklin,28.0,TE,17.0,12.0,1.0,0.0,0.0,0.0,87.0,61.0,621.0,0.0,0.0
Dallas Goedert,28.0,TE,14.0,14.0,1.0,1.0,0.0,0.0,83.0,59.0,592.0,3.0,0.0
Jonnu Smith,28.0,TE,17.0,6.0,1.0,0.0,0.0,1.0,70.0,50.0,582.0,3.0,1.0
Darren Waller,31.0,TE,12.0,11.0,0.0,0.0,0.0,0.0,74.0,52.0,552.0,1.0,0.0
Mark Andrews,28.0,TE,10.0,9.0,1.0,0.0,0.0,1.0,61.0,45.0,544.0,6.0,1.0
Chigoziem Okonkwo,24.0,TE,17.0,11.0,2.0,6.0,0.0,0.0,77.0,54.0,528.0,1.0,0.0
Logan Thomas,32.0,TE,16.0,15.0,1.0,2.0,0.0,2.0,78.0,55.0,496.0,4.0,2.0
Tyler Higbee,30.0,TE,15.0,15.0,0.0,0.0,0.0,0.0,70.0,47.0,495.0,2.0,0.0
Cade Otton,24.0,TE,17.0,17.0,0.0,0.0,0.0,1.0,67.0,47.0,455.0,4.0,1.0
Gerald Everett,29.0,TE,15.0,12.0,3.0,10.0,0.0,3.0,70.0,51.0,411.0,3.0,3.0
Hunter Henry,29.0,TE,14.0,10.0,0.0,0.0,0.0,1.0,61.0,42.0,419.0,6.0,1.0
Noah Fant,26.0,TE,17.0,17.0,0.0,0.0,0.0,0.0,43.0,32.0,414.0,0.0,0.0
Isaiah Likely,23.0,TE,17.0,8.0,0.0,0.0,0.0,0.0,40.0,30.0,411.0,5.0,0.0
Kylen Granson,25.0,TE,15.0,7.0,1.0,2.0,0.0,0.0,50.0,30.0,368.0,1.0,0.0
Juwan Johnson,27.0,TE,13.0,11.0,0.0,0.0,0.0,0.0,59.0,37.0,368.0,4.0,0.0
Durham Smythe,28.0,TE,16.0,14.0,0.0,0.0,0.0,0.0,43.0,35.0,366.0,0.0,0.0
Tucker Kraft,23.0,TE,17.0,8.0,0.0,0.0,0.0,0.0,40.0,31.0,355.0,2.0,0.0
Luke Musgrave,23.0,TE,11.0,9.0,0.0,0.0,0.0,0.0,46.0,34.0,352.0,1.0,0.0
