rush_rk,player,rush_age,rush_g,rush_gs,rush_att,rush_yds,rush_td,rush_1d,rush_succ%,rush_lng,rush_y/a,rush_y/g,rush_a/g,rush_fmb,rush_awards,rec_rk,rec_age,rec_g,rec_gs,rec_tgt,rec_rec,rec_yds,rec_y/r,rec_td,rec_1d,rec_succ%,rec_lng,rec_r/g,rec_y/g,rec_ctch%,rec_y/tgt,rec_fmb,rec_awards
169.0,Jayden Reed,23.0,16.0,13.0,11.0,119.0,2.0,6.0,54.5,32.0,10.8,7.4,0.7,2.0,AP ORoY-6,48.0,23.0,16.0,13.0,94.0,64.0,793.0,12.4,8.0,32.0,51.1,59.0,4.0,49.6,68.1,8.4,2.0,AP ORoY-6
260.0,Jaylen Waddle,25.0,14.0,14.0,3.0,12.0,0.0,1.0,33.3,12.0,4.0,0.9,0.2,0.0,,37.0,25.0,14.0,14.0,104.0,72.0,1014.0,14.1,4.0,47.0,58.7,60.0,5.1,72.4,69.2,9.8,0.0,
439.0,Jerry Jeudy,24.0,16.0,11.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,69.0,24.0,16.0,11.0,87.0,54.0,758.0,14.0,2.0,28.0,46.0,47.0,3.4,47.4,62.1,8.7,1.0,
320.0,John Metchie,23.0,16.0,0.0,1.0,4.0,0.0,0.0,100.0,4.0,4.0,0.3,0.1,0.0,,234.0,23.0,16.0,0.0,30.0,16.0,158.0,9.9,0.0,7.0,43.3,22.0,1.0,9.9,53.3,5.3,0.0,
477.0,Jonathan Mingo,22.0,15.0,14.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,98.0,22.0,15.0,14.0,85.0,43.0,418.0,9.7,0.0,15.0,32.9,40.0,2.9,27.9,50.6,4.9,1.0,
285.0,Jordan Addison,21.0,17.0,14.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.0,,40.0,21.0,17.0,14.0,108.0,70.0,911.0,13.0,10.0,38.0,50.0,62.0,4.1,53.6,64.8,8.4,0.0,
391.0,Josh Downs,22.0,17.0,9.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,42.0,22.0,17.0,9.0,98.0,68.0,771.0,11.3,2.0,30.0,50.0,59.0,4.0,45.4,69.4,7.9,0.0,
323.0,Josh Palmer,24.0,10.0,6.0,1.0,6.0,0.0,0.0,100.0,6.0,6.0,0.6,0.1,1.0,,114.0,24.0,10.0,6.0,61.0,38.0,581.0,15.3,2.0,22.0,47.5,79.0,3.8,58.1,62.3,9.5,1.0,
510.0,Josh Reynolds,28.0,17.0,13.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,103.0,28.0,17.0,13.0,64.0,40.0,608.0,15.2,5.0,32.0,56.3,33.0,2.4,35.8,62.5,9.5,1.0,
533.0,JuJu Smith-Schuster,27.0,11.0,7.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,152.0,27.0,11.0,7.0,47.0,29.0,260.0,9.0,1.0,13.0,42.6,37.0,2.6,23.6,61.7,5.5,0.0,
446.0,Julio Jones,34.0,11.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,278.0,34.0,11.0,4.0,19.0,11.0,74.0,6.7,3.0,4.0,31.6,22.0,1.0,6.7,57.9,3.9,0.0,
313.0,Justin Jefferson,24.0,10.0,9.0,1.0,-12.0,0.0,0.0,0.0,-12.0,-12.0,-1.2,0.1,1.0,,43.0,24.0,10.0,9.0,100.0,68.0,1074.0,15.8,5.0,51.0,61.0,52.0,6.8,107.4,68.0,10.7,1.0,
565.0,Justin Watson,27.0,16.0,8.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,168.0,27.0,16.0,8.0,53.0,27.0,460.0,17.0,3.0,21.0,50.9,41.0,1.7,28.8,50.9,8.7,1.0,
516.0,Justyn Ross,24.0,10.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,336.0,24.0,10.0,1.0,11.0,6.0,53.0,8.8,0.0,2.0,45.5,20.0,0.6,5.3,54.5,4.8,0.0,
574.0,Juwann Winfree,27.0,8.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,573.0,27.0,8.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
493.0,K.J. Osborn,26.0,16.0,12.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,87.0,26.0,16.0,12.0,75.0,48.0,540.0,11.3,3.0,28.0,45.3,47.0,3.0,33.8,64.0,7.2,1.0,
172.0,KaVontae Turpin,27.0,16.0,0.0,11.0,110.0,1.0,5.0,72.7,46.0,10.0,6.9,0.7,1.0,,273.0,27.0,16.0,0.0,18.0,12.0,127.0,10.6,3.0,9.0,61.1,34.0,0.8,7.9,66.7,7.1,1.0,
171.0,Kadarius Toney,24.0,13.0,2.0,11.0,31.0,0.0,2.0,27.3,14.0,2.8,2.4,0.8,1.0,,167.0,24.0,13.0,2.0,38.0,27.0,169.0,6.3,1.0,12.0,44.7,18.0,2.1,13.0,71.1,4.4,1.0,
202.0,Kalif Raymond,29.0,17.0,3.0,7.0,75.0,0.0,2.0,71.4,40.0,10.7,4.4,0.4,1.0,,124.0,29.0,17.0,3.0,44.0,35.0,489.0,14.0,1.0,20.0,65.9,41.0,2.1,28.8,79.5,11.1,1.0,
361.0,Kayshon Boutte,21.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,397.0,21.0,5.0,0.0,7.0,2.0,19.0,9.5,0.0,1.0,28.6,11.0,0.4,3.8,28.6,2.7,0.0,
387.0,Keelan Doss,27.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,330.0,27.0,5.0,0.0,13.0,6.0,33.0,5.5,0.0,1.0,23.1,9.0,1.2,6.6,46.2,2.5,0.0,
263.0,Keenan Allen,31.0,13.0,13.0,2.0,6.0,0.0,1.0,100.0,4.0,3.0,0.5,0.2,2.0,PB,6.0,31.0,13.0,13.0,150.0,108.0,1243.0,11.5,7.0,57.0,58.7,42.0,8.3,95.6,72.0,8.3,2.0,PB
455.0,Keith Kirkwood,29.0,13.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,346.0,29.0,13.0,4.0,9.0,5.0,37.0,7.4,1.0,3.0,44.4,13.0,0.4,2.8,55.6,4.1,0.0,
290.0,Kendrick Bourne,28.0,8.0,5.0,1.0,4.0,0.0,1.0,100.0,4.0,4.0,0.5,0.1,1.0,,117.0,28.0,8.0,5.0,55.0,37.0,406.0,11.0,4.0,15.0,49.1,36.0,4.6,50.8,67.3,7.4,1.0,
309.0,KhaDarel Hodge,28.0,17.0,4.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,1.0,,254.0,28.0,17.0,4.0,23.0,14.0,232.0,16.6,0.0,13.0,60.9,52.0,0.8,13.6,60.9,10.1,1.0,
329.0,Khalil Shakir,23.0,17.0,10.0,1.0,10.0,0.0,1.0,100.0,10.0,10.0,0.6,0.1,1.0,,109.0,23.0,17.0,10.0,45.0,39.0,611.0,15.7,2.0,26.0,73.3,81.0,2.3,35.9,86.7,13.6,1.0,
460.0,Kwamie Lassiter II,25.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,444.0,25.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,100.0,2.0,0.0,
501.0,Kyle Philips,24.0,9.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,245.0,24.0,9.0,0.0,22.0,15.0,181.0,12.1,0.0,9.0,50.0,29.0,1.7,20.1,68.2,8.2,1.0,
553.0,Laquon Treadwell,28.0,5.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,461.0,28.0,5.0,1.0,3.0,1.0,16.0,16.0,0.0,1.0,33.3,16.0,0.2,3.2,33.3,5.3,0.0,
165.0,Laviska Shenault Jr.,25.0,8.0,0.0,12.0,55.0,0.0,3.0,50.0,11.0,4.6,6.9,1.5,1.0,,293.0,25.0,8.0,0.0,10.0,10.0,60.0,6.0,0.0,2.0,30.0,14.0,1.3,7.5,100.0,6.0,1.0,
430.0,Lil'Jordan Humphrey,25.0,17.0,8.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,262.0,25.0,17.0,8.0,19.0,13.0,162.0,12.5,3.0,9.0,63.2,54.0,0.8,9.5,68.4,8.5,0.0,
213.0,Lynn Bowden Jr.,26.0,15.0,3.0,5.0,32.0,0.0,3.0,60.0,29.0,6.4,2.1,0.3,1.0,,276.0,26.0,15.0,3.0,16.0,11.0,83.0,7.5,0.0,2.0,37.5,17.0,0.7,5.5,68.8,5.2,1.0,
424.0,Mack Hollins,30.0,13.0,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,214.0,30.0,13.0,3.0,30.0,18.0,251.0,13.9,0.0,9.0,46.7,45.0,1.4,19.3,60.0,8.4,0.0,
416.0,Malik Heath,23.0,13.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,242.0,23.0,13.0,1.0,24.0,15.0,125.0,8.3,1.0,6.0,41.7,16.0,1.2,9.6,62.5,5.2,0.0,
544.0,Malik Taylor,28.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,413.0,28.0,3.0,0.0,4.0,2.0,13.0,6.5,0.0,0.0,25.0,7.0,0.7,4.3,50.0,3.3,0.0,
557.0,Marquez Valdes-Scantling,29.0,16.0,10.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,200.0,29.0,16.0,10.0,42.0,21.0,315.0,15.0,1.0,14.0,40.5,46.0,1.3,19.7,50.0,7.5,1.0,
267.0,Marquise Brown,26.0,14.0,14.0,2.0,23.0,0.0,1.0,50.0,29.0,11.5,1.6,0.1,0.0,,76.0,26.0,14.0,14.0,101.0,51.0,574.0,11.3,4.0,32.0,42.6,41.0,3.6,41.0,50.5,5.7,0.0,
231.0,Marquise Goodwin,33.0,12.0,0.0,4.0,33.0,0.0,2.0,50.0,20.0,8.3,2.8,0.3,0.0,,365.0,33.0,12.0,0.0,13.0,4.0,67.0,16.8,0.0,1.0,7.7,57.0,0.3,5.6,30.8,5.2,0.0,
447.0,Marvin Jones,33.0,6.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,345.0,33.0,6.0,4.0,10.0,5.0,35.0,7.0,0.0,2.0,30.0,16.0,0.8,5.8,50.0,3.5,1.0,
181.0,Marvin Mims,21.0,16.0,7.0,9.0,30.0,0.0,2.0,44.4,11.0,3.3,1.9,0.6,2.0,"PB,AP-2",186.0,21.0,16.0,7.0,33.0,22.0,377.0,17.1,1.0,9.0,48.5,60.0,1.4,23.6,66.7,11.4,2.0,"PB,AP-2"
454.0,Mason Kinsey,25.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,442.0,25.0,6.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,6.0,0.2,1.0,100.0,6.0,0.0,
305.0,Mecole Hardman,25.0,11.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,0.3,0.1,1.0,,248.0,25.0,11.0,2.0,24.0,15.0,124.0,8.3,0.0,8.0,50.0,37.0,1.4,11.3,62.5,5.2,1.0,
305.0,Mecole Hardman,25.0,11.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,0.3,0.1,1.0,,248.0,25.0,5.0,0.0,3.0,1.0,6.0,6.0,0.0,0.0,33.3,6.0,0.2,1.2,33.3,2.0,0.0,
305.0,Mecole Hardman,25.0,11.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,0.3,0.1,1.0,,248.0,25.0,6.0,2.0,21.0,14.0,118.0,8.4,0.0,8.0,52.4,37.0,2.3,19.7,66.7,5.6,1.0,
305.0,Mecole Hardman,25.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,248.0,25.0,11.0,2.0,24.0,15.0,124.0,8.3,0.0,8.0,50.0,37.0,1.4,11.3,62.5,5.2,1.0,
305.0,Mecole Hardman,25.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,248.0,25.0,5.0,0.0,3.0,1.0,6.0,6.0,0.0,0.0,33.3,6.0,0.2,1.2,33.3,2.0,0.0,
305.0,Mecole Hardman,25.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,248.0,25.0,6.0,2.0,21.0,14.0,118.0,8.4,0.0,8.0,52.4,37.0,2.3,19.7,66.7,5.6,1.0,
305.0,Mecole Hardman,25.0,6.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,0.5,0.2,1.0,,248.0,25.0,11.0,2.0,24.0,15.0,124.0,8.3,0.0,8.0,50.0,37.0,1.4,11.3,62.5,5.2,1.0,
305.0,Mecole Hardman,25.0,6.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,0.5,0.2,1.0,,248.0,25.0,5.0,0.0,3.0,1.0,6.0,6.0,0.0,0.0,33.3,6.0,0.2,1.2,33.3,2.0,0.0,
305.0,Mecole Hardman,25.0,6.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,0.5,0.2,1.0,,248.0,25.0,6.0,2.0,21.0,14.0,118.0,8.4,0.0,8.0,52.4,37.0,2.3,19.7,66.7,5.6,1.0,
408.0,Michael Gallup,27.0,17.0,13.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,126.0,27.0,17.0,13.0,57.0,34.0,418.0,12.3,2.0,19.0,50.9,41.0,2.0,24.6,59.6,7.3,0.0,
503.0,Michael Pittman Jr.,26.0,16.0,15.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,,5.0,26.0,16.0,15.0,156.0,109.0,1152.0,10.6,4.0,53.0,51.9,75.0,6.8,72.0,69.9,7.4,2.0,
546.0,Michael Thomas,30.0,10.0,7.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,111.0,30.0,10.0,7.0,64.0,39.0,448.0,11.5,1.0,21.0,54.7,31.0,3.9,44.8,60.9,7.0,0.0,
573.0,Michael Wilson,23.0,13.0,12.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,116.0,23.0,13.0,12.0,58.0,38.0,565.0,14.9,3.0,29.0,56.9,69.0,2.9,43.5,65.5,9.7,0.0,
399.0,Mike Evans,30.0,17.0,17.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,"PB,AP-2",24.0,30.0,17.0,17.0,136.0,79.0,1255.0,15.9,13.0,54.0,53.7,75.0,4.6,73.8,58.1,9.2,0.0,"PB,AP-2"
538.0,Mike Strachan,26.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,458.0,26.0,4.0,1.0,3.0,1.0,45.0,45.0,0.0,1.0,33.3,45.0,0.3,11.3,33.3,15.0,0.0,
343.0,Mike Williams,29.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,1.0,0.3,0.0,,212.0,29.0,3.0,3.0,26.0,19.0,249.0,13.1,1.0,9.0,53.8,49.0,6.3,83.0,73.1,9.6,0.0,
362.0,Miles Boykin,27.0,17.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,379.0,27.0,17.0,0.0,4.0,3.0,17.0,5.7,0.0,0.0,50.0,6.0,0.2,1.0,75.0,4.3,0.0,
349.0,Nelson Agholor,30.0,17.0,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,121.0,30.0,17.0,3.0,45.0,35.0,381.0,10.9,4.0,19.0,55.6,37.0,2.1,22.4,77.8,8.5,1.0,
568.0,Nick Westbrook-Ikhine,26.0,14.0,9.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,158.0,26.0,14.0,9.0,45.0,28.0,370.0,13.2,3.0,18.0,57.8,33.0,2.0,26.4,62.2,8.2,0.0,
294.0,Nico Collins,24.0,15.0,10.0,1.0,7.0,0.0,0.0,100.0,7.0,7.0,0.5,0.1,1.0,,23.0,24.0,15.0,10.0,109.0,80.0,1297.0,16.2,8.0,53.0,61.5,75.0,5.3,86.5,73.4,11.9,1.0,
292.0,Noah Brown,27.0,10.0,7.0,1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-0.1,0.1,0.0,,131.0,27.0,10.0,7.0,55.0,33.0,567.0,17.2,2.0,24.0,52.7,75.0,3.3,56.7,60.0,10.3,0.0,
356.0,Odell Beckham Jr.,31.0,14.0,6.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,122.0,31.0,14.0,6.0,64.0,35.0,565.0,16.1,3.0,27.0,50.0,51.0,2.5,40.4,54.7,8.8,1.0,
578.0,Olamide Zaccheaus,26.0,17.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,296.0,26.0,17.0,1.0,20.0,10.0,164.0,16.4,2.0,7.0,50.0,34.0,0.6,9.6,50.0,8.2,0.0,
563.0,Parker Washington,21.0,9.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,,237.0,21.0,9.0,1.0,21.0,16.0,132.0,8.3,2.0,5.0,52.4,19.0,1.8,14.7,76.2,6.3,2.0,
371.0,Parris Campbell,26.0,12.0,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,201.0,26.0,12.0,3.0,27.0,20.0,104.0,5.2,0.0,2.0,37.0,17.0,1.7,8.7,74.1,3.9,0.0,
385.0,Phillip Dorsett,30.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,488.0,30.0,2.0,1.0,3.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
163.0,Puka Nacua,22.0,17.0,17.0,12.0,89.0,0.0,5.0,58.3,31.0,7.4,5.2,0.7,1.0,"PB,AP-2,AP ORoY-2",9.0,22.0,17.0,17.0,160.0,105.0,1486.0,14.2,6.0,68.0,56.9,80.0,6.2,87.4,65.6,9.3,1.0,"PB,AP-2,AP ORoY-2"
247.0,Quentin Johnston,22.0,17.0,10.0,3.0,9.0,0.0,0.0,33.3,6.0,3.0,0.5,0.2,0.0,,113.0,22.0,17.0,10.0,67.0,38.0,431.0,11.3,2.0,20.0,47.8,57.0,2.2,25.4,56.7,6.4,0.0,
564.0,Quez Watkins,25.0,9.0,5.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,246.0,25.0,9.0,5.0,21.0,15.0,142.0,9.5,1.0,8.0,61.9,19.0,1.7,15.8,71.4,6.8,0.0,
312.0,Rakim Jarrett,22.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,0.0,,368.0,22.0,10.0,0.0,9.0,4.0,60.0,15.0,0.0,1.0,33.3,41.0,0.4,6.0,44.4,6.7,0.0,
376.0,Randall Cobb,33.0,11.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,341.0,33.0,11.0,1.0,17.0,5.0,39.0,7.8,1.0,3.0,17.6,15.0,0.5,3.5,29.4,2.3,0.0,
326.0,Rashee Rice,23.0,16.0,8.0,1.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,-0.2,0.1,2.0,AP ORoY-6,27.0,23.0,16.0,8.0,102.0,79.0,938.0,11.9,7.0,44.0,61.8,67.0,4.9,58.6,77.5,9.2,2.0,AP ORoY-6
205.0,Rashid Shaheed,25.0,15.0,8.0,7.0,37.0,0.0,1.0,85.7,12.0,5.3,2.5,0.5,1.0,"PB,AP-1",92.0,25.0,15.0,8.0,75.0,46.0,719.0,15.6,5.0,27.0,46.7,58.0,3.1,47.9,61.3,9.6,1.0,"PB,AP-1"
287.0,Rashod Bateman,24.0,16.0,12.0,1.0,18.0,0.0,1.0,100.0,18.0,18.0,1.1,0.1,0.0,,135.0,24.0,16.0,12.0,56.0,32.0,367.0,11.5,1.0,20.0,50.0,29.0,2.0,22.9,57.1,6.6,0.0,
250.0,Ray-Ray McCloud,27.0,12.0,1.0,3.0,30.0,0.0,2.0,100.0,15.0,10.0,2.5,0.3,1.0,,270.0,27.0,12.0,1.0,15.0,12.0,135.0,11.3,0.0,7.0,66.7,41.0,1.0,11.3,80.0,9.0,1.0,
437.0,Richie James,28.0,9.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,,290.0,28.0,9.0,1.0,14.0,10.0,114.0,11.4,0.0,5.0,57.1,45.0,1.1,12.7,71.4,8.1,2.0,
381.0,River Cracraft,29.0,10.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,297.0,29.0,10.0,1.0,12.0,9.0,121.0,13.4,1.0,8.0,66.7,24.0,0.9,12.1,75.0,10.1,0.0,
374.0,Robbie Chosen,30.0,9.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,361.0,30.0,9.0,0.0,6.0,4.0,126.0,31.5,1.0,3.0,66.7,68.0,0.4,14.0,66.7,21.0,0.0,
