rk,player,age,team,pos,g,gs,att,yds,td,1d,succ%,lng,y/a,y/g,a/g,fmb,awards
1.0,Derrick Henry,28.0,TEN,RB,16.0,16.0,349.0,1538.0,13.0,65.0,46.7,56.0,4.4,96.1,21.8,6.0,"PB,AP MVP-9,AP OPoY-12,AP CPoY-9"
2.0,Josh Jacobs,24.0,LVR,RB,17.0,17.0,340.0,1653.0,12.0,93.0,57.4,86.0,4.9,97.2,20.0,3.0,"PB,AP-1,AP OPoY-5"
3.0,Nick Chubb,27.0,CLE,RB,17.0,17.0,302.0,1525.0,12.0,69.0,50.0,41.0,5.0,89.7,17.8,1.0,"PB,AP-2"
4.0,Saquon Barkley,25.0,NYG,RB,16.0,16.0,295.0,1312.0,10.0,62.0,47.5,68.0,4.4,82.0,18.4,1.0,"PB,AP CPoY-3"
5.0,Najee Harris,24.0,PIT,RB,17.0,17.0,272.0,1034.0,7.0,45.0,46.0,36.0,3.8,60.8,16.0,3.0,
6.0,Dalvin Cook,27.0,MIN,RB,17.0,17.0,264.0,1173.0,8.0,50.0,47.3,81.0,4.4,69.0,15.5,4.0,PB
7.0,Jamaal Williams,27.0,DET,RB,17.0,9.0,262.0,1066.0,17.0,65.0,53.1,58.0,4.1,62.7,15.4,3.0,
8.0,Miles Sanders,25.0,PHI,RB,17.0,15.0,259.0,1269.0,11.0,62.0,56.8,40.0,4.9,74.6,15.2,2.0,PB
9.0,Christian McCaffrey,26.0,2TM,RB,17.0,16.0,244.0,1139.0,8.0,59.0,48.4,49.0,4.7,67.0,14.4,1.0,"PB,AP OPoY-7,AP CPoY-2"
9.0,Christian McCaffrey,26.0,CAR,RB,6.0,6.0,85.0,393.0,2.0,20.0,49.4,49.0,4.6,65.5,14.2,0.0,
9.0,Christian McCaffrey,26.0,SFO,RB,11.0,10.0,159.0,746.0,6.0,39.0,47.8,38.0,4.7,67.8,14.5,1.0,
10.0,Ezekiel Elliott,27.0,DAL,RB,15.0,14.0,231.0,876.0,12.0,52.0,47.6,27.0,3.8,58.4,15.4,0.0,
11.0,Kenneth Walker III,22.0,SEA,RB,15.0,11.0,228.0,1050.0,9.0,51.0,39.9,74.0,4.6,70.0,15.2,0.0,AP ORoY-2
12.0,Alvin Kamara,27.0,NOR,RB,15.0,13.0,223.0,897.0,2.0,40.0,52.0,27.0,4.0,59.8,14.9,4.0,
13.0,Travis Etienne,23.0,JAX,RB,17.0,12.0,220.0,1125.0,5.0,52.0,50.9,62.0,5.1,66.2,12.9,5.0,
14.0,Dameon Pierce,22.0,HOU,RB,13.0,13.0,220.0,939.0,4.0,54.0,47.7,75.0,4.3,72.2,16.9,4.0,AP ORoY-9
15.0,Aaron Jones,28.0,GNB,RB,17.0,17.0,213.0,1121.0,2.0,54.0,54.9,36.0,5.3,65.9,12.5,5.0,
16.0,Tyler Allgeier,22.0,ATL,RB,16.0,7.0,210.0,1035.0,3.0,53.0,51.9,44.0,4.9,64.7,13.1,0.0,AP ORoY-5
17.0,Joe Mixon,26.0,CIN,RB,14.0,14.0,210.0,814.0,7.0,47.0,52.4,40.0,3.9,58.1,15.0,0.0,
18.0,Rhamondre Stevenson,24.0,NWE,RB,17.0,7.0,210.0,1040.0,5.0,49.0,45.7,49.0,5.0,61.2,12.4,4.0,
19.0,Brian Robinson Jr.,23.0,WAS,RB,12.0,9.0,205.0,797.0,2.0,49.0,52.7,24.0,3.9,66.4,17.1,2.0,
20.0,Austin Ekeler,27.0,LAC,RB,17.0,17.0,204.0,915.0,13.0,46.0,48.0,72.0,4.5,53.8,12.0,5.0,AP OPoY-9
21.0,D'Onta Foreman,26.0,CAR,RB,17.0,9.0,203.0,914.0,5.0,45.0,48.8,60.0,4.5,53.8,11.9,1.0,
22.0,David Montgomery,25.0,CHI,RB,16.0,16.0,201.0,801.0,5.0,41.0,44.8,28.0,4.0,50.1,12.6,2.0,
23.0,Tony Pollard,25.0,DAL,RB,16.0,4.0,193.0,1007.0,9.0,46.0,47.7,57.0,5.2,62.9,12.1,0.0,PB
24.0,Jonathan Taylor,23.0,IND,RB,11.0,11.0,192.0,861.0,4.0,39.0,48.4,66.0,4.5,78.3,17.5,3.0,
25.0,Leonard Fournette,27.0,TAM,RB,16.0,9.0,189.0,668.0,3.0,39.0,49.2,23.0,3.5,41.8,11.8,0.0,
26.0,Cam Akers,23.0,LAR,RB,15.0,9.0,188.0,786.0,7.0,39.0,52.7,42.0,4.2,52.4,12.5,2.0,
27.0,AJ Dillon,24.0,GNB,RB,17.0,3.0,186.0,770.0,7.0,47.0,56.5,27.0,4.1,45.3,10.9,1.0,
28.0,James Conner,27.0,ARI,RB,13.0,13.0,183.0,782.0,7.0,48.0,55.2,23.0,4.3,60.2,14.1,3.0,
29.0,Raheem Mostert,30.0,MIA,RB,16.0,14.0,181.0,891.0,3.0,44.0,55.2,67.0,4.9,55.7,11.3,1.0,
30.0,Devin Singletary,25.0,BUF,RB,16.0,16.0,177.0,819.0,5.0,43.0,52.5,33.0,4.6,51.2,11.1,3.0,
