Rk,Player,Age,Team,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards
39.0,Deshaun Watson,28.0,CLE,QB,6.0,6.0,105.0,171.0,1566.0,9.2,616.0,5.9,3.6,499.0,4.8,4.0,5.0,1.0,12.0,7.3,34.0,20.6,118.0,71.5,2.5,59.0,13.0,18.0,48.0,23.4,17.0,6.2,20.0,115.0,17.0,116.0,1.0,-1.0,34.0,334.0,
40.0,Jimmy Garoppolo,32.0,LVR,QB,7.0,6.0,110.0,169.0,1380.0,8.2,737.0,6.7,4.4,468.0,4.3,5.0,3.0,1.0,5.0,3.0,30.0,18.2,117.0,70.9,2.5,51.0,5.0,15.0,34.0,17.8,8.0,4.9,3.0,16.0,3.0,16.0,0.0,0.0,37.0,309.0,
41.0,Daniel Jones,26.0,NYG,QB,6.0,6.0,108.0,160.0,1083.0,6.8,469.0,4.3,2.9,440.0,4.1,5.0,7.0,0.0,6.0,3.9,21.0,13.7,120.0,78.4,2.3,47.0,17.0,17.0,64.0,30.5,20.0,8.0,30.0,198.0,23.0,160.0,6.0,38.0,30.0,262.0,
42.0,Trevor Siemian,32.0,NYJ,QB,5.0,3.0,86.0,153.0,820.0,5.4,254.0,3.0,1.7,470.0,5.5,4.0,8.0,0.0,2.0,1.4,33.0,22.8,97.0,66.9,2.2,46.0,4.0,16.0,28.0,16.8,6.0,5.8,1.0,0.0,1.0,0.0,0.0,0.0,19.0,87.0,
43.0,Nick Mullens,28.0,MIN,QB,5.0,3.0,100.0,148.0,1380.0,9.3,829.0,8.3,5.6,477.0,4.8,4.0,2.0,1.0,1.0,0.7,29.0,20.0,106.0,73.1,2.5,44.0,12.0,25.0,49.0,29.7,5.0,4.0,12.0,93.0,12.0,93.0,0.0,0.0,54.0,534.0,
44.0,Tyson Bagent,23.0,CHI,QB,5.0,4.0,94.0,143.0,835.0,5.8,362.0,3.9,2.5,497.0,5.3,4.0,5.0,0.0,6.0,4.3,19.0,13.8,106.0,76.8,2.6,48.0,11.0,10.0,26.0,16.4,11.0,8.5,15.0,76.0,12.0,73.0,1.0,3.0,21.0,206.0,
45.0,Taylor Heinicke,30.0,ATL,QB,5.0,4.0,74.0,136.0,1137.0,8.4,383.0,5.2,2.8,507.0,6.9,2.0,6.0,2.0,8.0,6.3,31.0,24.2,89.0,69.5,2.5,37.0,9.0,13.0,30.0,19.1,13.0,9.6,18.0,186.0,17.0,185.0,1.0,1.0,31.0,317.0,
46.0,Dorian Thompson-Robinson,24.0,CLE,QB,8.0,3.0,60.0,112.0,662.0,5.9,236.0,3.9,2.1,204.0,3.4,2.0,4.0,2.0,11.0,10.4,21.0,19.8,74.0,69.8,2.4,38.0,7.0,10.0,23.0,18.5,6.0,7.2,17.0,73.0,13.0,59.0,3.0,14.0,9.0,41.0,
47.0,P.J. Walker,28.0,CLE,QB,6.0,2.0,54.0,111.0,890.0,8.0,276.0,5.1,2.5,398.0,7.4,4.0,3.0,1.0,6.0,5.6,32.0,29.9,61.0,57.0,2.6,29.0,8.0,20.0,39.0,31.0,4.0,4.3,9.0,94.0,5.0,78.0,3.0,16.0,23.0,70.0,
48.0,Mitchell Trubisky,29.0,PIT,QB,5.0,2.0,67.0,107.0,983.0,9.2,358.0,5.3,3.3,274.0,4.1,1.0,1.0,1.0,5.0,4.8,20.0,19.0,82.0,78.1,2.4,18.0,6.0,8.0,21.0,17.2,8.0,6.3,4.0,24.0,3.0,19.0,1.0,5.0,8.0,37.0,
49.0,Anthony Richardson,21.0,IND,QB,4.0,4.0,50.0,84.0,668.0,8.0,280.0,5.6,3.3,297.0,5.9,2.0,3.0,0.0,6.0,7.4,17.0,21.0,60.0,74.1,2.6,24.0,10.0,5.0,22.0,22.0,9.0,4.7,19.0,147.0,11.0,88.0,6.0,59.0,8.0,41.0,
50.0,Tim Boyle,29.0,NYJ,QB,3.0,2.0,48.0,77.0,474.0,6.2,170.0,3.5,2.2,190.0,4.0,1.0,2.0,0.0,4.0,5.3,18.0,24.0,56.0,74.7,2.3,7.0,8.0,6.0,23.0,26.7,0.0,,3.0,45.0,3.0,45.0,0.0,0.0,12.0,53.0,
51.0,Drew Lock,27.0,SEA,QB,4.0,2.0,48.0,76.0,621.0,8.2,238.0,5.0,3.1,305.0,6.4,4.0,1.0,0.0,6.0,8.0,12.0,16.0,54.0,72.0,2.3,14.0,7.0,1.0,14.0,16.5,3.0,5.0,7.0,15.0,7.0,15.0,0.0,0.0,15.0,157.0,
52.0,Mason Rudolph,28.0,PIT,QB,4.0,3.0,55.0,74.0,518.0,7.0,293.0,5.3,4.0,426.0,7.7,1.0,5.0,0.0,0.0,0.0,7.0,10.1,57.0,82.6,2.3,24.0,3.0,3.0,12.0,14.6,2.0,4.5,7.0,71.0,6.0,64.0,1.0,7.0,12.0,72.0,
53.0,Jarrett Stidham,27.0,DEN,QB,3.0,2.0,40.0,66.0,577.0,8.7,162.0,4.1,2.5,334.0,8.4,0.0,4.0,0.0,2.0,3.2,12.0,19.4,43.0,69.4,2.6,18.0,3.0,8.0,18.0,23.7,3.0,3.0,2.0,21.0,2.0,21.0,0.0,0.0,15.0,161.0,
54.0,Andy Dalton,36.0,CAR,QB,3.0,1.0,34.0,58.0,478.0,8.2,233.0,6.9,4.0,128.0,3.8,2.0,1.0,0.0,5.0,8.8,11.0,19.3,39.0,68.4,2.2,14.0,2.0,5.0,10.0,16.1,1.0,10.0,2.0,16.0,1.0,15.0,1.0,1.0,3.0,15.0,
55.0,C.J. Beathard,30.0,JAX,QB,7.0,1.0,40.0,53.0,351.0,6.6,199.0,5.0,3.8,150.0,3.8,1.0,3.0,0.0,2.0,4.0,4.0,8.0,42.0,84.0,2.2,14.0,1.0,5.0,12.0,19.0,4.0,9.5,1.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,
56.0,Case Keenum,35.0,HOU,QB,2.0,2.0,34.0,53.0,389.0,7.3,151.0,4.4,2.8,140.0,4.1,0.0,2.0,0.0,2.0,3.9,7.0,13.7,37.0,72.5,2.5,16.0,1.0,5.0,12.0,20.3,0.0,,7.0,26.0,7.0,26.0,0.0,0.0,5.0,21.0,
57.0,Jameis Winston,29.0,NOR,QB,7.0,0.0,25.0,47.0,603.0,12.8,179.0,7.2,3.8,85.0,3.4,0.0,1.0,0.0,3.0,6.5,10.0,21.7,35.0,76.1,2.1,19.0,3.0,2.0,7.0,14.3,0.0,,1.0,11.0,1.0,11.0,0.0,0.0,1.0,11.0,
58.0,Sam Darnold,26.0,SFO,QB,10.0,1.0,28.0,46.0,371.0,8.1,142.0,5.1,3.1,155.0,5.5,0.0,0.0,1.0,0.0,0.0,12.0,26.7,31.0,68.9,2.9,8.0,1.0,2.0,9.0,16.4,3.0,5.0,4.0,26.0,4.0,26.0,0.0,0.0,6.0,17.0,
59.0,Brian Hoyer,38.0,LVR,QB,3.0,1.0,23.0,42.0,344.0,8.2,151.0,6.6,3.6,80.0,3.5,1.0,0.0,0.0,1.0,2.4,10.0,23.8,24.0,57.1,2.1,14.0,1.0,1.0,3.0,7.0,0.0,,1.0,6.0,1.0,6.0,0.0,0.0,8.0,72.0,
60.0,Davis Mills,25.0,HOU,QB,6.0,0.0,18.0,39.0,305.0,7.8,99.0,5.5,2.5,74.0,4.1,1.0,1.0,0.0,4.0,10.5,8.0,21.1,24.0,63.2,2.4,7.0,2.0,1.0,5.0,11.9,1.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,8.0,
61.0,Brett Rypien,27.0,LAR,QB,2.0,1.0,18.0,38.0,323.0,8.5,88.0,4.9,2.3,84.0,4.7,4.0,1.0,0.0,2.0,5.4,6.0,16.2,27.0,73.0,2.4,8.0,2.0,4.0,8.0,18.6,3.0,6.3,1.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,
62.0,Tyler Huntley,25.0,BAL,QB,5.0,1.0,21.0,37.0,249.0,6.7,125.0,6.0,3.4,78.0,3.7,1.0,2.0,0.0,4.0,11.4,7.0,20.0,21.0,60.0,2.8,11.0,0.0,1.0,5.0,10.2,8.0,5.9,4.0,18.0,4.0,18.0,0.0,0.0,2.0,7.0,
63.0,Blaine Gabbert,34.0,KAN,QB,2.0,1.0,18.0,35.0,189.0,5.4,67.0,3.7,1.9,118.0,6.6,2.0,1.0,0.0,5.0,14.7,6.0,17.6,23.0,67.6,1.9,10.0,0.0,10.0,11.0,27.5,4.0,11.8,4.0,21.0,4.0,21.0,0.0,0.0,6.0,45.0,
64.0,Jeff Driskel,30.0,CLE,QB,1.0,1.0,13.0,26.0,232.0,8.9,92.0,7.1,3.5,74.0,5.7,2.0,1.0,0.0,4.0,16.0,4.0,16.0,18.0,72.0,2.4,3.0,0.0,5.0,8.0,25.0,3.0,8.7,2.0,7.0,1.0,7.0,0.0,0.0,5.0,20.0,
65.0,Cooper Rush,30.0,DAL,QB,7.0,0.0,18.0,24.0,215.0,9.0,64.0,3.6,2.7,80.0,4.4,0.0,0.0,0.0,0.0,0.0,6.0,25.0,18.0,75.0,2.0,12.0,0.0,0.0,1.0,4.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,7.0,81.0,
66.0,Carson Wentz,31.0,LAR,QB,2.0,1.0,17.0,24.0,159.0,6.6,98.0,5.8,4.1,65.0,3.8,0.0,0.0,0.0,1.0,4.2,6.0,25.0,18.0,75.0,2.4,6.0,0.0,1.0,3.0,10.0,4.0,2.8,1.0,7.0,1.0,7.0,0.0,0.0,4.0,18.0,
67.0,Jacoby Brissett,31.0,WAS,QB,3.0,0.0,18.0,23.0,178.0,7.7,154.0,8.6,6.7,70.0,3.9,0.0,1.0,0.0,1.0,4.5,1.0,4.5,19.0,86.4,2.5,2.0,0.0,2.0,2.0,8.0,2.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,
68.0,Marcus Mariota,30.0,PHI,QB,3.0,0.0,15.0,23.0,178.0,7.7,92.0,6.1,4.0,72.0,4.8,2.0,0.0,0.0,0.0,0.0,2.0,8.7,18.0,78.3,2.4,9.0,2.0,1.0,6.0,21.4,2.0,8.5,6.0,38.0,6.0,38.0,0.0,0.0,0.0,0.0,
69.0,Clayton Tune,24.0,ARI,QB,7.0,1.0,12.0,21.0,53.0,2.5,19.0,1.6,0.9,43.0,3.6,3.0,0.0,0.0,1.0,4.8,2.0,9.5,15.0,71.4,2.2,4.0,1.0,3.0,11.0,33.3,5.0,5.6,1.0,2.0,1.0,2.0,0.0,0.0,5.0,28.0,
70.0,Jaren Hall,25.0,MIN,QB,3.0,2.0,13.0,20.0,156.0,7.8,69.0,5.3,3.5,99.0,7.6,0.0,1.0,0.0,0.0,0.0,5.0,26.3,14.0,73.7,2.7,9.0,1.0,2.0,7.0,25.9,3.0,5.3,1.0,17.0,1.0,17.0,0.0,0.0,5.0,46.0,
71.0,Taysom Hill,33.0,NOR,TE/QB,16.0,7.0,6.0,11.0,126.0,11.5,65.0,10.8,5.9,18.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,27.3,7.0,63.6,2.6,9.0,0.0,0.0,2.0,11.8,4.0,9.3,20.0,130.0,2.0,0.0,17.0,130.0,3.0,14.0,
72.0,Mike White,28.0,MIA,QB,6.0,0.0,5.0,6.0,23.0,3.8,23.0,4.6,3.8,51.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,83.3,1.7,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
73.0,A.J. McCarron,33.0,CIN,QB,2.0,0.0,4.0,5.0,-8.0,-1.6,-1.0,-0.3,-0.2,20.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,4.0,80.0,2.3,3.0,0.0,0.0,1.0,16.7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
74.0,Malik Willis,24.0,TEN,QB,3.0,0.0,4.0,5.0,39.0,7.8,19.0,4.8,3.8,55.0,13.8,0.0,0.0,0.0,0.0,0.0,1.0,20.0,4.0,80.0,2.8,0.0,0.0,0.0,4.0,33.3,3.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,
