Player,Team,Age,Games,Completions,Attempts,Yards,Touchdowns,Interceptions,Passer Rating,Rush Attempts,Rush Yards,Rush TDs,QB Cluster,QB Style
Devin Singletary,HOU,26.0,17.0,1.0,1.0,6.0,1.0,0.0,131.2,0.0,0.0,0.0,1,Pocket Passer
Dyami Brown,WAS,24.0,17.0,1.0,1.0,4.0,0.0,0.0,83.3,0.0,0.0,0.0,1,Pocket Passer
Jerick McKinnon,KAN,31.0,12.0,1.0,1.0,4.0,1.0,0.0,122.9,0.0,0.0,0.0,1,Pocket Passer
De'Von Achane,MIA,22.0,11.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,Pocket Passer
Cam Akers,MIN,24.0,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,Pocket Passer
Tyler Boyd,CIN,29.0,17.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,Pocket Passer
Parris Campbell,NYG,26.0,12.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,Pocket Passer
Malik Cunningham,NWE,25.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,Pocket Passer
DeeJay Dallas,SEA,25.0,17.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,Pocket Passer
Tank Dell,HOU,24.0,11.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,Pocket Passer
Chris Godwin,TAM,27.0,17.0,0.0,1.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,1,Pocket Passer
Connor Heyward,PIT,24.0,17.0,0.0,1.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,1,Pocket Passer
DeAndre Hopkins,TEN,31.0,17.0,0.0,1.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,1,Pocket Passer
Tanner Hudson,CIN,29.0,12.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,Pocket Passer
Josh Jacobs,LVR,25.0,13.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,Pocket Passer
Justin Jefferson,MIN,24.0,10.0,0.0,1.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,1,Pocket Passer
Nathan Peterman,CHI,29.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,-4.0,0.0,1,Pocket Passer
Aaron Rodgers,NYJ,40.0,1.0,0.0,1.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,1,Pocket Passer
Deebo Samuel,SFO,27.0,15.0,0.0,1.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,1,Pocket Passer
Jonnu Smith,ATL,28.0,17.0,0.0,1.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,1,Pocket Passer
Amon-Ra St. Brown,DET,24.0,16.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,Pocket Passer
Kadarius Toney,KAN,24.0,13.0,0.0,1.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,1,Pocket Passer
Kyle Trask,TAM,25.0,2.0,0.0,1.0,0.0,0.0,0.0,39.6,1.0,-1.0,0.0,1,Pocket Passer
Cedrick Wilson Jr.,MIA,28.0,15.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,Pocket Passer
Garrett Wilson,NYJ,23.0,17.0,0.0,1.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,1,Pocket Passer
Christian Kirk,JAX,27.0,12.0,1.0,2.0,-1.0,0.0,0.0,56.2,0.0,0.0,0.0,1,Pocket Passer
Ja'Marr Chase,CIN,23.0,16.0,1.0,1.0,-7.0,0.0,0.0,79.2,0.0,0.0,0.0,1,Pocket Passer
