rush_rk,player,rush_age,rush_g,rush_gs,rush_att,rush_yds,rush_td,rush_1d,rush_succ%,rush_lng,rush_y/a,rush_y/g,rush_a/g,rush_fmb,rush_awards,rec_rk,rec_age,rec_g,rec_gs,rec_tgt,rec_rec,rec_yds,rec_y/r,rec_td,rec_1d,rec_succ%,rec_lng,rec_r/g,rec_y/g,rec_ctch%,rec_y/tgt,rec_fmb,rec_awards
396.0,A.J. Brown,23.0,14.0,12.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,PB,32.0,23.0,14.0,12.0,106.0,70.0,1075.0,15.4,11.0,55.0,61.3,73.0,5.0,76.8,66.0,10.1,2.0,PB
469.0,A.J. Green,32.0,16.0,14.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,88.0,32.0,16.0,14.0,104.0,47.0,523.0,11.1,2.0,34.0,40.4,33.0,2.9,32.7,45.2,5.0,0.0,
495.0,Adam Humphries,27.0,7.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,187.0,27.0,7.0,1.0,35.0,23.0,228.0,9.9,2.0,11.0,54.3,23.0,3.3,32.6,65.7,6.5,0.0,
257.0,Adam Thielen,30.0,15.0,15.0,3.0,15.0,0.0,0.0,66.7,8.0,5.0,1.0,0.2,0.0,,28.0,30.0,15.0,15.0,108.0,74.0,925.0,12.5,14.0,52.0,62.0,51.0,4.9,61.7,68.5,8.6,0.0,
214.0,Alex Erickson,28.0,16.0,2.0,5.0,7.0,0.0,0.0,20.0,7.0,1.4,0.4,0.3,2.0,,270.0,28.0,16.0,2.0,17.0,12.0,139.0,11.6,0.0,5.0,52.9,42.0,0.8,8.7,70.6,8.2,2.0,
280.0,Allen Lazard,25.0,10.0,9.0,2.0,17.0,0.0,1.0,50.0,19.0,8.5,1.7,0.2,0.0,,136.0,25.0,10.0,9.0,46.0,33.0,451.0,13.7,3.0,23.0,69.6,72.0,3.3,45.1,71.7,9.8,0.0,
352.0,Allen Robinson,27.0,16.0,16.0,1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-0.1,0.1,0.0,,6.0,27.0,16.0,16.0,151.0,102.0,1250.0,12.3,6.0,68.0,58.3,42.0,6.4,78.1,67.5,8.3,0.0,
503.0,Alshon Jeffery,30.0,7.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,348.0,30.0,7.0,2.0,13.0,6.0,115.0,19.2,1.0,5.0,38.5,39.0,0.9,16.4,46.2,8.8,0.0,
198.0,Amari Cooper,26.0,16.0,15.0,6.0,14.0,0.0,1.0,66.7,10.0,2.3,0.9,0.4,0.0,,11.0,26.0,16.0,15.0,130.0,92.0,1114.0,12.1,5.0,54.0,63.1,69.0,5.8,69.6,70.8,8.6,0.0,
351.0,Andre Roberts,32.0,15.0,0.0,1.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,-0.2,0.1,3.0,"PB,AP-2",386.0,32.0,15.0,0.0,5.0,4.0,34.0,8.5,0.0,2.0,60.0,16.0,0.3,2.3,80.0,6.8,3.0,"PB,AP-2"
327.0,Andy Isabella,24.0,13.0,2.0,1.0,-6.0,0.0,0.0,0.0,-6.0,-6.0,-0.5,0.1,1.0,,196.0,24.0,13.0,2.0,35.0,21.0,224.0,10.7,2.0,10.0,40.0,54.0,1.6,17.2,60.0,6.4,1.0,
284.0,Anthony Miller,26.0,16.0,6.0,2.0,12.0,0.0,1.0,50.0,9.0,6.0,0.8,0.1,2.0,,79.0,26.0,16.0,6.0,76.0,49.0,485.0,9.9,2.0,23.0,44.7,34.0,3.1,30.3,64.5,6.4,2.0,
261.0,Antonio Brown,32.0,8.0,4.0,2.0,-2.0,0.0,0.0,0.0,1.0,-1.0,-0.3,0.3,0.0,,94.0,32.0,8.0,4.0,62.0,45.0,483.0,10.7,4.0,27.0,61.3,46.0,5.6,60.4,72.6,7.8,0.0,
407.0,Antonio Callaway,23.0,5.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,419.0,23.0,5.0,1.0,4.0,2.0,20.0,10.0,0.0,1.0,50.0,13.0,0.4,4.0,50.0,5.0,0.0,
315.0,Antonio Gandy-Golden,22.0,6.0,2.0,1.0,22.0,0.0,1.0,100.0,22.0,22.0,3.7,0.2,0.0,,454.0,22.0,6.0,2.0,7.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,0.2,0.5,14.3,0.4,0.0,
268.0,Ashton Dulin,23.0,13.0,0.0,2.0,11.0,0.0,0.0,50.0,8.0,5.5,0.8,0.2,1.0,,393.0,23.0,13.0,0.0,6.0,3.0,53.0,17.7,0.0,2.0,50.0,34.0,0.2,4.1,50.0,8.8,1.0,
591.0,Auden Tate,23.0,9.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,258.0,23.0,9.0,2.0,22.0,14.0,150.0,10.7,0.0,9.0,50.0,19.0,1.6,16.7,63.6,6.8,0.0,
410.0,Austin Carr,27.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,392.0,27.0,6.0,0.0,4.0,3.0,27.0,9.0,1.0,3.0,75.0,11.0,0.5,4.5,75.0,6.8,0.0,
527.0,Austin Mack,23.0,11.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,330.0,23.0,11.0,1.0,11.0,7.0,91.0,13.0,0.0,5.0,54.5,50.0,0.6,8.3,63.6,8.3,0.0,
452.0,Bennie Fowler,29.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,426.0,29.0,5.0,0.0,6.0,2.0,11.0,5.5,0.0,1.0,16.7,7.0,0.4,2.2,33.3,1.8,0.0,
421.0,Brandin Cooks,27.0,15.0,15.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,22.0,27.0,15.0,15.0,119.0,81.0,1150.0,14.2,6.0,51.0,61.3,57.0,5.4,76.7,68.1,9.7,0.0,
194.0,Brandon Aiyuk,22.0,12.0,11.0,6.0,77.0,2.0,3.0,66.7,38.0,12.8,6.4,0.5,0.0,,48.0,22.0,12.0,11.0,96.0,60.0,748.0,12.5,5.0,42.0,57.3,49.0,5.0,62.3,62.5,7.8,0.0,
289.0,Brandon Powell,25.0,15.0,1.0,2.0,7.0,0.0,0.0,0.0,4.0,3.5,0.5,0.1,2.0,,277.0,25.0,15.0,1.0,18.0,12.0,69.0,5.8,2.0,5.0,38.9,13.0,0.8,4.6,66.7,3.8,2.0,
372.0,Brandon Zylstra,27.0,16.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.0,,411.0,27.0,16.0,2.0,4.0,3.0,35.0,11.7,0.0,3.0,50.0,28.0,0.2,2.2,75.0,8.8,0.0,
240.0,Braxton Berrios,25.0,16.0,2.0,3.0,29.0,0.0,1.0,33.3,15.0,9.7,1.8,0.2,0.0,,114.0,25.0,16.0,2.0,55.0,37.0,394.0,10.6,3.0,19.0,49.1,43.0,2.3,24.6,67.3,7.2,0.0,
345.0,Breshad Perriman,27.0,12.0,12.0,1.0,6.0,0.0,0.0,100.0,6.0,6.0,0.5,0.1,0.0,,151.0,27.0,12.0,12.0,60.0,30.0,505.0,16.8,3.0,20.0,36.7,53.0,2.5,42.1,50.0,8.4,0.0,
439.0,Bryan Edwards,22.0,12.0,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,285.0,22.0,12.0,3.0,15.0,11.0,193.0,17.5,1.0,9.0,66.7,34.0,0.9,16.1,73.3,12.9,0.0,
