rush_rk,player,rush_age,rush_g,rush_gs,rush_att,rush_yds,rush_td,rush_1d,rush_succ%,rush_lng,rush_y/a,rush_y/g,rush_a/g,rush_fmb,rush_awards,rec_rk,rec_age,rec_g,rec_gs,rec_tgt,rec_rec,rec_yds,rec_y/r,rec_td,rec_1d,rec_succ%,rec_lng,rec_r/g,rec_y/g,rec_ctch%,rec_y/tgt,rec_fmb,rec_awards
390.0,A.J. Brown,25.0,17.0,16.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,"PB,AP-2,AP MVP-9,AP OPoY-11",13.0,25.0,17.0,16.0,145.0,88.0,1496.0,17.0,11.0,59.0,51.7,78.0,5.2,88.0,60.7,10.3,2.0,"PB,AP-2,AP MVP-9,AP OPoY-11"
446.0,A.J. Green,34.0,15.0,10.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,177.0,34.0,15.0,10.0,47.0,24.0,236.0,9.8,2.0,11.0,36.2,77.0,1.6,15.7,51.1,5.0,0.0,
362.0,Adam Thielen,32.0,17.0,17.0,1.0,4.0,0.0,0.0,100.0,4.0,4.0,0.2,0.1,0.0,,37.0,32.0,17.0,17.0,107.0,70.0,716.0,10.2,6.0,45.0,49.5,36.0,4.1,42.1,65.4,6.7,0.0,
527.0,Alec Pierce,22.0,16.0,12.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,103.0,22.0,16.0,12.0,78.0,41.0,593.0,14.5,2.0,28.0,46.2,47.0,2.6,37.1,52.6,7.6,1.0,
302.0,Allen Lazard,27.0,15.0,15.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,0.0,,52.0,27.0,15.0,15.0,100.0,60.0,788.0,13.1,6.0,45.0,55.0,47.0,4.0,52.5,60.0,7.9,0.0,
536.0,Allen Robinson,29.0,10.0,10.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,135.0,29.0,10.0,10.0,52.0,33.0,339.0,10.3,3.0,23.0,53.8,29.0,3.3,33.9,63.5,6.5,0.0,
409.0,Amari Cooper,28.0,17.0,17.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,23.0,28.0,17.0,17.0,132.0,78.0,1160.0,14.9,9.0,61.0,53.0,55.0,4.6,68.2,59.1,8.8,0.0,
311.0,Amari Rodgers,23.0,16.0,1.0,2.0,7.0,0.0,0.0,50.0,4.0,3.5,0.4,0.1,6.0,,232.0,23.0,16.0,1.0,25.0,16.0,204.0,12.8,1.0,12.0,48.0,37.0,1.0,12.8,64.0,8.2,6.0,
311.0,Amari Rodgers,23.0,16.0,1.0,2.0,7.0,0.0,0.0,50.0,4.0,3.5,0.4,0.1,6.0,,232.0,23.0,10.0,0.0,8.0,4.0,50.0,12.5,0.0,3.0,37.5,22.0,0.4,5.0,50.0,6.3,5.0,
311.0,Amari Rodgers,23.0,16.0,1.0,2.0,7.0,0.0,0.0,50.0,4.0,3.5,0.4,0.1,6.0,,232.0,23.0,6.0,1.0,17.0,12.0,154.0,12.8,1.0,9.0,52.9,37.0,2.0,25.7,70.6,9.1,1.0,
