rush_rk,player,rush_age,rush_g,rush_gs,rush_att,rush_yds,rush_td,rush_1d,rush_succ%,rush_lng,rush_y/a,rush_y/g,rush_a/g,rush_fmb,rush_awards,rec_rk,rec_age,rec_g,rec_gs,rec_tgt,rec_rec,rec_yds,rec_y/r,rec_td,rec_1d,rec_succ%,rec_lng,rec_r/g,rec_y/g,rec_ctch%,rec_y/tgt,rec_fmb,rec_awards
46.0,Cam Akers,25.0,12.0,0.0,64.0,297.0,1.0,16.0,43.8,58.0,4.6,24.8,5.3,0.0,,240.0,25.0,17.0,2.0,18.0,14.0,68.0,4.9,3.0,4.0,33.3,9.0,0.8,4.0,77.8,3.8,1.0,AP CPoY-19
46.0,Cam Akers,25.0,12.0,0.0,64.0,297.0,1.0,16.0,43.8,58.0,4.6,24.8,5.3,0.0,,240.0,25.0,5.0,2.0,7.0,4.0,16.0,4.0,1.0,1.0,14.3,8.0,0.8,3.2,57.1,2.3,1.0,
46.0,Cam Akers,25.0,12.0,0.0,64.0,297.0,1.0,16.0,43.8,58.0,4.6,24.8,5.3,0.0,,240.0,25.0,12.0,0.0,11.0,10.0,52.0,5.2,2.0,3.0,45.5,9.0,0.8,4.3,90.9,4.7,0.0,
80.0,Carson Steele,22.0,17.0,3.0,56.0,183.0,0.0,14.0,55.4,9.0,3.3,10.8,3.3,3.0,,316.0,22.0,17.0,3.0,11.0,7.0,26.0,3.7,0.0,0.0,18.2,9.0,0.4,1.5,63.6,2.4,3.0,
16.0,Chase Brown,24.0,16.0,10.0,229.0,990.0,7.0,49.0,52.4,40.0,4.3,61.9,14.3,2.0,,65.0,24.0,16.0,10.0,65.0,54.0,360.0,6.7,4.0,23.0,52.3,34.0,3.4,22.5,83.1,5.5,2.0,
103.0,Chris Brooks,24.0,15.0,0.0,36.0,183.0,1.0,12.0,55.6,23.0,5.1,12.2,2.4,0.0,,264.0,24.0,15.0,0.0,13.0,11.0,69.0,6.3,0.0,2.0,46.2,15.0,0.7,4.6,84.6,5.3,0.0,
203.0,Chris Collier,24.0,3.0,0.0,5.0,12.0,0.0,0.0,20.0,4.0,2.4,4.0,1.7,0.0,,415.0,24.0,3.0,0.0,2.0,1.0,-4.0,-4.0,0.0,0.0,0.0,-4.0,0.3,-1.3,50.0,-2.0,0.0,
107.0,Chris Rodriguez,24.0,9.0,0.0,35.0,173.0,2.0,10.0,74.3,25.0,4.9,19.2,3.9,0.0,,452.0,24.0,9.0,0.0,1.0,1.0,12.0,12.0,0.0,1.0,100.0,12.0,0.1,1.3,100.0,12.0,0.0,
87.0,Christian McCaffrey,28.0,4.0,4.0,50.0,202.0,0.0,12.0,44.0,19.0,4.0,50.5,12.5,1.0,,232.0,28.0,4.0,4.0,19.0,15.0,146.0,9.7,0.0,6.0,52.6,30.0,3.8,36.5,78.9,7.7,1.0,
12.0,Chuba Hubbard,25.0,15.0,15.0,250.0,1195.0,10.0,62.0,54.8,38.0,4.8,79.7,16.7,4.0,,101.0,25.0,15.0,15.0,54.0,43.0,171.0,4.0,1.0,10.0,31.5,20.0,2.9,11.4,79.6,3.2,4.0,
157.0,Clyde Edwards-Helaire,25.0,2.0,0.0,13.0,46.0,0.0,2.0,46.2,12.0,3.5,23.0,6.5,0.0,,371.0,25.0,2.0,0.0,5.0,3.0,24.0,8.0,0.0,1.0,20.0,14.0,1.5,12.0,60.0,4.8,0.0,
