Player,Games Missed,Touches Per Game
Deshaun Watson,1.0,40.0
Patrick Mahomes,2.0,43.0
Tom Brady,1.0,40.0
Matt Ryan,1.0,41.0
Josh Allen,1.0,42.0
Justin Herbert,2.0,43.0
Aaron Rodgers,1.0,35.0
Kirk Cousins,1.0,34.0
Russell Wilson,1.0,40.0
Philip Rivers,1.0,35.0
Derek Carr,1.0,35.0
Matthew Stafford,1.0,35.0
Kyler Murray,1.0,43.0
Jared Goff,2.0,40.0
Ryan Tannehill,1.0,33.0
Ben Roethlisberger,2.0,42.0
Teddy Bridgewater,2.0,36.0
Baker Mayfield,1.0,34.0
Daniel Jones,3.0,37.0
Drew Brees,5.0,34.0
Drew Lock,4.0,37.0
Lamar Jackson,2.0,36.0
Joe Burrow,7.0,44.0
Cam Newton,2.0,34.0
Carson Wentz,5.0,41.0
Nick Mullens,7.0,34.0
Gardner Minshew II,8.0,40.0
Sam Darnold,5.0,33.0
Andy Dalton,6.0,33.0
Ryan Fitzpatrick,8.0,33.0
Mitchell Trubisky,7.0,33.0
Dak Prescott,12.0,48.0
Nick Foles,8.0,36.0
Tua Tagovailoa,7.0,33.0
Alex Smith,9.0,33.0
Dwayne Haskins,10.0,37.0
Jimmy Garoppolo,11.0,25.0
Mike Glennon,12.0,37.0
Jalen Hurts,2.0,14.0
Brandon Allen,12.0,31.0
Joe Flacco,12.0,28.0
C.J. Beathard,11.0,18.0
Jake Luton,14.0,37.0
Kyle Allen,13.0,24.0
Jeff Driskel,14.0,23.0
Colt McCoy,13.0,19.0
P.J. Walker,13.0,15.0
Mason Rudolph,12.0,10.0
Brett Rypien,14.0,15.0
Chase Daniel,13.0,11.0
