Player,Tm,Age,Pos,Games,Games Started,Completions,Pass Atts,Pass Yards,Pass TDs,Interceptions,Passer Rating,Rush Atts,Rush Yards,Rush TDs
Baker Mayfield,,26.0,QB,14.0,14.0,253.0,418.0,3010.0,17.0,13.0,83.1,37.0,134.0,1.0
Lamar Jackson,,24.0,QB,12.0,12.0,246.0,382.0,2882.0,16.0,13.0,87.0,133.0,767.0,2.0
Davis Mills,,23.0,QB,13.0,11.0,263.0,394.0,2664.0,16.0,10.0,88.8,18.0,44.0,0.0
Tua Tagovailoa,,23.0,QB,13.0,12.0,263.0,388.0,2653.0,16.0,10.0,90.1,42.0,128.0,3.0
Sam Darnold,,24.0,QB,12.0,11.0,243.0,406.0,2527.0,9.0,13.0,71.9,48.0,222.0,5.0
Daniel Jones,,24.0,QB,11.0,11.0,232.0,361.0,2428.0,10.0,7.0,84.8,62.0,298.0,2.0
Zach Wilson,,22.0,QB,13.0,13.0,213.0,383.0,2334.0,9.0,11.0,69.7,29.0,185.0,4.0
Justin Fields,,22.0,QB,12.0,10.0,159.0,270.0,1870.0,7.0,10.0,73.2,72.0,420.0,2.0
Andy Dalton,,34.0,QB,8.0,6.0,149.0,236.0,1515.0,8.0,9.0,76.9,16.0,76.0,0.0
Jacoby Brissett,,29.0,QB,11.0,5.0,141.0,225.0,1283.0,5.0,4.0,78.1,19.0,70.0,1.0
Jameis Winston,,27.0,QB,7.0,7.0,95.0,161.0,1170.0,14.0,3.0,102.8,32.0,166.0,1.0
Trevor Siemian,,30.0,QB,6.0,4.0,108.0,188.0,1154.0,11.0,3.0,88.4,9.0,20.0,1.0
Tyler Huntley,,23.0,QB,7.0,4.0,122.0,188.0,1081.0,3.0,4.0,76.6,47.0,294.0,2.0
Tyrod Taylor,,32.0,QB,6.0,6.0,91.0,150.0,966.0,5.0,5.0,76.7,19.0,151.0,3.0
Mike White,,26.0,QB,4.0,3.0,88.0,132.0,953.0,5.0,8.0,75.1,5.0,-1.0,0.0
Mike Glennon,,32.0,QB,6.0,4.0,90.0,167.0,790.0,4.0,10.0,49.7,7.0,33.0,1.0
Drew Lock,,25.0,QB,6.0,3.0,67.0,111.0,787.0,2.0,2.0,80.4,10.0,53.0,2.0
Colt McCoy,,35.0,QB,8.0,3.0,74.0,99.0,740.0,3.0,1.0,101.4,22.0,37.0,0.0
Geno Smith,,31.0,QB,4.0,3.0,65.0,95.0,702.0,5.0,1.0,103.0,9.0,42.0,1.0
Cam Newton,,32.0,QB,8.0,5.0,69.0,126.0,684.0,4.0,5.0,64.4,47.0,230.0,5.0
Josh Johnson,,35.0,QB,4.0,1.0,57.0,85.0,638.0,5.0,2.0,99.0,4.0,18.0,0.0
Josh Johnson,,35.0,QB,4.0,1.0,57.0,85.0,638.0,5.0,2.0,99.0,5.0,10.0,0.0
Josh Johnson,,35.0,QB,4.0,1.0,57.0,85.0,638.0,5.0,2.0,99.0,9.0,28.0,0.0
Trey Lance,,21.0,QB,6.0,2.0,41.0,71.0,603.0,5.0,2.0,97.3,38.0,168.0,1.0
Tim Boyle,,27.0,QB,5.0,3.0,61.0,94.0,526.0,3.0,6.0,63.5,2.0,13.0,0.0
Case Keenum,,33.0,QB,7.0,2.0,47.0,72.0,462.0,3.0,1.0,91.3,12.0,22.0,0.0
Gardner Minshew II,,25.0,QB,4.0,2.0,41.0,60.0,439.0,4.0,1.0,104.8,9.0,21.0,0.0
