Player,Tm,Age,Pos,Games,Games Started,Completions,Pass Atts,Pass Yards,Pass TDs,Interceptions,Passer Rating,Rush Atts,Rush Yards,Rush TDs
Tom Brady,,44.0,QB,17.0,17.0,485.0,719.0,5316.0,43.0,12.0,102.1,28.0,81.0,2.0
Justin Herbert,,23.0,QB,17.0,17.0,443.0,672.0,5014.0,38.0,15.0,97.7,63.0,302.0,3.0
Matthew Stafford,,33.0,QB,17.0,17.0,404.0,601.0,4886.0,41.0,17.0,102.9,32.0,43.0,0.0
Patrick Mahomes,,26.0,QB,17.0,17.0,436.0,658.0,4839.0,37.0,13.0,98.5,66.0,381.0,2.0
Derek Carr,,30.0,QB,17.0,17.0,428.0,626.0,4804.0,23.0,14.0,94.0,40.0,108.0,0.0
Joe Burrow,,25.0,QB,16.0,16.0,366.0,520.0,4611.0,34.0,14.0,108.3,40.0,118.0,2.0
Dak Prescott,,28.0,QB,16.0,16.0,410.0,596.0,4449.0,37.0,10.0,104.2,48.0,146.0,1.0
Josh Allen,,25.0,QB,17.0,17.0,409.0,646.0,4407.0,36.0,15.0,92.2,122.0,763.0,6.0
Kirk Cousins,,33.0,QB,16.0,16.0,372.0,561.0,4221.0,33.0,7.0,103.1,29.0,115.0,1.0
Aaron Rodgers,,38.0,QB,16.0,16.0,366.0,531.0,4115.0,37.0,4.0,111.9,33.0,101.0,3.0
Matt Ryan,,36.0,QB,17.0,17.0,375.0,560.0,3968.0,20.0,12.0,90.4,40.0,82.0,1.0
Jimmy Garoppolo,,30.0,QB,15.0,15.0,301.0,441.0,3810.0,20.0,12.0,98.7,38.0,51.0,3.0
Mac Jones,,23.0,QB,17.0,17.0,352.0,521.0,3801.0,22.0,13.0,92.5,44.0,129.0,0.0
Kyler Murray,,24.0,QB,14.0,14.0,333.0,481.0,3787.0,24.0,10.0,100.6,88.0,423.0,5.0
Ben Roethlisberger,,39.0,QB,16.0,16.0,390.0,605.0,3740.0,22.0,10.0,86.8,20.0,5.0,1.0
Ryan Tannehill,,33.0,QB,17.0,17.0,357.0,531.0,3734.0,21.0,14.0,89.6,55.0,270.0,7.0
Trevor Lawrence,,22.0,QB,17.0,17.0,359.0,602.0,3641.0,12.0,17.0,71.9,73.0,334.0,2.0
Carson Wentz,,29.0,QB,17.0,17.0,322.0,516.0,3563.0,27.0,7.0,94.6,57.0,215.0,1.0
Taylor Heinicke,,28.0,QB,16.0,15.0,321.0,494.0,3419.0,20.0,15.0,85.9,60.0,313.0,1.0
Jared Goff,,27.0,QB,14.0,14.0,332.0,494.0,3245.0,19.0,8.0,91.5,17.0,87.0,0.0
Jalen Hurts,,23.0,QB,15.0,15.0,265.0,432.0,3144.0,16.0,9.0,87.2,139.0,784.0,10.0
Russell Wilson,,33.0,QB,14.0,14.0,259.0,400.0,3113.0,25.0,6.0,103.1,43.0,183.0,2.0
Teddy Bridgewater,,29.0,QB,14.0,14.0,285.0,426.0,3052.0,18.0,7.0,94.9,30.0,106.0,2.0
