rush_rk,player,rush_age,rush_g,rush_gs,rush_att,rush_yds,rush_td,rush_1d,rush_succ%,rush_lng,rush_y/a,rush_y/g,rush_a/g,rush_fmb,rush_awards,rec_rk,rec_age,rec_g,rec_gs,rec_tgt,rec_rec,rec_yds,rec_y/r,rec_td,rec_1d,rec_succ%,rec_lng,rec_r/g,rec_y/g,rec_ctch%,rec_y/tgt,rec_fmb,rec_awards
20.0,AJ Dillon,23.0,17.0,2.0,187.0,803.0,5.0,50.0,61.0,36.0,4.3,47.2,11.0,2.0,,136.0,23.0,17.0,2.0,37.0,34.0,313.0,9.2,2.0,15.0,62.2,50.0,2.0,18.4,91.9,8.5,2.0,
24.0,Aaron Jones,27.0,15.0,15.0,171.0,799.0,4.0,37.0,49.7,57.0,4.7,53.3,11.4,2.0,,67.0,27.0,15.0,15.0,65.0,52.0,391.0,7.5,6.0,22.0,50.8,26.0,3.5,26.1,80.0,6.0,2.0,
111.0,Adrian Peterson,36.0,4.0,3.0,38.0,98.0,2.0,6.0,42.1,16.0,2.6,24.5,9.5,1.0,,382.0,36.0,4.0,3.0,4.0,4.0,8.0,2.0,0.0,0.0,25.0,5.0,1.0,2.0,100.0,2.0,1.0,
111.0,Adrian Peterson,36.0,4.0,3.0,38.0,98.0,2.0,6.0,42.1,16.0,2.6,24.5,9.5,1.0,,382.0,36.0,3.0,2.0,4.0,4.0,8.0,2.0,0.0,0.0,25.0,5.0,1.3,2.7,100.0,2.0,0.0,
111.0,Adrian Peterson,36.0,4.0,3.0,38.0,98.0,2.0,6.0,42.1,16.0,2.6,24.5,9.5,1.0,,382.0,36.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,1.0,
111.0,Adrian Peterson,36.0,3.0,2.0,27.0,82.0,1.0,4.0,44.4,16.0,3.0,27.3,9.0,0.0,,382.0,36.0,4.0,3.0,4.0,4.0,8.0,2.0,0.0,0.0,25.0,5.0,1.0,2.0,100.0,2.0,1.0,
111.0,Adrian Peterson,36.0,3.0,2.0,27.0,82.0,1.0,4.0,44.4,16.0,3.0,27.3,9.0,0.0,,382.0,36.0,3.0,2.0,4.0,4.0,8.0,2.0,0.0,0.0,25.0,5.0,1.3,2.7,100.0,2.0,0.0,
111.0,Adrian Peterson,36.0,3.0,2.0,27.0,82.0,1.0,4.0,44.4,16.0,3.0,27.3,9.0,0.0,,382.0,36.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,1.0,
111.0,Adrian Peterson,36.0,1.0,1.0,11.0,16.0,1.0,2.0,36.4,7.0,1.5,16.0,11.0,1.0,,382.0,36.0,4.0,3.0,4.0,4.0,8.0,2.0,0.0,0.0,25.0,5.0,1.0,2.0,100.0,2.0,1.0,
111.0,Adrian Peterson,36.0,1.0,1.0,11.0,16.0,1.0,2.0,36.4,7.0,1.5,16.0,11.0,1.0,,382.0,36.0,3.0,2.0,4.0,4.0,8.0,2.0,0.0,0.0,25.0,5.0,1.3,2.7,100.0,2.0,0.0,
