player,predicted_rec_yds,predicted_rec_tds,predicted_receptions,predicted_fantasy_points,potential_score,avg_fantasy,std_fantasy,games_played,consistency_score,prior_stat_score,final_grade,grade_label
Christian Watson,619.7,2.0,28.54,109.69399999999996,28.38071041036559,64.66666666666667,27.610384519838426,3.0,57.30352975328805,38.54942871336314,39.2,Risky
Cody White,165.15,5.985602092352092,24.94,74.83099999999996,19.360739335953355,,,,,,20.2,Risky
Collin Johnson,183.08,1.1442857142857144,25.21,72.42799999999997,18.739020307418443,,,,,,20.0,Risky
Cooper Kupp,710.33,6.0,66.99,173.18499999999992,44.807494780199136,132.0,61.806148561449774,5.0,53.17716053543835,78.68852459016394,58.8,Depth
Courtland Sutton,1080.31,8.0,80.89,239.77699999999976,62.036589057434554,98.5,29.827280577797683,4.0,69.71849718275874,58.71833084947839,62.8,Flex
Curtis Samuel,266.46,1.03,28.72,87.96099999999997,22.75781417767761,97.66666666666667,8.144527815247079,3.0,91.66089310731466,58.22155986090413,52.4,Depth
D'Wayne Eskridge,164.92,5.109976190476192,25.12,72.99599999999998,18.885976781911925,,,,,,20.1,Risky
D.J. Moore,965.71,6.0,97.99,233.15699999999973,60.32382169626055,119.2,23.594490882407275,5.0,80.20596419088346,71.05812220566318,69.1,Flex
D.K. Metcalf,991.56,5.0,65.83,195.7396666666669,50.64297769694027,125.2,21.04043725781382,5.0,83.19453906568754,74.63487332339791,67.2,Flex
DJ Chark,152.87,1.2733333333333332,25.06,70.45599999999996,18.228812265691083,65.33333333333333,17.502380790433435,3.0,73.21064205733695,38.94684550422255,39.2,Risky
DJ Turner,183.99,1.17,24.99,80.02399999999994,20.704304427581228,,,,,,20.8,Risky
Dan Chisena,165.35,4.79,25.18,73.76499999999999,19.0849372200906,,,,,,20.1,Risky
Dante Pettis,178.21,1.2842857142857145,25.0,72.61199999999997,18.78662592591633,,,,,,20.0,Risky
Dareke Young,194.35,1.1242857142857143,25.38,69.62399999999998,18.01355207770064,,,,,,19.7,Risky
Darius Slayton,572.88,2.0,38.83,108.37099999999997,28.038415664318283,62.75,10.242883708539635,4.0,83.67667960907342,37.40685543964232,45.2,Depth
Darnell Mooney,991.89,5.0,63.98,195.33800000000025,50.53905601163239,85.5,24.79919353527449,4.0,70.99509561961936,50.96870342771982,55.8,Depth
Davante Adams,1063.0,7.491770923520923,75.71547402597403,227.38018181818163,58.82920755226439,147.3,39.22031786374676,10.0,73.37385091820417,87.80923994038749,72.6,Starter
Davante Adams,209.0,7.474709235209238,75.47926623376624,141.26548917748906,36.54908143859238,147.3,39.22031786374676,10.0,73.37385091820417,87.80923994038749,63.7,Flex
Davante Adams,854.0,7.470102702852702,75.50470579420579,205.69579820179828,53.21888965115903,147.3,39.22031786374676,10.0,73.37385091820417,87.80923994038749,70.4,Starter
Davante Adams,1063.0,7.507953823953823,76.14316883116884,227.47489177489163,58.85371149828118,147.3,39.22031786374676,10.0,73.37385091820417,87.80923994038749,72.6,Starter
Davante Adams,209.0,7.515987012987014,76.22776623376623,142.28368831168814,36.812516218687826,147.3,39.22031786374676,10.0,73.37385091820417,87.80923994038749,63.8,Flex
Davante Adams,854.0,7.497404761904761,75.78828571428572,206.41857142857148,53.40589001254084,147.3,39.22031786374676,10.0,73.37385091820417,87.80923994038749,70.4,Starter
Davante Adams,1063.0,7.505093073593075,76.09167532467532,227.38223376623355,58.82973844496079,147.3,39.22031786374676,10.0,73.37385091820417,87.80923994038749,72.6,Starter
Davante Adams,209.0,7.516858419358422,76.29422077922078,142.2446020646019,36.80240358299597,147.3,39.22031786374676,10.0,73.37385091820417,87.80923994038749,63.8,Flex
Davante Adams,854.0,7.501457806082802,76.03824050949049,206.50498734598736,53.42824807339216,147.3,39.22031786374676,10.0,73.37385091820417,87.80923994038749,70.4,Starter
David Bell,176.8,5.84226875901876,25.47,89.70799999999997,23.20980882722005,,,,,,21.8,Risky
David Moore,321.79,3.17,30.95,87.14599999999997,22.54695233487447,71.0,0.0,1.0,100.0,42.32488822652757,48.8,Depth
DeAndre Carter,192.69,1.1542857142857144,24.94,73.18199999999997,18.93409985278479,64.0,0.0,1.0,100.0,38.152011922503725,45.9,Depth
DeAndre Hopkins,610.0,5.0,56.0,147.086,38.055000012936304,99.71428571428571,25.499766572227585,7.0,74.42716845050217,59.44219714711517,54.6,Depth
DeAndre Hopkins,173.0,5.0,56.0,103.29999999999994,26.726415167563992,99.71428571428571,25.499766572227585,7.0,74.42716845050217,59.44219714711517,50.1,Depth
DeAndre Hopkins,437.0,4.99,56.0,129.7000000000002,33.55678651726096,99.71428571428571,25.499766572227585,7.0,74.42716845050217,59.44219714711517,52.8,Depth
DeAndre Hopkins,610.0,5.0,56.0,147.0,38.03274956081229,99.71428571428571,25.499766572227585,7.0,74.42716845050217,59.44219714711517,54.6,Depth
DeAndre Hopkins,173.0,5.0,56.0,103.19899999999994,26.700283822627657,99.71428571428571,25.499766572227585,7.0,74.42716845050217,59.44219714711517,50.1,Depth
DeAndre Hopkins,437.0,5.0,56.0,129.6080000000002,33.53298370801202,99.71428571428571,25.499766572227585,7.0,74.42716845050217,59.44219714711517,52.8,Depth
DeAndre Hopkins,610.0,5.0,56.0,147.0,38.03274956081229,99.71428571428571,25.499766572227585,7.0,74.42716845050217,59.44219714711517,54.6,Depth
DeAndre Hopkins,173.0,5.0,56.0,103.29999999999994,26.726415167563992,99.71428571428571,25.499766572227585,7.0,74.42716845050217,59.44219714711517,50.1,Depth
DeAndre Hopkins,437.0,5.0,56.0,129.7000000000002,33.55678651726096,99.71428571428571,25.499766572227585,7.0,74.42716845050217,59.44219714711517,52.8,Depth
DeVonta Smith,832.5,7.9944444444444445,67.906,199.532,51.62415364195917,117.5,17.935068069752806,4.0,84.73611241096687,70.04470938897168,66.3,Flex
Deebo Samuel,668.7,3.0,50.93,154.26200000000014,39.911619134353955,113.5,40.15387071420803,4.0,64.62214065160401,67.6602086438152,55.8,Depth
Demarcus Robinson,505.03,7.0058333333333325,29.21,109.107,28.228838138309843,,,,,,23.8,Risky
Demario Douglas,620.65,3.0,66.05,148.7020000000002,38.473101531917806,66.5,24.748737341529164,2.0,62.78385418140194,39.642324888226526,45.0,Depth
Derius Davis,190.01,3.74,24.96,75.23299999999993,19.46474726332373,,,,,,20.3,Risky
Devaughn Vele,476.58,3.0,40.25,105.64599999999992,27.33338680341205,,,,,,23.4,Risky
Deven Thompkins,144.95,1.05,25.16,72.14399999999995,18.6655420701717,,,,,,20.0,Risky
Devin Duvernay,183.45,0.9742857142857144,25.21,72.28399999999996,18.701763736420098,61.0,0.0,1.0,100.0,36.36363636363637,45.2,Depth
Devontez Walker,190.67,1.2442857142857142,25.07,70.35499999999996,18.202680920754744,,,,,,19.8,Risky
Diontae Johnson,356.01,3.01,32.62,99.267,25.682972453422813,113.0,35.61834733205159,4.0,68.47933892314603,67.36214605067065,51.0,Depth
Diontae Johnson,296.56,3.15,30.31,127.3876623376624,32.95852420969819,113.0,35.61834733205159,4.0,68.47933892314603,67.36214605067065,53.9,Depth
Diontae Johnson,146.63,5.707929126429127,28.25,71.37999999999994,18.46787526293047,113.0,35.61834733205159,4.0,68.47933892314603,67.36214605067065,48.1,Depth
Diontae Johnson,146.63,5.757929126429128,28.34,71.48999999999994,18.496335143554205,113.0,35.61834733205159,4.0,68.47933892314603,67.36214605067065,48.1,Depth
Diontae Johnson,355.98,3.01,32.62,99.411,25.720229024421158,113.0,35.61834733205159,4.0,68.47933892314603,67.36214605067065,51.0,Depth
