rk,player,age,team,pos,g,gs,tgt,rec,yds,y/r,td,1d,succ%,lng,r/g,y/g,ctch%,y/tgt,fmb,awards
562.0,P.J. Walker,28.0,CLE,QB,6.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,4.0,
563.0,Jonathan Ward,26.0,TEN,RB,7.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,
564.0,Deshaun Watson,28.0,CLE,QB,6.0,6.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,5.0,
565.0,Tress Way,33.0,WAS,P,17.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,
566.0,Carson Wentz,31.0,LAR,QB,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,
567.0,Mike White,28.0,MIA,QB,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,1.0,
568.0,Jonathan Williams,29.0,WAS,RB,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
569.0,Rodney Williams,25.0,PIT,TE,13.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
570.0,Malik Willis,24.0,TEN,QB,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,1.0,
571.0,Russell Wilson,35.0,DEN,QB,15.0,15.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,10.0,
572.0,Zach Wilson,24.0,NYJ,QB,12.0,11.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,11.0,
573.0,Juwann Winfree,27.0,IND,WR,8.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
574.0,Jameis Winston,29.0,NOR,QB,7.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,
575.0,Logan Woodside,28.0,ATL,QB,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,
576.0,Bryce Young,22.0,CAR,QB,16.0,16.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,11.0,
577.0,Bailey Zappe,24.0,NWE,QB,10.0,6.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,2.0,
578.0,Ty Zentner,25.0,TEN,P,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,1.0,
,League Average,,,,,,,,,,,,50.4,,1.7,18.1,67.5,7.4,,
