player,predicted_rec_yds,predicted_rec_tds,predicted_receptions,predicted_fantasy_points,normalized_projected,potential_score,avg_fantasy,std_fantasy,games_played,consistency_score,prior_stat_score,final_grade,grade_label
Juwan Johnson,545.44,3.131928571428572,50.01,125.43699999999993,47.80519223147042,47.80519223147042,71.0,11.789826122551595,3.0,83.39461132887646,47.7792732166891,56.7,Depth
Kenny Yeboah,220.21,1.5406147186147188,26.26,82.23999999999997,31.342418976188274,31.342418976188274,,,,,,25.0,Risky
Kyle Pitts,601.61,4.06125,46.99,129.67844444444455,49.421645646378124,49.421645646378124,72.0,1.7320508075688772,3.0,97.59437391178804,48.45222072678331,61.1,Flex
Kylen Granson,220.22,0.8446147186147188,26.77,80.47399999999998,30.66938016402937,30.66938016402937,36.0,0.0,1.0,100.0,24.226110363391655,45.7,Depth
Lucas Krull,220.34,0.7506147186147186,26.28,80.66099999999999,30.740647580718907,30.740647580718907,,,,,,24.8,Risky
Luke Farrell,223.77,0.7556147186147187,26.34,81.944,31.22961065886154,31.22961065886154,,,,,,25.0,Risky
Luke Musgrave,219.83,1.603027417027417,26.16,84.36099999999996,32.150751547303244,32.150751547303244,40.0,0.0,1.0,100.0,26.917900403768506,47.3,Depth
Luke Schoonmaker,261.06,1.075,27.64,79.07199999999997,30.13506509344795,30.13506509344795,,,,,,24.6,Risky
Marcedes Lewis,202.58,0.9060432900432902,25.44,84.038,32.02765328211225,32.02765328211225,,,,,,25.3,Risky
Mark Andrews,671.48,10.95,55.05,183.1179999999997,69.78795085215998,69.78795085215998,113.2,30.25227264190246,5.0,73.27537776090438,76.17765814266487,72.9,Starter
Michael Mayer,223.26,0.2907575757575757,26.44,82.06699999999996,31.27648708802095,31.27648708802095,,,,,,25.0,Risky
Mike Gesicki,667.34,2.0,64.75592857142857,143.98750793650794,54.8749611026662,54.8749611026662,83.66666666666667,6.110100926607789,3.0,92.69709061325256,56.30327501121579,64.8,Flex
Mo Alie-Cox,201.28,1.6703867243867243,25.77,80.38099999999997,30.633937010274682,30.633937010274682,43.0,0.0,1.0,100.0,28.936742934051146,47.4,Depth
MyCole Pruitt,205.84,1.6770432900432903,25.44,81.45357142857141,31.04270382807836,31.04270382807836,,,,,,24.9,Risky
Nate Adkins,222.51,3.330142857142857,26.61,89.95100000000002,34.2811518643861,34.2811518643861,,,,,,26.2,Risky
Nick Vannett,206.24,3.4037142857142864,25.72,89.65657142857144,34.16894243291389,34.16894243291389,,,,,,26.2,Risky
Noah Fant,498.55,1.0,47.91,105.61199999999997,40.249702734839445,40.249702734839445,66.4,23.638950907347816,5.0,64.39917085641638,44.683714670255725,47.8,Depth
Noah Gray,439.73,4.7877857142857145,39.72,109.64699999999996,41.7874782767767,41.7874782767767,70.0,0.0,1.0,100.0,47.10632570659489,58.2,Depth
Pat Freiermuth,655.19,7.01,64.67,169.06357142857124,64.43167910171468,64.43167910171468,94.66666666666667,17.21433511156714,3.0,81.8158433840927,63.70569762225213,68.5,Flex
Payne Durham,224.01,2.514948051948052,26.75,80.14099999999999,30.542470807036782,30.542470807036782,,,,,,24.7,Risky
Peyton Hendershot,220.21,1.558027417027417,26.43,80.99099999999999,30.866413610171023,30.866413610171023,,,,,,24.8,Risky
Pharaoh Brown,220.14,0.8006147186147188,25.61,81.93199999999999,31.225037348699637,31.225037348699637,,,,,,25.0,Risky
Quintin Morris,220.3,1.5456147186147189,26.31,81.55499999999998,31.081359187780095,31.081359187780095,,,,,,24.9,Risky
Ross Dwelley,220.44,0.7556147186147187,25.65,80.18599999999999,30.559620720143894,30.559620720143894,,,,,,24.7,Risky
Sam LaPorta,722.34,7.01,60.21714285714286,171.69471428571433,65.43443179887888,65.43443179887888,124.0,31.11269837220809,2.0,74.90911441830707,83.44549125168237,74.1,Starter
Shane Zylstra,220.08,0.7506147186147186,25.5,77.484,29.529863715357163,29.529863715357163,,,,,,24.3,Risky
Stephen Sullivan,208.55,1.659027417027417,25.6,82.81899999999997,31.56308119149972,31.56308119149972,,,,,,25.1,Risky
Stone Smartt,220.6,0.7656147186147187,26.51,77.63799999999998,29.588554529101472,29.588554529101472,,,,,,24.3,Risky
T.J. Hockenson,453.54,0.03,41.1,92.261,35.161514070550915,35.161514070550915,95.4,27.953135383669892,10.0,70.69901982111102,64.1991924629879,54.2,Depth
Tanner Conner,218.36,0.7906147186147185,26.18,83.95699999999997,31.996783438519437,31.996783438519437,,,,,,25.3,Risky
Tanner Hudson,216.96,1.52634126984127,25.54,79.74499999999998,30.391551571694237,30.391551571694237,,,,,,24.7,Risky
Taysom Hill,211.3,0.3871269841269841,24.66,97.066,36.99274368120978,36.99274368120978,59.0,0.0,1.0,100.0,39.703903095558545,53.7,Depth
Theo Johnson,349.88,0.99,29.8,79.84299999999996,30.428900271349708,30.428900271349708,,,,,,24.7,Risky
Tip Reiman,224.07,0.7525036075036076,26.48,81.04499999999999,30.88699350589955,30.88699350589955,,,,,,24.9,Risky
Tommy Tremble,232.81,2.2566623376623376,26.72,81.25899999999997,30.968550870453342,30.968550870453342,,,,,,24.9,Risky
Travis Kelce,837.39,3.3728771228771226,95.16904761904762,208.4700000000001,79.44983078752402,79.44983078752402,148.6,29.211299183706295,5.0,80.34232907999355,100.0,86.9,Elite
Trey McBride,1157.41,2.2722857142857142,109.56,250.7869999999997,95.57722796426704,95.57722796426704,114.0,21.213203435596427,2.0,81.39192697410904,76.71601615074024,85.4,Elite
Tucker Fisk,223.51,0.7506147186147186,26.35,82.19499999999998,31.32526906308117,31.32526906308117,,,,,,25.0,Risky
Tucker Kraft,708.77,7.0,49.98,164.9044999999998,62.846618799353536,62.846618799353536,67.5,34.64823227814083,2.0,48.669286274320456,45.423956931359356,53.2,Depth
Tyler Conklin,449.76,4.02,50.9,120.18599999999986,45.803987926461105,45.803987926461105,72.75,8.0156097709407,4.0,88.98197984775189,48.95693135935397,57.7,Depth
Tyler Higbee,194.72,3.4191507936507937,25.5,87.85157142857139,33.4810403627288,33.4810403627288,78.5,15.154757228892407,4.0,80.69457702440997,52.8263795423957,52.1,Depth
Will Dissly,479.94,2.0,49.98,109.8520000000001,41.86560565870913,41.86560565870913,62.0,0.0,1.0,100.0,41.722745625841185,56.3,Depth
Will Mallory,216.27,0.8416147186147185,26.23,82.46699999999997,31.42893076008412,31.42893076008412,,,,,,25.1,Risky
Zach Davidson,208.73,1.6040274170274171,26.18,84.00399999999998,32.01469556998687,32.01469556998687,,,,,,25.3,Risky
Zach Ertz,654.96,7.02,66.17985714285714,168.20999999999987,64.10637519436561,64.10637519436561,83.88888888888889,22.38551118717442,9.0,73.31528499563636,56.452818902347836,63.7,Flex
