rush_rk,player,rush_age,rush_g,rush_gs,rush_att,rush_yds,rush_td,rush_1d,rush_succ%,rush_lng,rush_y/a,rush_y/g,rush_a/g,rush_fmb,rush_awards,rec_rk,rec_age,rec_g,rec_gs,rec_tgt,rec_rec,rec_yds,rec_y/r,rec_td,rec_1d,rec_succ%,rec_lng,rec_r/g,rec_y/g,rec_ctch%,rec_y/tgt,rec_fmb,rec_awards
27.0,AJ Dillon,24.0,17.0,3.0,186.0,770.0,7.0,47.0,56.5,27.0,4.1,45.3,10.9,1.0,,152.0,24.0,17.0,3.0,43.0,28.0,206.0,7.4,0.0,9.0,39.5,17.0,1.6,12.1,65.1,4.8,1.0,
15.0,Aaron Jones,28.0,17.0,17.0,213.0,1121.0,2.0,54.0,54.9,36.0,5.3,65.9,12.5,5.0,,55.0,28.0,17.0,17.0,72.0,59.0,395.0,6.7,5.0,19.0,44.4,30.0,3.5,23.2,81.9,5.5,5.0,
64.0,Alexander Mattison,24.0,17.0,0.0,74.0,283.0,5.0,21.0,47.3,15.0,3.8,16.6,4.4,0.0,,238.0,24.0,17.0,0.0,18.0,15.0,91.0,6.1,1.0,4.0,33.3,16.0,0.9,5.4,83.3,5.1,0.0,
12.0,Alvin Kamara,27.0,15.0,13.0,223.0,897.0,2.0,40.0,52.0,27.0,4.0,59.8,14.9,4.0,,64.0,27.0,15.0,13.0,77.0,57.0,490.0,8.6,2.0,17.0,46.8,54.0,3.8,32.7,74.0,6.4,4.0,
237.0,Ameer Abdullah,29.0,17.0,0.0,4.0,20.0,0.0,2.0,75.0,7.0,5.0,1.2,0.2,0.0,,167.0,29.0,17.0,0.0,32.0,25.0,211.0,8.4,1.0,8.0,34.4,23.0,1.5,12.4,78.1,6.6,0.0,
215.0,Anthony McFarland Jr.,24.0,1.0,0.0,6.0,30.0,0.0,3.0,66.7,14.0,5.0,30.0,6.0,0.0,,425.0,24.0,1.0,0.0,2.0,2.0,11.0,5.5,0.0,1.0,50.0,12.0,2.0,11.0,100.0,5.5,0.0,
36.0,Antonio Gibson,24.0,15.0,6.0,149.0,546.0,3.0,32.0,49.7,20.0,3.7,36.4,9.9,1.0,,88.0,24.0,15.0,6.0,58.0,46.0,353.0,7.7,2.0,18.0,46.6,26.0,3.1,23.5,79.3,6.1,1.0,
20.0,Austin Ekeler,27.0,17.0,17.0,204.0,915.0,13.0,46.0,48.0,72.0,4.5,53.8,12.0,5.0,AP OPoY-9,5.0,27.0,17.0,17.0,127.0,107.0,722.0,6.7,5.0,36.0,48.0,23.0,6.3,42.5,84.3,5.7,5.0,AP OPoY-9
134.0,Avery Williams,24.0,17.0,3.0,22.0,109.0,1.0,6.0,45.5,21.0,5.0,6.4,1.3,1.0,,258.0,24.0,17.0,3.0,14.0,13.0,61.0,4.7,0.0,3.0,35.7,10.0,0.8,3.6,92.9,4.4,1.0,
137.0,Benny Snell Jr.,24.0,17.0,0.0,20.0,90.0,1.0,6.0,70.0,16.0,4.5,5.3,1.2,0.0,,434.0,24.0,17.0,0.0,2.0,2.0,17.0,8.5,0.0,1.0,50.0,11.0,0.1,1.0,100.0,8.5,0.0,
81.0,Boston Scott,27.0,15.0,2.0,54.0,217.0,3.0,12.0,46.3,21.0,4.0,14.5,3.6,0.0,,356.0,27.0,15.0,2.0,6.0,5.0,15.0,3.0,0.0,0.0,16.7,5.0,0.3,1.0,83.3,2.5,0.0,
144.0,Brandon Bolden,32.0,16.0,0.0,17.0,66.0,0.0,3.0,35.3,12.0,3.9,4.1,1.1,0.0,,289.0,32.0,16.0,0.0,9.0,9.0,57.0,6.3,1.0,2.0,44.4,18.0,0.6,3.6,100.0,6.3,0.0,
59.0,Breece Hall,21.0,7.0,2.0,80.0,463.0,4.0,20.0,50.0,62.0,5.8,66.1,11.4,1.0,,206.0,21.0,7.0,2.0,31.0,19.0,218.0,11.5,1.0,8.0,35.5,79.0,2.7,31.1,61.3,7.0,1.0,
19.0,Brian Robinson Jr.,23.0,12.0,9.0,205.0,797.0,2.0,49.0,52.7,24.0,3.9,66.4,17.1,2.0,,303.0,23.0,12.0,9.0,12.0,9.0,60.0,6.7,1.0,3.0,50.0,18.0,0.8,5.0,75.0,5.0,2.0,
62.0,Caleb Huntley,24.0,12.0,0.0,76.0,366.0,1.0,18.0,61.8,30.0,4.8,30.5,6.3,1.0,,421.0,24.0,12.0,0.0,2.0,2.0,3.0,1.5,0.0,0.0,0.0,2.0,0.2,0.3,100.0,1.5,1.0,
26.0,Cam Akers,23.0,15.0,9.0,188.0,786.0,7.0,39.0,52.7,42.0,4.2,52.4,12.5,2.0,,250.0,23.0,15.0,9.0,18.0,13.0,117.0,9.0,0.0,8.0,50.0,18.0,0.9,7.8,72.2,6.5,2.0,
71.0,Chase Edmonds,26.0,13.0,3.0,68.0,245.0,2.0,8.0,42.6,28.0,3.6,18.8,5.2,0.0,,233.0,26.0,13.0,3.0,24.0,16.0,157.0,9.8,1.0,7.0,41.7,27.0,1.2,12.1,66.7,6.5,0.0,
71.0,Chase Edmonds,26.0,13.0,3.0,68.0,245.0,2.0,8.0,42.6,28.0,3.6,18.8,5.2,0.0,,233.0,26.0,8.0,2.0,17.0,10.0,96.0,9.6,1.0,4.0,41.2,15.0,1.3,12.0,58.8,5.6,0.0,
71.0,Chase Edmonds,26.0,13.0,3.0,68.0,245.0,2.0,8.0,42.6,28.0,3.6,18.8,5.2,0.0,,233.0,26.0,5.0,1.0,7.0,6.0,61.0,10.2,0.0,3.0,42.9,27.0,1.2,12.2,85.7,8.7,0.0,
71.0,Chase Edmonds,26.0,8.0,2.0,42.0,120.0,2.0,6.0,40.5,28.0,2.9,15.0,5.3,0.0,,233.0,26.0,13.0,3.0,24.0,16.0,157.0,9.8,1.0,7.0,41.7,27.0,1.2,12.1,66.7,6.5,0.0,
71.0,Chase Edmonds,26.0,8.0,2.0,42.0,120.0,2.0,6.0,40.5,28.0,2.9,15.0,5.3,0.0,,233.0,26.0,8.0,2.0,17.0,10.0,96.0,9.6,1.0,4.0,41.2,15.0,1.3,12.0,58.8,5.6,0.0,
71.0,Chase Edmonds,26.0,8.0,2.0,42.0,120.0,2.0,6.0,40.5,28.0,2.9,15.0,5.3,0.0,,233.0,26.0,5.0,1.0,7.0,6.0,61.0,10.2,0.0,3.0,42.9,27.0,1.2,12.2,85.7,8.7,0.0,
71.0,Chase Edmonds,26.0,5.0,1.0,26.0,125.0,0.0,2.0,46.2,25.0,4.8,25.0,5.2,0.0,,233.0,26.0,13.0,3.0,24.0,16.0,157.0,9.8,1.0,7.0,41.7,27.0,1.2,12.1,66.7,6.5,0.0,
71.0,Chase Edmonds,26.0,5.0,1.0,26.0,125.0,0.0,2.0,46.2,25.0,4.8,25.0,5.2,0.0,,233.0,26.0,8.0,2.0,17.0,10.0,96.0,9.6,1.0,4.0,41.2,15.0,1.3,12.0,58.8,5.6,0.0,
71.0,Chase Edmonds,26.0,5.0,1.0,26.0,125.0,0.0,2.0,46.2,25.0,4.8,25.0,5.2,0.0,,233.0,26.0,5.0,1.0,7.0,6.0,61.0,10.2,0.0,3.0,42.9,27.0,1.2,12.2,85.7,8.7,0.0,
