rk,player,age,team,pos,g,gs,att,yds,td,1d,succ%,lng,y/a,y/g,a/g,fmb,awards
31.0,Travis Etienne,25.0,JAX,RB,15.0,15.0,150.0,558.0,2.0,31.0,45.3,22.0,3.7,37.2,10.0,1.0,
32.0,Jalen Hurts,26.0,PHI,QB,15.0,15.0,150.0,630.0,14.0,62.0,55.3,35.0,4.2,42.0,10.0,9.0,
33.0,Jayden Daniels,24.0,WAS,QB,17.0,17.0,148.0,891.0,6.0,55.0,62.8,46.0,6.0,52.4,8.7,5.0,"PB,AP MVP-7,AP OPoY-17,AP ORoY-1"
34.0,Rachaad White,25.0,TAM,RB,16.0,15.0,144.0,613.0,3.0,35.0,50.7,56.0,4.3,38.3,9.0,3.0,
35.0,Lamar Jackson,27.0,BAL,QB,17.0,17.0,139.0,915.0,4.0,47.0,56.1,48.0,6.6,53.8,8.2,10.0,"PB,AP-1,AP MVP-2,AP OPoY-2"
36.0,Javonte Williams,24.0,DEN,RB,17.0,11.0,139.0,513.0,4.0,30.0,46.8,20.0,3.7,30.2,8.2,2.0,
37.0,Tyler Allgeier,24.0,ATL,RB,17.0,0.0,137.0,644.0,3.0,43.0,58.4,25.0,4.7,37.9,8.1,0.0,
38.0,Zach Charbonnet,23.0,SEA,RB,17.0,6.0,135.0,569.0,8.0,32.0,47.4,51.0,4.2,33.5,7.9,0.0,
39.0,Alexander Mattison,26.0,LVR,RB,14.0,7.0,132.0,420.0,4.0,25.0,35.6,24.0,3.2,30.0,9.4,1.0,
40.0,Antonio Gibson,26.0,NWE,RB,17.0,3.0,120.0,538.0,1.0,24.0,45.0,45.0,4.5,31.6,7.1,2.0,
41.0,Jaylen Warren,26.0,PIT,RB,15.0,0.0,120.0,511.0,1.0,28.0,50.0,22.0,4.3,34.1,8.0,2.0,
42.0,Ray Davis,25.0,BUF,RB,17.0,0.0,113.0,442.0,3.0,25.0,45.1,23.0,3.9,26.0,6.6,0.0,
43.0,Jaleel McLaughlin,24.0,DEN,RB,16.0,5.0,113.0,496.0,1.0,25.0,51.3,21.0,4.4,31.0,7.1,1.0,
44.0,Devin Singletary,27.0,NYG,RB,15.0,5.0,113.0,437.0,4.0,24.0,47.8,43.0,3.9,29.1,7.5,2.0,
45.0,Jerome Ford,25.0,CLE,RB,14.0,6.0,104.0,565.0,3.0,25.0,47.1,66.0,5.4,40.4,7.4,0.0,
46.0,Cam Akers,25.0,2TM,RB,17.0,2.0,104.0,444.0,2.0,21.0,38.5,58.0,4.3,26.1,6.1,1.0,AP CPoY-19
46.0,Cam Akers,25.0,HOU,RB,5.0,2.0,40.0,147.0,1.0,5.0,30.0,15.0,3.7,29.4,8.0,1.0,
46.0,Cam Akers,25.0,MIN,RB,12.0,0.0,64.0,297.0,1.0,16.0,43.8,58.0,4.6,24.8,5.3,0.0,
47.0,Emanuel Wilson,25.0,GNB,RB,17.0,0.0,103.0,502.0,4.0,27.0,59.2,21.0,4.9,29.5,6.1,0.0,
48.0,Josh Allen,28.0,BUF,QB,17.0,17.0,102.0,531.0,12.0,52.0,64.7,30.0,5.2,31.2,6.0,5.0,"PB,AP-2,AP MVP-1,AP OPoY-6"
49.0,Nick Chubb,29.0,CLE,RB,8.0,8.0,102.0,332.0,3.0,17.0,41.2,19.0,3.3,41.5,12.8,1.0,AP CPoY-8
50.0,Gus Edwards,29.0,LAC,RB,11.0,6.0,101.0,365.0,4.0,17.0,49.5,43.0,3.6,33.2,9.2,0.0,
51.0,Braelon Allen,20.0,NYJ,RB,17.0,2.0,92.0,334.0,2.0,22.0,51.1,20.0,3.6,19.6,5.4,0.0,
52.0,Bo Nix,24.0,DEN,QB,17.0,17.0,92.0,430.0,4.0,41.0,53.3,32.0,4.7,25.3,5.4,3.0,AP ORoY-3
53.0,Anthony Richardson,22.0,IND,QB,11.0,11.0,86.0,499.0,6.0,34.0,58.1,29.0,5.8,45.4,7.8,9.0,AP CPoY-25
54.0,Raheem Mostert,32.0,MIA,RB,13.0,1.0,85.0,278.0,2.0,13.0,37.6,21.0,3.3,21.4,6.5,2.0,
55.0,Isaac Guerendo,24.0,SFO,RB,16.0,3.0,84.0,420.0,4.0,18.0,47.6,76.0,5.0,26.3,5.3,3.0,
56.0,Tyjae Spears,23.0,TEN,RB,12.0,1.0,84.0,312.0,4.0,19.0,46.4,23.0,3.7,26.0,7.0,1.0,
57.0,Isiah Pacheco,25.0,KAN,RB,7.0,6.0,83.0,310.0,1.0,14.0,53.0,34.0,3.7,44.3,11.9,0.0,
58.0,Caleb Williams,23.0,CHI,QB,17.0,17.0,81.0,489.0,0.0,27.0,51.9,24.0,6.0,28.8,4.8,10.0,AP ORoY-10
59.0,Kyler Murray,27.0,ARI,QB,17.0,17.0,78.0,572.0,5.0,27.0,52.6,50.0,7.3,33.6,4.6,8.0,AP CPoY-10
60.0,Austin Ekeler,29.0,WAS,RB,12.0,6.0,77.0,367.0,4.0,19.0,51.9,50.0,4.8,30.6,6.4,3.0,AP-2
61.0,Audric Estime,21.0,DEN,RB,13.0,1.0,76.0,310.0,2.0,15.0,51.3,21.0,4.1,23.8,5.8,2.0,
62.0,Kenneth Gainwell,25.0,PHI,RB,17.0,1.0,75.0,290.0,1.0,12.0,24.0,20.0,3.9,17.1,4.4,0.0,
63.0,Ezekiel Elliott,29.0,DAL,RB,15.0,2.0,74.0,226.0,3.0,14.0,43.2,11.0,3.1,15.1,4.9,1.0,
64.0,Zack Moss,27.0,CIN,RB,8.0,6.0,74.0,242.0,2.0,13.0,36.5,16.0,3.3,30.3,9.3,2.0,
65.0,D'Onta Foreman,28.0,CLE,RB,11.0,3.0,71.0,232.0,0.0,10.0,39.4,25.0,3.3,21.1,6.5,2.0,
66.0,Justin Herbert,26.0,LAC,QB,17.0,17.0,69.0,306.0,2.0,23.0,46.4,41.0,4.4,18.0,4.1,6.0,"AP MVP-9,AP CPoY-12"
67.0,Jaylen Wright,21.0,MIA,RB,15.0,1.0,68.0,249.0,0.0,11.0,39.7,20.0,3.7,16.6,4.5,1.0,
68.0,Sam Darnold,27.0,MIN,QB,17.0,17.0,67.0,212.0,1.0,23.0,41.8,19.0,3.2,12.5,3.9,8.0,"PB,AP MVP-10,AP CPoY-3"
69.0,Daniel Jones,27.0,NYG,QB,10.0,10.0,67.0,265.0,2.0,26.0,59.7,24.0,4.0,26.5,6.7,4.0,
70.0,Ameer Abdullah,31.0,LVR,RB,16.0,3.0,66.0,311.0,2.0,14.0,50.0,40.0,4.7,19.4,4.1,2.0,
71.0,Brock Purdy,25.0,SFO,QB,15.0,15.0,66.0,323.0,5.0,33.0,63.6,16.0,4.9,21.5,4.4,7.0,
72.0,Zamir White,25.0,LVR,RB,8.0,5.0,65.0,183.0,1.0,4.0,26.2,17.0,2.8,22.9,8.1,2.0,
73.0,Trey Benson,21.0,ARI,RB,13.0,1.0,63.0,291.0,1.0,16.0,49.2,20.0,4.6,22.4,4.8,1.0,
74.0,Justin Fields,25.0,PIT,QB,10.0,6.0,62.0,289.0,5.0,19.0,54.8,30.0,4.7,28.9,6.2,6.0,
75.0,Baker Mayfield,29.0,TAM,QB,17.0,17.0,60.0,378.0,3.0,24.0,51.7,28.0,6.3,22.2,3.5,13.0,"PB,AP MVP-11,AP OPoY-11"
76.0,Blake Corum,24.0,LAR,RB,17.0,1.0,58.0,207.0,0.0,12.0,43.1,12.0,3.6,12.2,3.4,0.0,
77.0,Patrick Mahomes,29.0,KAN,QB,16.0,16.0,58.0,307.0,2.0,22.0,50.0,33.0,5.3,19.2,3.6,2.0,"AP MVP-6,AP OPoY-17"
78.0,Ty Chandler,26.0,MIN,RB,17.0,0.0,56.0,182.0,0.0,9.0,37.5,25.0,3.3,10.7,3.3,0.0,
79.0,Trey Sermon,25.0,IND,RB,17.0,3.0,56.0,159.0,2.0,14.0,44.6,17.0,2.8,9.4,3.3,0.0,
80.0,Carson Steele,22.0,KAN,RB,17.0,3.0,56.0,183.0,0.0,14.0,55.4,9.0,3.3,10.8,3.3,3.0,
81.0,Roschon Johnson,23.0,CHI,RB,14.0,0.0,55.0,150.0,6.0,17.0,56.4,9.0,2.7,10.7,3.9,0.0,
82.0,Jeremy McNichols,29.0,WAS,RB,17.0,1.0,55.0,261.0,4.0,15.0,58.2,28.0,4.7,15.4,3.2,0.0,
83.0,Miles Sanders,27.0,CAR,RB,11.0,2.0,55.0,205.0,2.0,12.0,45.5,26.0,3.7,18.6,5.0,1.0,
84.0,Drake Maye,22.0,NWE,QB,13.0,12.0,54.0,421.0,2.0,22.0,64.8,41.0,7.8,32.4,4.2,9.0,"PB,AP ORoY-8"
85.0,Geno Smith,34.0,SEA,QB,17.0,17.0,53.0,272.0,2.0,17.0,35.8,34.0,5.1,16.0,3.1,9.0,
86.0,C.J. Stroud,23.0,HOU,QB,17.0,17.0,52.0,233.0,0.0,14.0,38.5,25.0,4.5,13.7,3.1,6.0,
87.0,Christian McCaffrey,28.0,SFO,RB,4.0,4.0,50.0,202.0,0.0,12.0,44.0,19.0,4.0,50.5,12.5,1.0,
88.0,Sean Tucker,23.0,TAM,RB,17.0,0.0,50.0,308.0,2.0,17.0,56.0,36.0,6.2,18.1,2.9,1.0,
89.0,Jamaal Williams,29.0,NOR,RB,14.0,1.0,48.0,164.0,1.0,11.0,47.9,14.0,3.4,11.7,3.4,0.0,
90.0,Justice Hill,27.0,BAL,RB,15.0,0.0,47.0,228.0,1.0,14.0,44.7,51.0,4.9,15.2,3.1,0.0,
91.0,Will Levis,25.0,TEN,QB,12.0,12.0,45.0,183.0,0.0,20.0,48.9,21.0,4.1,15.3,3.8,10.0,
92.0,Kimani Vidal,23.0,LAC,RB,10.0,0.0,43.0,155.0,0.0,7.0,32.6,19.0,3.6,15.5,4.3,1.0,
93.0,Russell Wilson,36.0,PIT,QB,11.0,11.0,43.0,155.0,2.0,16.0,46.5,19.0,3.6,14.1,3.9,5.0,"PB,AP CPoY-14"
94.0,Bryce Young,23.0,CAR,QB,14.0,12.0,43.0,249.0,6.0,15.0,53.5,34.0,5.8,17.8,3.1,5.0,
