Player,Age,Pos,G,GS,Rush Atts,Rush Yards,Rush TDs,Rush Fmb,Targets,Receptions,Rec Yards,Rec TDs,Rec Fmb
J.K. Dobbins,26.0,RB,13.0,11.0,195.0,905.0,9.0,0.0,38.0,32.0,153.0,0.0,0.0
Rachaad White,25.0,RB,16.0,15.0,144.0,613.0,3.0,3.0,57.0,51.0,393.0,6.0,3.0
Rhamondre Stevenson,26.0,RB,15.0,14.0,207.0,801.0,7.0,7.0,41.0,33.0,168.0,1.0,7.0
Brian Robinson Jr.,25.0,RB,14.0,13.0,187.0,799.0,8.0,2.0,25.0,20.0,159.0,0.0,2.0
Zach Charbonnet,23.0,RB,17.0,6.0,135.0,569.0,8.0,0.0,52.0,42.0,340.0,1.0,0.0
Kareem Hunt,29.0,RB,13.0,8.0,200.0,728.0,7.0,0.0,32.0,23.0,176.0,0.0,0.0
Jordan Mason,25.0,RB,12.0,6.0,153.0,789.0,3.0,3.0,14.0,11.0,91.0,0.0,3.0
Kenneth Walker III,24.0,RB,11.0,11.0,153.0,573.0,7.0,1.0,53.0,46.0,299.0,1.0,1.0
Javonte Williams,24.0,RB,17.0,11.0,139.0,513.0,4.0,2.0,70.0,52.0,346.0,0.0,2.0
Jaylen Warren,26.0,RB,15.0,0.0,120.0,511.0,1.0,2.0,47.0,38.0,310.0,0.0,2.0
Tank Bigsby,23.0,RB,16.0,1.0,168.0,766.0,7.0,4.0,12.0,7.0,54.0,0.0,4.0
Travis Etienne,25.0,RB,15.0,15.0,150.0,558.0,2.0,1.0,52.0,39.0,254.0,0.0,1.0
Jerome Ford,25.0,RB,14.0,6.0,104.0,565.0,3.0,0.0,43.0,37.0,225.0,0.0,0.0
Antonio Gibson,26.0,RB,17.0,3.0,120.0,538.0,1.0,2.0,29.0,23.0,206.0,0.0,2.0
Austin Ekeler,29.0,RB,12.0,6.0,77.0,367.0,4.0,3.0,41.0,35.0,366.0,0.0,3.0
Tyler Allgeier,24.0,RB,17.0,0.0,137.0,644.0,3.0,0.0,13.0,13.0,88.0,0.0,0.0
Alexander Mattison,26.0,RB,14.0,7.0,132.0,420.0,4.0,1.0,48.0,36.0,294.0,1.0,1.0
Ray Davis,25.0,RB,17.0,0.0,113.0,442.0,3.0,0.0,19.0,17.0,189.0,3.0,0.0
Justice Hill,27.0,RB,15.0,0.0,47.0,228.0,1.0,0.0,51.0,42.0,383.0,3.0,0.0
Isaac Guerendo,24.0,RB,16.0,3.0,84.0,420.0,4.0,3.0,16.0,15.0,152.0,0.0,3.0
Jaleel McLaughlin,24.0,RB,16.0,5.0,113.0,496.0,1.0,1.0,27.0,24.0,76.0,2.0,1.0
Ameer Abdullah,31.0,RB,16.0,3.0,66.0,311.0,2.0,2.0,47.0,40.0,261.0,3.0,2.0
Devin Singletary,27.0,RB,15.0,5.0,113.0,437.0,4.0,2.0,24.0,21.0,119.0,0.0,2.0
Emanuel Wilson,25.0,RB,17.0,0.0,103.0,502.0,4.0,0.0,14.0,11.0,48.0,1.0,0.0
Tyjae Spears,23.0,RB,12.0,1.0,84.0,312.0,4.0,1.0,35.0,30.0,224.0,1.0,1.0
Cam Akers,25.0,RB,17.0,2.0,104.0,444.0,2.0,1.0,18.0,14.0,68.0,3.0,1.0
Ty Johnson,27.0,RB,17.0,1.0,41.0,213.0,1.0,0.0,25.0,18.0,284.0,3.0,0.0
