Player,Age,Pos,G,GS,Rush Atts,Rush Yards,Rush TDs,Rush Fmb,Targets,Receptions,Rec Yards,Rec TDs,Rec Fmb
Saquon Barkley,27.0,RB,16.0,16.0,345.0,2005.0,13.0,2.0,43.0,33.0,278.0,2.0,2.0
Derrick Henry,30.0,RB,17.0,17.0,325.0,1921.0,16.0,3.0,22.0,19.0,193.0,2.0,3.0
Jahmyr Gibbs,22.0,RB,17.0,4.0,250.0,1412.0,16.0,1.0,63.0,52.0,517.0,4.0,1.0
Bijan Robinson,22.0,RB,17.0,17.0,304.0,1456.0,14.0,1.0,72.0,61.0,431.0,1.0,1.0
Josh Jacobs,26.0,RB,17.0,17.0,301.0,1329.0,15.0,4.0,43.0,36.0,342.0,1.0,4.0
Jonathan Taylor,25.0,RB,14.0,13.0,303.0,1431.0,11.0,4.0,31.0,18.0,136.0,1.0,4.0
Aaron Jones,30.0,RB,17.0,17.0,255.0,1138.0,5.0,5.0,62.0,51.0,408.0,2.0,5.0
Bucky Irving,22.0,RB,17.0,3.0,207.0,1122.0,8.0,2.0,52.0,47.0,392.0,0.0,2.0
James Conner,29.0,RB,16.0,16.0,236.0,1094.0,8.0,4.0,55.0,47.0,414.0,1.0,4.0
De'Von Achane,23.0,RB,17.0,16.0,203.0,907.0,6.0,1.0,87.0,78.0,592.0,6.0,1.0
Alvin Kamara,29.0,RB,14.0,14.0,228.0,950.0,6.0,1.0,89.0,68.0,543.0,2.0,1.0
Kyren Williams,24.0,RB,16.0,16.0,316.0,1299.0,14.0,5.0,40.0,34.0,182.0,2.0,5.0
Chuba Hubbard,25.0,RB,15.0,15.0,250.0,1195.0,10.0,4.0,54.0,43.0,171.0,1.0,4.0
Breece Hall,23.0,RB,16.0,16.0,209.0,876.0,5.0,6.0,76.0,57.0,483.0,3.0,6.0
Chase Brown,24.0,RB,16.0,10.0,229.0,990.0,7.0,2.0,65.0,54.0,360.0,4.0,2.0
D'Andre Swift,25.0,RB,17.0,17.0,253.0,959.0,6.0,2.0,52.0,42.0,386.0,0.0,2.0
Rico Dowdle,26.0,RB,16.0,15.0,235.0,1079.0,2.0,3.0,49.0,39.0,249.0,3.0,3.0
Najee Harris,26.0,RB,17.0,17.0,263.0,1043.0,6.0,0.0,48.0,36.0,283.0,0.0,0.0
Joe Mixon,28.0,RB,14.0,14.0,245.0,1016.0,11.0,0.0,52.0,36.0,309.0,1.0,0.0
Tony Pollard,27.0,RB,16.0,16.0,260.0,1079.0,5.0,2.0,57.0,41.0,238.0,0.0,2.0
James Cook,25.0,RB,16.0,16.0,207.0,1009.0,16.0,1.0,38.0,32.0,258.0,2.0,1.0
Tyrone Tracy Jr.,25.0,RB,17.0,12.0,192.0,839.0,5.0,5.0,53.0,38.0,284.0,1.0,5.0
David Montgomery,27.0,RB,14.0,14.0,185.0,775.0,12.0,2.0,38.0,36.0,341.0,0.0,2.0
