rush_rk,player,rush_age,rush_g,rush_gs,rush_att,rush_yds,rush_td,rush_1d,rush_succ%,rush_lng,rush_y/a,rush_y/g,rush_a/g,rush_fmb,rush_awards,rec_rk,rec_age,rec_g,rec_gs,rec_tgt,rec_rec,rec_yds,rec_y/r,rec_td,rec_1d,rec_succ%,rec_lng,rec_r/g,rec_y/g,rec_ctch%,rec_y/tgt,rec_fmb,rec_awards
572.0,Adam Shaheen,26.0,16.0,5.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,278.0,26.0,16.0,5.0,22.0,12.0,150.0,12.5,3.0,9.0,50.0,43.0,0.8,9.4,54.5,6.8,0.0,
602.0,Adam Trautman,23.0,15.0,6.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,246.0,23.0,15.0,6.0,16.0,15.0,171.0,11.4,1.0,9.0,68.8,41.0,1.0,11.4,93.8,10.7,0.0,
543.0,Albert Okwuegbunam,22.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,289.0,22.0,4.0,0.0,15.0,11.0,121.0,11.0,1.0,6.0,60.0,27.0,2.8,30.3,73.3,8.1,0.0,
381.0,Antony Auclair,27.0,8.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,502.0,27.0,8.0,2.0,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
491.0,Austin Hooper,26.0,13.0,13.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,92.0,26.0,13.0,13.0,70.0,46.0,435.0,9.5,4.0,27.0,51.4,36.0,3.5,33.5,65.7,6.2,0.0,
441.0,Ben Ellefson,24.0,7.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,449.0,24.0,7.0,4.0,4.0,1.0,10.0,10.0,0.0,1.0,25.0,10.0,0.1,1.4,25.0,2.5,0.0,
301.0,Blake Bell,29.0,16.0,2.0,1.0,2.0,0.0,1.0,100.0,2.0,2.0,0.1,0.1,0.0,,283.0,29.0,16.0,2.0,15.0,11.0,110.0,10.0,0.0,7.0,60.0,24.0,0.7,6.9,73.3,7.3,0.0,
502.0,Blake Jarwin,26.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,465.0,26.0,1.0,1.0,1.0,1.0,12.0,12.0,0.0,1.0,100.0,12.0,1.0,12.0,100.0,12.0,0.0,
434.0,Brandon Dillon,23.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,448.0,23.0,3.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,6.0,0.3,2.0,100.0,6.0,0.0,
605.0,C.J. Uzomah,27.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,323.0,27.0,2.0,2.0,11.0,8.0,87.0,10.9,1.0,6.0,63.6,23.0,4.0,43.5,72.7,7.9,0.0,
394.0,Cameron Brate,29.0,16.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,156.0,29.0,16.0,1.0,34.0,28.0,282.0,10.1,2.0,17.0,70.6,25.0,1.8,17.6,82.4,8.3,0.0,
