Player,Games Missed,Touches Per Game
Tom Brady,0.0,44.0
Justin Herbert,0.0,43.0
Matthew Stafford,0.0,37.0
Patrick Mahomes,0.0,43.0
Derek Carr,0.0,39.0
Joe Burrow,1.0,35.0
Dak Prescott,1.0,40.0
Josh Allen,0.0,45.0
Kirk Cousins,1.0,37.0
Aaron Rodgers,1.0,35.0
Matt Ryan,0.0,35.0
Jimmy Garoppolo,2.0,32.0
Mac Jones,0.0,33.0
Kyler Murray,3.0,41.0
Ben Roethlisberger,1.0,39.0
Ryan Tannehill,0.0,34.0
Trevor Lawrence,0.0,40.0
Carson Wentz,0.0,34.0
Taylor Heinicke,1.0,35.0
Jared Goff,3.0,36.0
Jalen Hurts,2.0,38.0
Russell Wilson,3.0,32.0
Teddy Bridgewater,3.0,33.0
Baker Mayfield,3.0,32.0
Lamar Jackson,5.0,43.0
Davis Mills,4.0,32.0
Tua Tagovailoa,4.0,33.0
Sam Darnold,5.0,38.0
Daniel Jones,6.0,38.0
Zach Wilson,4.0,32.0
Justin Fields,5.0,28.0
Andy Dalton,9.0,32.0
Jacoby Brissett,6.0,22.0
Jameis Winston,10.0,28.0
Trevor Siemian,11.0,33.0
Tyler Huntley,10.0,34.0
Tyrod Taylor,11.0,28.0
Mike White,13.0,34.0
Mike Glennon,11.0,29.0
Drew Lock,11.0,20.0
Colt McCoy,9.0,15.0
Geno Smith,13.0,26.0
Cam Newton,9.0,22.0
Josh Johnson,13.0,22.0
Josh Johnson,13.0,22.0
Josh Johnson,13.0,24.0
Trey Lance,11.0,18.0
Tim Boyle,12.0,19.0
Case Keenum,10.0,12.0
Gardner Minshew II,13.0,17.0
