Player,Age,Pos,G,GS,Rush Atts,Rush Yards,Rush TDs,Rush Fmb,Targets,Receptions,Rec Yards,Rec TDs,Rec Fmb
Travis Kelce,31.0,TE,15.0,15.0,0.0,0.0,0.0,1.0,145.0,105.0,1416.0,11.0,1.0
Darren Waller,28.0,TE,16.0,15.0,0.0,0.0,0.0,2.0,145.0,107.0,1196.0,9.0,2.0
T.J. Hockenson,23.0,TE,16.0,16.0,1.0,0.0,0.0,1.0,101.0,67.0,723.0,6.0,1.0
Mike Gesicki,25.0,TE,15.0,9.0,0.0,0.0,0.0,0.0,85.0,53.0,703.0,6.0,0.0
Mark Andrews,25.0,TE,14.0,2.0,0.0,0.0,0.0,2.0,88.0,58.0,701.0,7.0,2.0
Evan Engram,26.0,TE,16.0,14.0,6.0,26.0,1.0,1.0,109.0,63.0,654.0,1.0,1.0
Logan Thomas,29.0,TE,16.0,15.0,3.0,5.0,0.0,0.0,110.0,72.0,670.0,6.0,0.0
Noah Fant,23.0,TE,15.0,14.0,0.0,0.0,0.0,0.0,93.0,62.0,673.0,3.0,0.0
George Kittle,27.0,TE,8.0,8.0,2.0,17.0,0.0,0.0,63.0,48.0,634.0,2.0,0.0
Rob Gronkowski,31.0,TE,16.0,16.0,0.0,0.0,0.0,1.0,77.0,45.0,623.0,7.0,1.0
Dalton Schultz,24.0,TE,16.0,14.0,0.0,0.0,0.0,1.0,89.0,63.0,615.0,4.0,1.0
Hunter Henry,26.0,TE,14.0,14.0,0.0,0.0,0.0,0.0,93.0,60.0,613.0,4.0,0.0
Robert Tonyan,26.0,TE,16.0,8.0,0.0,0.0,0.0,0.0,59.0,52.0,586.0,11.0,0.0
Hayden Hurst,27.0,TE,16.0,9.0,0.0,0.0,0.0,0.0,88.0,56.0,571.0,6.0,0.0
Eric Ebron,27.0,TE,15.0,9.0,0.0,0.0,0.0,1.0,91.0,56.0,558.0,5.0,1.0
Dallas Goedert,25.0,TE,11.0,9.0,0.0,0.0,0.0,0.0,65.0,46.0,524.0,3.0,0.0
Tyler Higbee,27.0,TE,15.0,15.0,1.0,1.0,0.0,0.0,60.0,44.0,521.0,5.0,0.0
Jared Cook,33.0,TE,15.0,5.0,0.0,0.0,0.0,1.0,60.0,37.0,504.0,7.0,1.0
Jimmy Graham,34.0,TE,16.0,15.0,0.0,0.0,0.0,1.0,76.0,50.0,456.0,8.0,1.0
Jonnu Smith,25.0,TE,15.0,14.0,2.0,4.0,1.0,0.0,65.0,41.0,448.0,8.0,0.0
Dan Arnold,25.0,TE,16.0,5.0,0.0,0.0,0.0,2.0,45.0,31.0,438.0,4.0,2.0
Austin Hooper,26.0,TE,13.0,13.0,0.0,0.0,0.0,0.0,70.0,46.0,435.0,4.0,0.0
Gerald Everett,26.0,TE,16.0,7.0,1.0,2.0,1.0,1.0,62.0,41.0,417.0,1.0,1.0
Jordan Akins,28.0,TE,13.0,5.0,1.0,4.0,0.0,0.0,49.0,37.0,403.0,1.0,0.0
Mo Alie-Cox,27.0,TE,15.0,6.0,0.0,0.0,0.0,1.0,39.0,31.0,394.0,2.0,1.0
Irv Smith Jr.,22.0,TE,13.0,7.0,0.0,0.0,0.0,0.0,43.0,30.0,365.0,5.0,0.0
Drew Sample,24.0,TE,16.0,13.0,0.0,0.0,0.0,1.0,53.0,40.0,349.0,1.0,1.0
Tyler Eifert,30.0,TE,15.0,4.0,0.0,0.0,0.0,0.0,60.0,36.0,349.0,2.0,0.0
Richard Rodgers,28.0,TE,14.0,4.0,0.0,0.0,0.0,0.0,31.0,24.0,345.0,2.0,0.0
Zach Ertz,30.0,TE,11.0,11.0,0.0,0.0,0.0,0.0,72.0,36.0,335.0,1.0,0.0
