rush_rk,player,rush_age,rush_g,rush_gs,rush_att,rush_yds,rush_td,rush_1d,rush_succ%,rush_lng,rush_y/a,rush_y/g,rush_a/g,rush_fmb,rush_awards,rec_rk,rec_age,rec_g,rec_gs,rec_tgt,rec_rec,rec_yds,rec_y/r,rec_td,rec_1d,rec_succ%,rec_lng,rec_r/g,rec_y/g,rec_ctch%,rec_y/tgt,rec_fmb,rec_awards
271.0,A.J. Brown,24.0,13.0,13.0,2.0,10.0,0.0,1.0,50.0,7.0,5.0,0.8,0.2,0.0,,46.0,24.0,13.0,13.0,105.0,63.0,869.0,13.8,5.0,45.0,50.5,57.0,4.8,66.8,60.0,8.3,0.0,
456.0,A.J. Green,33.0,16.0,9.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,62.0,33.0,16.0,9.0,92.0,54.0,848.0,15.7,3.0,37.0,53.3,42.0,3.4,53.0,58.7,9.2,0.0,
489.0,Adam Humphries,28.0,17.0,11.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,106.0,28.0,17.0,11.0,62.0,41.0,383.0,9.3,0.0,23.0,43.5,27.0,2.4,22.5,66.1,6.2,0.0,
366.0,Adam Thielen,31.0,13.0,13.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.2,0.1,1.0,,43.0,31.0,13.0,13.0,95.0,67.0,726.0,10.8,10.0,37.0,50.5,35.0,5.2,55.8,70.5,7.6,1.0,
237.0,Albert Wilson,29.0,14.0,5.0,4.0,17.0,0.0,1.0,50.0,14.0,4.3,1.2,0.3,0.0,,191.0,29.0,14.0,5.0,39.0,25.0,213.0,8.5,0.0,10.0,41.0,64.0,1.8,15.2,64.1,5.5,0.0,
305.0,Alex Bachman,25.0,3.0,0.0,1.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,-1.0,0.3,0.0,,517.0,25.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,
436.0,Alex Erickson,29.0,17.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,397.0,29.0,17.0,0.0,4.0,3.0,55.0,18.3,0.0,2.0,50.0,25.0,0.2,3.2,75.0,13.8,0.0,
251.0,Allen Lazard,26.0,15.0,13.0,3.0,32.0,0.0,2.0,100.0,14.0,10.7,2.1,0.2,0.0,,109.0,26.0,15.0,13.0,60.0,40.0,513.0,12.8,8.0,28.0,60.0,42.0,2.7,34.2,66.7,8.6,0.0,
556.0,Allen Robinson,28.0,12.0,11.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,119.0,28.0,12.0,11.0,66.0,38.0,410.0,10.8,1.0,22.0,47.0,39.0,3.2,34.2,57.6,6.2,0.0,
416.0,Amari Cooper,27.0,15.0,14.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,39.0,27.0,15.0,14.0,104.0,68.0,865.0,12.7,8.0,45.0,53.8,41.0,4.5,57.7,65.4,8.3,1.0,
355.0,Amari Rodgers,22.0,16.0,1.0,1.0,11.0,0.0,1.0,100.0,11.0,11.0,0.7,0.1,2.0,,383.0,22.0,16.0,1.0,8.0,4.0,45.0,11.3,0.0,2.0,50.0,19.0,0.3,2.8,50.0,5.6,2.0,
