Player,Age,Pos,G,GS,Rush Atts,Rush Yards,Rush TDs,Rush Fmb,Targets,Receptions,Rec Yards,Rec TDs,Rec Fmb
Christian McCaffrey,27.0,RB,16.0,16.0,272.0,1459.0,14.0,3.0,83.0,67.0,564.0,7.0,3.0
Breece Hall,22.0,RB,17.0,16.0,223.0,994.0,5.0,2.0,95.0,76.0,591.0,4.0,2.0
James Cook,24.0,RB,17.0,13.0,237.0,1122.0,2.0,4.0,54.0,44.0,445.0,4.0,4.0
Rachaad White,24.0,RB,17.0,17.0,272.0,990.0,6.0,3.0,70.0,64.0,549.0,3.0,3.0
Travis Etienne,24.0,RB,17.0,17.0,267.0,1008.0,11.0,0.0,73.0,58.0,476.0,1.0,0.0
Bijan Robinson,21.0,RB,17.0,16.0,214.0,976.0,4.0,4.0,86.0,58.0,487.0,4.0,4.0
Joe Mixon,27.0,RB,17.0,17.0,257.0,1034.0,9.0,0.0,64.0,52.0,376.0,3.0,0.0
Derrick Henry,29.0,RB,17.0,17.0,280.0,1167.0,12.0,0.0,36.0,28.0,214.0,0.0,0.0
Kyren Williams,23.0,RB,12.0,11.0,228.0,1144.0,12.0,3.0,48.0,32.0,206.0,3.0,3.0
Tony Pollard,26.0,RB,17.0,17.0,252.0,1005.0,6.0,3.0,67.0,55.0,311.0,0.0,3.0
D'Andre Swift,24.0,RB,16.0,15.0,229.0,1049.0,5.0,3.0,49.0,39.0,214.0,1.0,3.0
Jahmyr Gibbs,21.0,RB,15.0,3.0,182.0,945.0,10.0,2.0,71.0,52.0,316.0,1.0,2.0
Saquon Barkley,26.0,RB,14.0,14.0,247.0,962.0,6.0,2.0,60.0,41.0,280.0,4.0,2.0
James Conner,28.0,RB,13.0,13.0,208.0,1040.0,7.0,0.0,33.0,27.0,165.0,2.0,0.0
Najee Harris,25.0,RB,17.0,17.0,255.0,1035.0,8.0,2.0,38.0,29.0,170.0,0.0,2.0
Raheem Mostert,31.0,RB,15.0,15.0,209.0,1012.0,18.0,4.0,32.0,25.0,175.0,3.0,4.0
Isiah Pacheco,24.0,RB,14.0,13.0,205.0,935.0,7.0,1.0,49.0,44.0,244.0,2.0,1.0
Kenneth Walker III,23.0,RB,15.0,15.0,219.0,905.0,8.0,1.0,37.0,29.0,259.0,1.0,1.0
Alvin Kamara,28.0,RB,13.0,12.0,180.0,694.0,5.0,0.0,86.0,75.0,466.0,1.0,0.0
Jaylen Warren,25.0,RB,17.0,0.0,149.0,784.0,4.0,4.0,74.0,61.0,370.0,0.0,4.0
Chuba Hubbard,24.0,RB,17.0,12.0,238.0,902.0,5.0,1.0,44.0,39.0,233.0,0.0,1.0
Jerome Ford,24.0,RB,17.0,12.0,204.0,813.0,4.0,1.0,63.0,44.0,319.0,5.0,1.0
David Montgomery,26.0,RB,14.0,14.0,219.0,1015.0,13.0,2.0,24.0,16.0,117.0,0.0,2.0
Brian Robinson Jr.,24.0,RB,15.0,15.0,178.0,733.0,5.0,4.0,43.0,36.0,368.0,4.0,4.0
Josh Jacobs,25.0,RB,13.0,13.0,233.0,805.0,6.0,3.0,54.0,37.0,296.0,0.0,3.0
Devin Singletary,26.0,RB,17.0,10.0,216.0,898.0,4.0,1.0,38.0,30.0,193.0,0.0,1.0
Austin Ekeler,28.0,RB,14.0,14.0,179.0,628.0,5.0,5.0,74.0,51.0,436.0,1.0,5.0
Javonte Williams,23.0,RB,16.0,13.0,217.0,774.0,3.0,1.0,58.0,47.0,228.0,2.0,1.0
De'Von Achane,22.0,RB,11.0,4.0,103.0,800.0,8.0,1.0,37.0,27.0,197.0,3.0,1.0
Gus Edwards,28.0,RB,17.0,9.0,198.0,810.0,13.0,3.0,13.0,12.0,180.0,0.0,3.0
Zack Moss,26.0,RB,14.0,8.0,183.0,794.0,5.0,0.0,37.0,27.0,192.0,2.0,0.0
Ezekiel Elliott,28.0,RB,17.0,5.0,184.0,642.0,3.0,2.0,65.0,51.0,313.0,2.0,2.0
Jonathan Taylor,24.0,RB,10.0,7.0,169.0,741.0,7.0,1.0,23.0,19.0,153.0,1.0,1.0
Alexander Mattison,25.0,RB,16.0,13.0,180.0,700.0,0.0,3.0,44.0,30.0,192.0,3.0,3.0
Aaron Jones,29.0,RB,11.0,11.0,142.0,656.0,2.0,2.0,43.0,30.0,233.0,1.0,2.0
