Player,Age,Pos,G,GS,Rush Atts,Rush Yards,Rush TDs,Rush Fmb,Targets,Receptions,Rec Yards,Rec TDs,Rec Fmb
Tyler Allgeier,23.0,RB,17.0,3.0,186.0,683.0,4.0,0.0,23.0,18.0,193.0,1.0,0.0
Rhamondre Stevenson,25.0,RB,12.0,12.0,156.0,619.0,4.0,1.0,51.0,38.0,238.0,0.0,1.0
Tyjae Spears,22.0,RB,17.0,1.0,100.0,453.0,2.0,1.0,70.0,52.0,385.0,1.0,1.0
AJ Dillon,25.0,RB,15.0,6.0,178.0,613.0,2.0,0.0,28.0,22.0,223.0,0.0,0.0
Khalil Herbert,25.0,RB,12.0,9.0,132.0,611.0,2.0,1.0,31.0,20.0,134.0,1.0,1.0
Samaje Perine,28.0,RB,17.0,1.0,53.0,238.0,1.0,3.0,56.0,50.0,455.0,0.0,3.0
Zach Charbonnet,22.0,RB,16.0,2.0,108.0,462.0,1.0,0.0,40.0,33.0,209.0,0.0,0.0
Antonio Gibson,25.0,RB,16.0,2.0,65.0,265.0,1.0,4.0,59.0,48.0,389.0,2.0,4.0
Ty Chandler,25.0,RB,17.0,4.0,102.0,461.0,3.0,0.0,25.0,21.0,159.0,0.0,0.0
Justice Hill,26.0,RB,16.0,5.0,84.0,387.0,3.0,1.0,39.0,28.0,206.0,1.0,1.0
Miles Sanders,26.0,RB,16.0,5.0,129.0,432.0,1.0,2.0,41.0,27.0,154.0,0.0,2.0
Jaleel McLaughlin,23.0,RB,17.0,3.0,76.0,410.0,1.0,0.0,36.0,31.0,160.0,2.0,0.0
Roschon Johnson,22.0,RB,15.0,0.0,81.0,352.0,2.0,1.0,40.0,34.0,209.0,0.0,1.0
Zamir White,24.0,RB,17.0,4.0,104.0,451.0,1.0,1.0,19.0,15.0,98.0,0.0,1.0
Kenneth Gainwell,24.0,RB,16.0,2.0,84.0,364.0,2.0,3.0,37.0,30.0,183.0,0.0,3.0
