Player,Age,Pos,G,GS,Rush Atts,Rush Yards,Rush TDs,Rush Fmb,Targets,Receptions,Rec Yards,Rec TDs,Rec Fmb
Justin Jefferson,23.0,WR,17.0,17.0,4.0,24.0,1.0,0.0,184.0,128.0,1809.0,8.0,0.0
Tyreek Hill,28.0,WR,17.0,17.0,7.0,32.0,1.0,1.0,170.0,119.0,1710.0,7.0,1.0
Davante Adams,30.0,WR,17.0,17.0,3.0,-1.0,0.0,1.0,180.0,100.0,1516.0,14.0,1.0
A.J. Brown,25.0,WR,17.0,16.0,0.0,0.0,0.0,2.0,145.0,88.0,1496.0,11.0,2.0
Stefon Diggs,29.0,WR,16.0,16.0,1.0,-3.0,0.0,1.0,154.0,108.0,1429.0,11.0,1.0
CeeDee Lamb,23.0,WR,17.0,17.0,10.0,47.0,0.0,0.0,156.0,107.0,1359.0,9.0,0.0
Jaylen Waddle,24.0,WR,17.0,17.0,3.0,26.0,0.0,1.0,117.0,75.0,1356.0,8.0,1.0
Amon-Ra St. Brown,23.0,WR,16.0,16.0,9.0,95.0,0.0,0.0,146.0,106.0,1161.0,6.0,0.0
Terry McLaurin,27.0,WR,17.0,17.0,7.0,29.0,0.0,1.0,120.0,77.0,1191.0,5.0,1.0
DeVonta Smith,24.0,WR,17.0,17.0,0.0,0.0,0.0,1.0,136.0,95.0,1196.0,7.0,1.0
Amari Cooper,28.0,WR,17.0,17.0,0.0,0.0,0.0,0.0,132.0,78.0,1160.0,9.0,0.0
Mike Evans,29.0,WR,15.0,15.0,0.0,0.0,0.0,0.0,127.0,77.0,1124.0,6.0,0.0
Christian Kirk,26.0,WR,17.0,17.0,5.0,11.0,0.0,1.0,133.0,84.0,1108.0,8.0,1.0
Garrett Wilson,22.0,WR,17.0,12.0,4.0,4.0,0.0,2.0,147.0,83.0,1103.0,4.0,2.0
Ja'Marr Chase,22.0,WR,12.0,12.0,5.0,8.0,0.0,2.0,134.0,87.0,1046.0,9.0,2.0
D.K. Metcalf,25.0,WR,17.0,17.0,0.0,0.0,0.0,2.0,141.0,90.0,1048.0,6.0,2.0
Chris Olave,22.0,WR,15.0,9.0,0.0,0.0,0.0,2.0,119.0,72.0,1042.0,4.0,2.0
Brandon Aiyuk,24.0,WR,17.0,17.0,2.0,23.0,0.0,1.0,114.0,78.0,1015.0,8.0,1.0
Tyler Lockett,30.0,WR,16.0,16.0,0.0,0.0,0.0,2.0,117.0,84.0,1033.0,9.0,2.0
Tee Higgins,23.0,WR,16.0,14.0,0.0,0.0,0.0,0.0,109.0,74.0,1029.0,7.0,0.0
Chris Godwin,26.0,WR,15.0,13.0,3.0,5.0,0.0,2.0,142.0,104.0,1023.0,3.0,2.0
Jerry Jeudy,23.0,WR,15.0,14.0,4.0,40.0,0.0,0.0,100.0,67.0,972.0,6.0,0.0
Michael Pittman Jr.,25.0,WR,16.0,16.0,3.0,30.0,0.0,2.0,141.0,99.0,925.0,4.0,2.0
D.J. Moore,25.0,WR,17.0,17.0,10.0,53.0,0.0,0.0,118.0,63.0,888.0,7.0,0.0
JuJu Smith-Schuster,26.0,WR,16.0,14.0,0.0,0.0,0.0,3.0,101.0,78.0,933.0,3.0,3.0
Diontae Johnson,26.0,WR,17.0,17.0,7.0,25.0,0.0,1.0,147.0,86.0,882.0,0.0,1.0
Mike Williams,28.0,WR,13.0,13.0,0.0,0.0,0.0,0.0,93.0,63.0,895.0,4.0,0.0
Drake London,21.0,WR,17.0,15.0,0.0,0.0,0.0,3.0,117.0,72.0,866.0,4.0,3.0
Cooper Kupp,29.0,WR,9.0,9.0,9.0,52.0,1.0,2.0,98.0,75.0,812.0,6.0,2.0
Deebo Samuel,26.0,WR,13.0,12.0,42.0,232.0,3.0,3.0,94.0,56.0,632.0,2.0,3.0
Curtis Samuel,26.0,WR,17.0,12.0,38.0,187.0,1.0,1.0,92.0,64.0,656.0,4.0,1.0
Donovan Peoples-Jones,23.0,WR,17.0,14.0,1.0,2.0,0.0,1.0,96.0,61.0,839.0,3.0,1.0
Zay Jones,27.0,WR,16.0,15.0,4.0,18.0,0.0,0.0,121.0,82.0,823.0,5.0,0.0
Gabriel Davis,23.0,WR,15.0,15.0,0.0,0.0,0.0,1.0,93.0,48.0,836.0,7.0,1.0
Courtland Sutton,27.0,WR,15.0,15.0,1.0,5.0,0.0,0.0,109.0,64.0,829.0,2.0,0.0
George Pickens,21.0,WR,17.0,12.0,3.0,24.0,1.0,0.0,84.0,52.0,801.0,4.0,0.0
Jakobi Meyers,26.0,WR,14.0,13.0,2.0,-11.0,0.0,2.0,96.0,67.0,804.0,6.0,2.0
Allen Lazard,27.0,WR,15.0,15.0,2.0,0.0,0.0,0.0,100.0,60.0,788.0,6.0,0.0
Josh Palmer,23.0,WR,16.0,11.0,1.0,4.0,0.0,1.0,107.0,72.0,769.0,3.0,1.0
Tyler Boyd,28.0,WR,16.0,14.0,0.0,0.0,0.0,0.0,82.0,58.0,762.0,5.0,0.0
Keenan Allen,30.0,WR,10.0,10.0,1.0,8.0,0.0,1.0,89.0,66.0,752.0,4.0,1.0
Mack Hollins,29.0,WR,17.0,16.0,4.0,40.0,0.0,0.0,94.0,57.0,690.0,4.0,0.0
Darius Slayton,25.0,WR,16.0,11.0,0.0,0.0,0.0,2.0,71.0,46.0,724.0,2.0,2.0
Adam Thielen,32.0,WR,17.0,17.0,1.0,4.0,0.0,0.0,107.0,70.0,716.0,6.0,0.0
DeAndre Hopkins,30.0,WR,9.0,9.0,0.0,0.0,0.0,2.0,96.0,64.0,717.0,3.0,2.0
Marquise Brown,25.0,WR,12.0,10.0,1.0,1.0,0.0,1.0,107.0,67.0,709.0,3.0,1.0
Brandin Cooks,29.0,WR,13.0,13.0,2.0,7.0,0.0,0.0,93.0,57.0,699.0,3.0,0.0
Christian Watson,23.0,WR,14.0,11.0,7.0,80.0,2.0,0.0,66.0,41.0,611.0,7.0,0.0
Marquez Valdes-Scantling,28.0,WR,17.0,11.0,1.0,-3.0,0.0,0.0,81.0,42.0,687.0,2.0,0.0
Parris Campbell,25.0,WR,17.0,16.0,5.0,58.0,0.0,1.0,91.0,63.0,623.0,3.0,1.0
K.J. Osborn,25.0,WR,17.0,9.0,3.0,6.0,0.0,1.0,90.0,60.0,650.0,5.0,1.0
Kalif Raymond,28.0,WR,17.0,7.0,7.0,36.0,0.0,3.0,64.0,47.0,616.0,0.0,3.0
Alec Pierce,22.0,WR,16.0,12.0,0.0,0.0,0.0,1.0,78.0,41.0,593.0,2.0,1.0
Richie James,27.0,WR,17.0,4.0,2.0,6.0,0.0,3.0,70.0,57.0,569.0,4.0,3.0
Noah Brown,26.0,WR,16.0,13.0,0.0,0.0,0.0,1.0,74.0,43.0,555.0,3.0,1.0
Chris Moore,29.0,WR,16.0,7.0,3.0,3.0,0.0,0.0,74.0,48.0,548.0,2.0,0.0
Rashid Shaheed,24.0,WR,12.0,6.0,4.0,57.0,1.0,1.0,34.0,28.0,488.0,2.0,1.0
Olamide Zaccheaus,25.0,WR,17.0,13.0,2.0,7.0,0.0,1.0,61.0,40.0,533.0,3.0,1.0
DeVante Parker,29.0,WR,13.0,11.0,0.0,0.0,0.0,0.0,47.0,31.0,539.0,3.0,0.0
Corey Davis,27.0,WR,13.0,10.0,0.0,0.0,0.0,0.0,64.0,32.0,536.0,2.0,0.0
Marvin Jones,32.0,WR,16.0,10.0,0.0,0.0,0.0,0.0,81.0,46.0,529.0,3.0,0.0
Robert Woods,30.0,WR,17.0,15.0,0.0,0.0,0.0,1.0,91.0,53.0,527.0,2.0,1.0
DeAndre Carter,29.0,WR,17.0,7.0,2.0,-15.0,0.0,3.0,65.0,46.0,538.0,3.0,3.0
Jahan Dotson,22.0,WR,12.0,10.0,2.0,-7.0,0.0,0.0,61.0,35.0,523.0,7.0,0.0
Greg Dortch,24.0,WR,16.0,4.0,7.0,44.0,0.0,1.0,64.0,52.0,467.0,2.0,1.0
Chase Claypool,24.0,WR,15.0,11.0,9.0,59.0,0.0,1.0,79.0,46.0,451.0,1.0,1.0
Chase Claypool,24.0,WR,15.0,11.0,8.0,55.0,0.0,0.0,79.0,46.0,451.0,1.0,1.0
DJ Chark,26.0,WR,11.0,10.0,0.0,0.0,0.0,0.0,52.0,30.0,502.0,3.0,0.0
Darnell Mooney,25.0,WR,12.0,12.0,1.0,2.0,0.0,0.0,61.0,40.0,493.0,2.0,0.0
Treylon Burks,22.0,WR,11.0,6.0,4.0,47.0,0.0,0.0,54.0,33.0,444.0,1.0,0.0
Devin Duvernay,25.0,WR,14.0,13.0,12.0,84.0,1.0,1.0,49.0,37.0,407.0,3.0,1.0
Terrace Marshall Jr.,22.0,WR,14.0,9.0,0.0,0.0,0.0,2.0,47.0,28.0,490.0,1.0,2.0
Nico Collins,23.0,WR,10.0,7.0,0.0,0.0,0.0,0.0,66.0,37.0,481.0,2.0,0.0
Josh Reynolds,27.0,WR,14.0,11.0,0.0,0.0,0.0,0.0,59.0,38.0,479.0,3.0,0.0
Isaiah McKenzie,27.0,WR,15.0,8.0,9.0,55.0,1.0,0.0,65.0,42.0,423.0,4.0,0.0
