Rk,Player,Age,Team,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards
1.0,Matt Ryan,35.0,ATL,QB,16.0,16.0,407.0,626.0,5337.0,8.5,2939.0,7.2,4.7,1642.0,4.0,6.0,18.0,1.0,33.0,5.4,89.0,14.7,458.0,75.5,2.6,204.0,55.0,70.0,166.0,24.3,16.0,6.5,18.0,166.0,16.0,166.0,0.0,0.0,152.0,1432.0,
2.0,Tom Brady,43.0,TAM,QB,16.0,16.0,401.0,610.0,5531.0,9.1,2833.0,7.1,4.6,1800.0,4.5,4.0,13.0,4.0,31.0,5.2,122.0,20.6,438.0,73.9,2.4,161.0,34.0,58.0,113.0,17.8,4.0,2.0,15.0,110.0,14.0,110.0,1.0,0.0,110.0,1119.0,
3.0,Ben Roethlisberger,38.0,PIT,QB,15.0,15.0,399.0,608.0,4220.0,6.9,1850.0,4.6,3.0,1953.0,4.9,13.0,2.0,0.0,39.0,6.4,91.0,15.0,463.0,76.4,2.1,175.0,42.0,51.0,106.0,17.0,3.0,7.0,26.0,85.0,25.0,85.0,1.0,0.0,48.0,234.0,AP CPoY-2
4.0,Justin Herbert,22.0,LAC,QB,15.0,15.0,396.0,595.0,4378.0,7.4,2121.0,5.4,3.6,2215.0,5.6,7.0,7.0,4.0,23.0,3.9,105.0,18.0,447.0,76.5,2.4,170.0,85.0,70.0,187.0,28.7,25.0,5.6,32.0,196.0,20.0,115.0,10.0,81.0,127.0,1140.0,AP ORoY-1
5.0,Patrick Mahomes,25.0,KAN,QB,15.0,15.0,390.0,588.0,4910.0,8.4,2473.0,6.3,4.2,2267.0,5.8,8.0,20.0,1.0,28.0,4.9,100.0,17.6,436.0,76.9,2.6,141.0,62.0,59.0,143.0,22.0,40.0,7.3,100.0,770.0,94.0,756.0,4.0,14.0,144.0,1068.0,"PB,AP-2,AP MVP-3,AP OPoY-2"
6.0,Josh Allen,24.0,BUF,QB,16.0,16.0,396.0,572.0,4857.0,8.5,2692.0,6.8,4.7,1852.0,4.7,4.0,22.0,0.0,25.0,4.5,88.0,16.0,435.0,79.1,2.6,244.0,64.0,47.0,137.0,21.9,29.0,7.9,82.0,617.0,62.0,547.0,18.0,70.0,160.0,1501.0,"PB,AP-2,AP MVP-2,AP OPoY-4"
7.0,Kyler Murray,23.0,ARI,QB,16.0,16.0,375.0,558.0,4340.0,7.8,2213.0,5.9,4.0,1758.0,4.7,14.0,25.0,8.0,13.0,2.5,88.0,16.8,405.0,77.1,2.4,156.0,55.0,24.0,106.0,16.7,51.0,8.4,171.0,1395.0,121.0,1107.0,43.0,288.0,107.0,877.0,PB
8.0,Russell Wilson,32.0,SEA,QB,16.0,16.0,384.0,558.0,4809.0,8.6,2385.0,6.2,4.3,1827.0,4.8,4.0,24.0,1.0,27.0,5.1,84.0,15.8,424.0,79.5,2.6,206.0,65.0,67.0,179.0,27.2,53.0,8.7,42.0,284.0,33.0,238.0,8.0,46.0,124.0,1047.0,PB
9.0,Jared Goff,26.0,LAR,QB,15.0,15.0,370.0,552.0,3579.0,6.5,1800.0,4.9,3.3,2152.0,5.8,6.0,24.0,2.0,27.0,5.1,84.0,16.0,413.0,78.5,2.5,185.0,42.0,54.0,119.0,19.9,22.0,4.5,2.0,11.0,0.0,0.0,2.0,11.0,172.0,1384.0,
10.0,Deshaun Watson,25.0,HOU,QB,16.0,16.0,382.0,544.0,4840.0,8.9,2847.0,7.5,5.2,1976.0,5.2,5.0,19.0,2.0,19.0,3.6,79.0,15.1,420.0,80.3,2.5,168.0,75.0,47.0,171.0,26.1,62.0,6.4,73.0,598.0,56.0,519.0,13.0,79.0,81.0,834.0,PB
11.0,Philip Rivers,39.0,IND,QB,16.0,16.0,369.0,543.0,3893.0,7.2,1948.0,5.3,3.6,2221.0,6.0,11.0,14.0,3.0,17.0,3.2,84.0,16.0,406.0,77.2,2.3,124.0,37.0,37.0,93.0,16.5,1.0,3.0,44.0,370.0,44.0,370.0,0.0,0.0,86.0,719.0,
12.0,Matthew Stafford,32.0,DET,QB,16.0,16.0,339.0,528.0,4609.0,8.7,2343.0,6.9,4.4,1741.0,5.1,7.0,7.0,7.0,33.0,6.4,94.0,18.3,399.0,77.6,2.4,179.0,45.0,39.0,122.0,21.0,16.0,7.3,27.0,273.0,27.0,273.0,0.0,0.0,105.0,959.0,
13.0,Aaron Rodgers,37.0,GNB,QB,16.0,16.0,372.0,526.0,4135.0,7.9,2051.0,5.5,3.9,2248.0,6.0,3.0,23.0,3.0,27.0,5.4,69.0,13.8,406.0,81.2,2.5,168.0,33.0,28.0,81.0,14.2,24.0,6.2,42.0,335.0,39.0,323.0,3.0,12.0,145.0,1210.0,"PB,AP-1,AP MVP-1,AP OPoY-2"
14.0,Derek Carr,29.0,LVR,QB,16.0,16.0,348.0,517.0,4184.0,8.1,2147.0,6.2,4.2,1956.0,5.6,5.0,20.0,4.0,20.0,4.1,79.0,16.0,389.0,78.9,2.5,173.0,56.0,30.0,112.0,19.8,23.0,5.4,27.0,163.0,22.0,130.0,4.0,33.0,91.0,614.0,
15.0,Kirk Cousins,32.0,MIN,QB,16.0,16.0,349.0,516.0,4103.0,8.0,2329.0,6.7,4.5,1936.0,5.5,11.0,27.0,3.0,18.0,3.7,67.0,13.8,395.0,81.3,2.6,181.0,56.0,78.0,173.0,30.2,17.0,8.1,3.0,12.0,2.0,10.0,1.0,2.0,127.0,1286.0,
16.0,Teddy Bridgewater,28.0,CAR,QB,15.0,15.0,340.0,492.0,3511.0,7.1,1853.0,5.5,3.8,1880.0,5.5,5.0,19.0,2.0,20.0,4.2,61.0,13.0,379.0,80.5,2.3,154.0,42.0,38.0,111.0,19.8,37.0,7.4,22.0,114.0,20.0,107.0,2.0,7.0,91.0,637.0,
17.0,Baker Mayfield,25.0,CLE,QB,16.0,16.0,305.0,486.0,4124.0,8.5,2203.0,7.2,4.5,1360.0,4.5,8.0,28.0,5.0,21.0,4.6,85.0,18.8,339.0,74.8,2.7,179.0,49.0,26.0,101.0,18.8,25.0,6.1,7.0,63.0,5.0,60.0,2.0,3.0,121.0,1141.0,
