rk,player,age,team,pos,g,gs,att,yds,td,1d,succ%,lng,y/a,y/g,a/g,fmb,awards
1.0,Jonathan Taylor,22.0,IND,RB,17.0,17.0,332.0,1811.0,18.0,107.0,55.4,83.0,5.5,106.5,19.5,4.0,"PB,AP-1,AP OPoY-2"
2.0,Najee Harris,23.0,PIT,RB,17.0,17.0,307.0,1200.0,7.0,62.0,47.6,37.0,3.9,70.6,18.1,0.0,PB
3.0,Joe Mixon,25.0,CIN,RB,16.0,16.0,292.0,1205.0,13.0,60.0,49.7,32.0,4.1,75.3,18.3,2.0,PB
4.0,Antonio Gibson,23.0,WAS,RB,16.0,14.0,258.0,1037.0,7.0,65.0,51.2,27.0,4.0,64.8,16.1,6.0,
5.0,Dalvin Cook,26.0,MIN,RB,13.0,13.0,249.0,1159.0,6.0,57.0,46.2,66.0,4.7,89.2,19.2,3.0,PB
6.0,Alvin Kamara,26.0,NOR,RB,13.0,10.0,240.0,898.0,4.0,42.0,41.3,30.0,3.7,69.1,18.5,0.0,PB
7.0,Ezekiel Elliott,26.0,DAL,RB,17.0,17.0,237.0,1002.0,10.0,55.0,51.5,47.0,4.2,58.9,13.9,1.0,
8.0,Nick Chubb,26.0,CLE,RB,14.0,14.0,228.0,1259.0,8.0,61.0,49.1,70.0,5.5,89.9,16.3,2.0,PB
9.0,David Montgomery,24.0,CHI,RB,13.0,13.0,225.0,849.0,7.0,55.0,46.7,41.0,3.8,65.3,17.3,1.0,
10.0,Derrick Henry,27.0,TEN,RB,8.0,8.0,219.0,937.0,10.0,49.0,44.7,76.0,4.3,117.1,27.4,1.0,
11.0,Josh Jacobs,23.0,LVR,RB,15.0,14.0,217.0,872.0,9.0,45.0,53.0,28.0,4.0,58.1,14.5,2.0,
12.0,Sony Michel,26.0,LAR,RB,17.0,7.0,208.0,845.0,4.0,49.0,51.4,39.0,4.1,49.7,12.2,1.0,
13.0,Elijah Mitchell,23.0,SFO,RB,11.0,10.0,207.0,963.0,5.0,47.0,49.8,39.0,4.7,87.5,18.8,0.0,
14.0,Austin Ekeler,26.0,LAC,RB,16.0,16.0,206.0,911.0,12.0,53.0,55.8,28.0,4.4,56.9,12.9,4.0,
15.0,Melvin Gordon,28.0,DEN,RB,16.0,16.0,203.0,918.0,8.0,48.0,55.2,70.0,4.5,57.4,12.7,3.0,
16.0,Javonte Williams,21.0,DEN,RB,17.0,1.0,203.0,903.0,4.0,52.0,46.3,49.0,4.4,53.1,11.9,2.0,
17.0,James Conner,26.0,ARI,RB,15.0,6.0,202.0,752.0,15.0,53.0,50.0,35.0,3.7,50.1,13.5,2.0,PB
18.0,Damien Harris,24.0,NWE,RB,15.0,15.0,202.0,929.0,15.0,55.0,54.0,64.0,4.6,61.9,13.5,2.0,
19.0,Devin Singletary,24.0,BUF,RB,17.0,16.0,188.0,870.0,7.0,44.0,47.3,46.0,4.6,51.2,11.1,5.0,
20.0,AJ Dillon,23.0,GNB,RB,17.0,2.0,187.0,803.0,5.0,50.0,61.0,36.0,4.3,47.2,11.0,2.0,
21.0,Leonard Fournette,26.0,TAM,RB,14.0,13.0,180.0,812.0,8.0,45.0,56.1,47.0,4.5,58.0,12.9,1.0,
22.0,Myles Gaskin,24.0,MIA,RB,17.0,10.0,173.0,612.0,3.0,25.0,41.6,30.0,3.5,36.0,10.2,2.0,
23.0,Chuba Hubbard,22.0,CAR,RB,17.0,10.0,172.0,612.0,5.0,36.0,43.0,26.0,3.6,36.0,10.1,1.0,
24.0,Aaron Jones,27.0,GNB,RB,15.0,15.0,171.0,799.0,4.0,37.0,49.7,57.0,4.7,53.3,11.4,2.0,
25.0,James Robinson,23.0,JAX,RB,14.0,13.0,164.0,767.0,8.0,41.0,50.0,58.0,4.7,54.8,11.7,4.0,
26.0,Saquon Barkley,24.0,NYG,RB,13.0,13.0,162.0,593.0,2.0,27.0,42.0,41.0,3.7,45.6,12.5,2.0,
27.0,Mark Ingram,32.0,2TM,RB,14.0,10.0,160.0,554.0,2.0,23.0,38.1,28.0,3.5,39.6,11.4,1.0,
27.0,Mark Ingram,32.0,HOU,RB,7.0,7.0,92.0,294.0,1.0,14.0,37.0,24.0,3.2,42.0,13.1,0.0,
27.0,Mark Ingram,32.0,NOR,RB,7.0,3.0,68.0,260.0,1.0,9.0,39.7,28.0,3.8,37.1,9.7,1.0,
28.0,Cordarrelle Patterson,30.0,ATL,RB,16.0,13.0,153.0,618.0,6.0,29.0,43.1,39.0,4.0,38.6,9.6,2.0,
29.0,Jamaal Williams,26.0,DET,RB,13.0,11.0,153.0,601.0,3.0,42.0,54.2,20.0,3.9,46.2,11.8,1.0,
30.0,D'Andre Swift,22.0,DET,RB,13.0,4.0,151.0,617.0,5.0,28.0,36.4,57.0,4.1,47.5,11.6,2.0,
31.0,Darrell Henderson,24.0,LAR,RB,12.0,10.0,149.0,688.0,5.0,39.0,57.0,29.0,4.6,57.3,12.4,0.0,
32.0,Michael Carter,22.0,NYJ,RB,14.0,11.0,147.0,639.0,4.0,29.0,51.0,55.0,4.3,45.6,10.5,1.0,
33.0,Devontae Booker,29.0,NYG,RB,16.0,4.0,145.0,593.0,2.0,31.0,44.1,31.0,4.1,37.1,9.1,0.0,
34.0,Darrel Williams,26.0,KAN,RB,17.0,7.0,144.0,558.0,6.0,40.0,56.9,21.0,3.9,32.8,8.5,0.0,
35.0,Jalen Hurts,23.0,PHI,QB,15.0,15.0,139.0,784.0,10.0,56.0,61.9,31.0,5.6,52.3,9.3,9.0,
36.0,Mike Davis,28.0,ATL,RB,17.0,8.0,138.0,503.0,3.0,21.0,42.0,18.0,3.6,29.6,8.1,4.0,
37.0,Miles Sanders,24.0,PHI,RB,12.0,12.0,137.0,754.0,0.0,33.0,59.1,38.0,5.5,62.8,11.4,1.0,
38.0,Alexander Mattison,23.0,MIN,RB,16.0,4.0,134.0,491.0,3.0,28.0,44.0,48.0,3.7,30.7,8.4,1.0,
39.0,D'Onta Foreman,25.0,TEN,RB,9.0,3.0,133.0,566.0,3.0,22.0,48.9,35.0,4.3,62.9,14.8,2.0,
40.0,Devonta Freeman,29.0,BAL,RB,16.0,8.0,133.0,576.0,5.0,31.0,58.6,32.0,4.3,36.0,8.3,0.0,
41.0,Lamar Jackson,24.0,BAL,QB,12.0,12.0,133.0,767.0,2.0,48.0,56.4,31.0,5.8,63.9,11.1,6.0,PB
42.0,Rhamondre Stevenson,23.0,NWE,RB,12.0,2.0,133.0,606.0,5.0,33.0,57.9,21.0,4.6,50.5,11.1,2.0,
43.0,Tony Pollard,24.0,DAL,RB,15.0,0.0,130.0,719.0,2.0,35.0,53.8,58.0,5.5,47.9,8.7,2.0,
44.0,Josh Allen,25.0,BUF,QB,17.0,17.0,122.0,763.0,6.0,54.0,61.5,34.0,6.3,44.9,7.2,8.0,
45.0,Rex Burkhead,31.0,HOU,RB,16.0,5.0,122.0,427.0,3.0,30.0,44.3,36.0,3.5,26.7,7.6,1.0,
46.0,Clyde Edwards-Helaire,22.0,KAN,RB,10.0,10.0,119.0,517.0,4.0,21.0,56.3,17.0,4.3,51.7,11.9,2.0,
47.0,Latavius Murray,31.0,BAL,RB,14.0,6.0,119.0,501.0,6.0,36.0,58.0,46.0,4.2,35.8,8.5,0.0,
48.0,Rashaad Penny,25.0,SEA,RB,10.0,6.0,119.0,749.0,6.0,28.0,46.2,62.0,6.3,74.9,11.9,0.0,
49.0,Chase Edmonds,25.0,ARI,RB,12.0,11.0,116.0,592.0,2.0,32.0,56.9,54.0,5.1,49.3,9.7,1.0,
50.0,Alex Collins,27.0,SEA,RB,11.0,6.0,108.0,411.0,2.0,22.0,50.9,25.0,3.8,37.4,9.8,1.0,
51.0,Khalil Herbert,23.0,CHI,RB,17.0,2.0,103.0,433.0,2.0,24.0,50.5,29.0,4.2,25.5,6.1,1.0,
52.0,Ronald Jones II,24.0,TAM,RB,16.0,3.0,101.0,428.0,4.0,25.0,62.4,30.0,4.2,26.8,6.3,2.0,
53.0,D'Ernest Johnson,25.0,CLE,RB,17.0,2.0,100.0,534.0,3.0,24.0,52.0,30.0,5.3,31.4,5.9,1.0,
