Player,Games Missed,Touches Per Game
Tua Tagovailoa,0.0,35.0
Jared Goff,0.0,37.0
Dak Prescott,0.0,38.0
Josh Allen,0.0,41.0
Brock Purdy,1.0,30.0
Patrick Mahomes,1.0,42.0
Jordan Love,0.0,37.0
C.J. Stroud,2.0,36.0
Baker Mayfield,0.0,37.0
Trevor Lawrence,1.0,40.0
Matthew Stafford,2.0,36.0
Sam Howell,0.0,39.0
Derek Carr,0.0,34.0
Jalen Hurts,0.0,41.0
Lamar Jackson,1.0,38.0
Geno Smith,2.0,36.0
Gardner Minshew II,0.0,31.0
Justin Herbert,4.0,39.0
Russell Wilson,2.0,35.0
Bryce Young,1.0,35.0
Desmond Ridder,2.0,29.0
Justin Fields,4.0,38.0
Joshua Dobbs,4.0,36.0
Joshua Dobbs,4.0,34.0
Joshua Dobbs,4.0,38.0
Kirk Cousins,9.0,41.0
Joe Burrow,7.0,40.0
Zach Wilson,5.0,34.0
Aidan O'Connell,6.0,33.0
Mac Jones,6.0,34.0
Kenny Pickett,5.0,30.0
Jake Browning,8.0,30.0
Will Levis,8.0,31.0
Kyler Murray,9.0,39.0
Joe Flacco,12.0,43.0
Ryan Tannehill,7.0,25.0
Joshua Dobbs,9.0,37.0
Joshua Dobbs,9.0,39.0
Joshua Dobbs,9.0,43.0
Tyrod Taylor,6.0,20.0
Nick Mullens,12.0,32.0
Bailey Zappe,7.0,23.0
Jimmy Garoppolo,10.0,27.0
Easton Stick,12.0,40.0
Deshaun Watson,11.0,33.0
Tommy DeVito,8.0,24.0
Daniel Jones,11.0,33.0
Joshua Dobbs,12.0,36.0
Joshua Dobbs,12.0,46.0
Joshua Dobbs,12.0,40.0
